日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,68.14,65.83,-2.37,-3.48%,65.82,68.14,32222,21502.66,3.70%
2024-09-05,67.70,68.20,0.55,0.81%,67.70,69.30,26580,18201.85,3.05%
2024-09-04,69.06,67.65,-2.93,-4.15%,66.50,69.47,45891,31201.42,5.26%
2024-09-03,69.99,70.58,0.54,0.77%,69.39,71.00,28382,19970.42,3.25%
2024-09-02,74.00,70.04,-5.31,-7.05%,70.00,74.67,72267,52021.57,8.29%
2024-08-30,71.96,75.35,3.16,4.38%,71.96,75.50,64190,47618.35,7.36%
2024-08-29,70.30,72.19,1.24,1.75%,69.52,72.49,37769,26929.43,4.33%
2024-08-28,70.60,70.95,0.13,0.18%,70.58,73.26,37700,26983.05,4.32%
2024-08-27,69.79,70.82,1.00,1.43%,69.01,72.28,44783,31877.42,5.14%
2024-08-26,70.30,69.82,-0.48,-0.68%,69.00,71.28,29424,20615.47,3.37%
2024-08-23,71.00,70.30,-1.08,-1.51%,69.50,71.62,28155,19789.26,3.23%
2024-08-22,70.71,71.38,0.77,1.09%,69.40,71.67,30678,21671.29,3.52%
2024-08-21,71.40,70.61,-1.29,-1.79%,70.51,72.40,26587,18953.26,3.05%
2024-08-20,72.50,71.90,-0.61,-0.84%,71.33,73.19,28613,20647.79,3.28%
2024-08-19,72.25,72.51,-0.21,-0.29%,71.92,74.58,39057,28578.17,4.48%
2024-08-16,72.47,72.72,0.98,1.37%,71.56,73.03,35735,25918.53,4.10%
2024-08-15,70.31,71.74,0.71,1.00%,70.10,72.65,34407,24703.29,3.95%
2024-08-14,72.99,71.03,-0.84,-1.17%,70.88,73.30,29104,20869.62,3.34%
2024-08-13,71.10,71.87,1.13,1.60%,70.70,72.13,28823,20602.02,3.31%
2024-08-12,70.50,70.74,-0.45,-0.63%,70.00,71.65,23033,16298.80,2.64%
2024-08-09,72.03,71.19,0.18,0.25%,71.10,72.90,34982,25146.99,4.01%
2024-08-08,70.00,71.01,0.42,0.59%,68.89,71.46,35978,25255.31,4.13%
2024-08-07,71.59,70.59,-1.31,-1.82%,70.01,72.10,31049,22059.77,3.56%
2024-08-06,73.01,71.90,1.01,1.42%,70.73,73.50,34571,24759.11,3.96%
2024-08-05,73.88,70.89,-4.41,-5.86%,70.85,75.35,54738,39944.13,6.28%
2024-08-02,77.60,75.30,-4.02,-5.07%,75.01,78.29,50102,38385.97,5.75%
2024-08-01,78.95,79.32,0.50,0.63%,78.51,80.33,53731,42706.55,6.16%
2024-07-31,74.00,78.82,4.01,5.36%,73.60,79.10,61966,47753.49,7.11%
2024-07-30,74.99,74.81,-0.77,-1.02%,72.88,75.31,45235,33521.91,5.19%
2024-07-29,76.80,75.58,-1.53,-1.98%,75.41,78.00,42352,32337.61,4.86%
2024-07-26,76.47,77.11,0.36,0.47%,75.66,77.47,53798,41220.88,6.17%
2024-07-25,80.50,76.75,-4.65,-5.71%,76.50,80.88,69063,54093.93,7.92%
2024-07-24,83.19,81.40,-1.79,-2.15%,81.30,84.29,43232,35843.12,4.96%
2024-07-23,87.20,83.19,-4.44,-5.07%,83.15,87.48,53851,45795.09,6.18%
2024-07-22,86.86,87.63,0.44,0.50%,86.50,88.52,42462,37262.70,4.87%
2024-07-19,85.71,87.19,0.27,0.31%,85.50,89.42,59280,52124.20,6.80%
2024-07-18,87.49,86.92,-2.59,-2.89%,83.68,88.88,84310,72489.90,9.67%
2024-07-17,91.10,89.51,-3.05,-3.30%,89.26,92.18,54896,49874.09,6.30%
2024-07-16,93.00,92.56,-0.54,-0.58%,88.50,93.39,86868,79307.80,9.96%
2024-07-15,96.90,93.10,-4.22,-4.34%,92.33,98.49,66807,63704.95,7.66%
2024-07-12,96.99,97.32,-1.39,-1.41%,94.85,97.87,63722,61330.55,7.31%
2024-07-11,101.90,98.71,-1.27,-1.27%,96.94,102.28,88789,88423.98,10.18%
2024-07-10,97.00,99.98,0.50,0.50%,96.00,100.94,109593,107831.26,12.57%
2024-07-09,92.60,99.48,6.48,6.97%,91.80,99.50,99196,95551.77,11.38%
2024-07-08,92.10,93.00,1.99,2.19%,91.11,94.68,64389,60016.61,7.38%
2024-07-05,91.00,91.01,-0.61,-0.67%,87.98,91.99,57509,51730.66,6.60%
2024-07-04,93.50,91.62,-2.38,-2.53%,91.35,94.77,54289,50313.50,6.23%
2024-07-03,91.60,94.00,2.01,2.19%,90.15,95.00,78148,72862.59,8.96%
2024-07-02,91.88,91.99,0.27,0.29%,90.50,93.15,75715,69525.37,8.68%
2024-07-01,85.88,91.72,5.32,6.16%,85.20,93.29,94133,84033.79,10.80%
2024-06-28,84.29,86.40,1.09,1.28%,84.26,87.91,53417,46146.72,6.13%
2024-06-27,85.26,85.31,-1.32,-1.52%,85.23,88.40,55702,48288.10,6.39%
2024-06-26,82.01,86.63,5.11,6.27%,81.22,88.61,55469,46869.47,6.36%
2024-06-25,84.50,81.52,-2.78,-3.30%,80.90,84.98,49224,40616.93,5.65%
2024-06-24,87.80,84.30,-4.08,-4.62%,84.21,89.45,59146,51548.64,6.78%
2024-06-21,86.12,88.38,0.02,0.02%,83.60,88.77,57833,50094.71,6.63%
