日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,11.08,10.83,-0.20,-1.81%,10.83,11.13,74581,8176.68,1.29%
2024-09-05,10.95,11.03,0.11,1.01%,10.93,11.09,51275,5644.95,0.88%
2024-09-04,10.86,10.92,-0.10,-0.91%,10.85,11.05,50993,5590.12,0.88%
2024-09-03,11.00,11.02,0.08,0.73%,10.94,11.10,55269,6086.76,0.95%
2024-09-02,11.23,10.94,-0.34,-3.01%,10.91,11.31,86430,9602.68,1.49%
2024-08-30,11.17,11.28,0.12,1.08%,11.15,11.50,140133,15912.04,2.41%
2024-08-29,10.89,11.16,0.19,1.73%,10.87,11.21,79717,8859.30,1.37%
2024-08-28,10.82,10.97,0.14,1.29%,10.75,11.03,63125,6919.01,1.09%
2024-08-27,10.96,10.83,-0.23,-2.08%,10.82,11.06,55606,6061.27,0.96%
2024-08-26,11.01,11.06,0.05,0.45%,10.92,11.14,51432,5687.10,0.89%
2024-08-23,10.98,11.01,-0.04,-0.36%,10.85,11.09,64432,7069.33,1.11%
2024-08-22,11.23,11.05,-0.12,-1.07%,11.01,11.30,73208,8133.40,1.26%
2024-08-21,11.13,11.17,-0.06,-0.53%,11.12,11.34,63603,7129.14,1.10%
2024-08-20,11.40,11.23,-0.15,-1.32%,11.17,11.42,90074,10134.61,1.55%
2024-08-19,11.50,11.38,-0.19,-1.64%,11.35,11.66,103674,11904.48,1.79%
2024-08-16,11.75,11.57,-0.10,-0.86%,11.57,11.90,138084,16147.96,2.38%
2024-08-15,11.61,11.67,0.04,0.34%,11.46,11.84,115748,13512.94,1.99%
2024-08-14,11.79,11.63,-0.14,-1.19%,11.63,11.95,120306,14183.95,2.07%
2024-08-13,11.66,11.77,0.10,0.86%,11.55,11.88,105182,12335.00,1.81%
2024-08-12,12.00,11.67,-0.58,-4.73%,11.61,12.14,177853,21065.33,3.06%
2024-08-09,12.36,12.25,0.13,1.07%,12.14,12.55,211758,26096.75,3.65%
