日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,9.36,9.10,-0.28,-2.99%,9.10,9.39,182549,16805.99,2.16%
2024-09-05,9.39,9.38,0.00,0.00%,9.28,9.46,166062,15555.74,1.96%
2024-09-04,9.44,9.38,-0.23,-2.39%,9.36,9.56,195625,18471.89,2.31%
2024-09-03,9.51,9.61,0.10,1.05%,9.50,9.68,220868,21213.28,2.61%
2024-09-02,9.68,9.51,-0.20,-2.06%,9.50,9.84,304076,29401.18,3.60%
2024-08-30,9.56,9.71,0.20,2.10%,9.56,9.90,472580,46159.48,5.59%
2024-08-29,9.38,9.51,-0.01,-0.11%,9.38,9.66,351497,33518.52,4.42%
2024-08-28,9.10,9.52,0.22,2.37%,8.97,9.60,412943,38335.20,5.19%
2024-08-27,9.00,9.30,0.26,2.88%,8.90,9.75,438647,41119.00,5.52%
2024-08-26,9.08,9.04,-0.04,-0.44%,9.00,9.12,128699,11643.73,1.62%
2024-08-23,8.83,9.08,0.27,3.06%,8.69,9.14,251652,22509.38,3.17%
2024-08-22,8.95,8.81,-0.20,-2.22%,8.80,9.05,158975,14135.00,2.00%
2024-08-21,9.04,9.01,-0.09,-0.99%,9.00,9.26,146180,13282.58,1.84%
2024-08-20,9.33,9.10,-0.15,-1.62%,9.06,9.35,152965,13987.43,1.92%
2024-08-19,9.42,9.25,-0.17,-1.80%,9.22,9.49,197298,18398.94,2.48%
2024-08-16,9.38,9.42,0.05,0.53%,9.38,9.62,256916,24385.84,3.23%
2024-08-15,9.21,9.37,0.12,1.30%,9.16,9.45,193991,18102.52,2.44%
2024-08-14,9.23,9.25,0.05,0.54%,9.15,9.31,156119,14434.34,1.96%
2024-08-13,9.08,9.20,0.12,1.32%,9.06,9.24,136847,12516.82,1.72%
2024-08-12,9.23,9.08,-0.21,-2.26%,9.03,9.30,211161,19328.59,2.66%
2024-08-09,9.50,9.29,-0.08,-0.85%,9.29,9.59,189319,17815.77,2.38%
2024-08-08,9.35,9.37,-0.06,-0.64%,9.20,9.56,206665,19324.93,2.60%
2024-08-07,9.45,9.43,-0.10,-1.05%,9.40,9.60,192796,18307.80,2.42%
2024-08-06,9.44,9.53,0.23,2.47%,9.22,9.54,299398,28052.75,3.77%
2024-08-05,9.66,9.30,-0.47,-4.81%,9.30,9.86,338469,32199.03,4.26%
2024-08-02,10.04,9.77,-0.47,-4.59%,9.76,10.13,369356,36735.50,4.65%
2024-08-01,10.18,10.24,0.24,2.40%,9.98,10.44,526855,53592.47,6.63%
2024-07-31,9.30,10.00,0.66,7.07%,9.25,10.01,606216,59031.09,7.62%
2024-07-30,9.60,9.34,-0.82,-8.07%,9.20,9.68,667005,62465.27,8.39%
2024-07-29,10.16,10.16,-0.03,-0.29%,10.12,10.29,225121,22948.81,2.83%
2024-07-26,10.08,10.19,0.11,1.09%,10.03,10.25,255575,25957.72,3.21%
2024-07-25,10.10,10.08,-0.08,-0.79%,9.98,10.30,296560,29993.20,3.73%
2024-07-24,10.64,10.16,-0.47,-4.42%,10.16,10.79,478199,49853.79,6.01%
2024-07-23,11.13,10.63,-0.44,-3.97%,10.61,11.15,595201,64583.90,7.49%
2024-07-22,10.48,11.07,0.59,5.63%,10.40,11.21,739451,79939.16,9.30%
2024-07-19,10.04,10.48,0.32,3.15%,10.02,10.59,459559,48008.81,5.78%
2024-07-18,9.90,10.16,-0.03,-0.29%,9.66,10.44,449407,45049.30,5.65%
2024-07-17,10.60,10.19,-0.50,-4.68%,10.16,10.66,361468,37435.15,4.55%
2024-07-16,10.45,10.69,0.15,1.42%,10.38,10.75,329712,34844.43,4.15%
2024-07-15,10.76,10.54,-0.15,-1.40%,10.53,10.90,339314,36314.05,4.27%
2024-07-12,10.66,10.69,-0.14,-1.29%,10.57,10.76,320777,34196.90,4.03%
2024-07-11,11.06,10.83,0.03,0.28%,10.61,11.11,631661,68444.98,7.94%
2024-07-10,10.50,10.80,0.16,1.50%,10.45,10.87,543888,58357.79,6.84%
2024-07-09,9.92,10.64,0.60,5.98%,9.80,10.64,599103,61890.17,7.54%
2024-07-08,10.27,10.04,-0.18,-1.76%,9.96,10.43,364491,37255.41,4.58%
2024-07-05,10.20,10.22,-0.15,-1.45%,10.00,10.37,382113,38863.76,4.81%
2024-07-04,10.80,10.37,-0.52,-4.78%,10.33,10.89,465703,49293.98,5.86%
2024-07-03,10.69,10.89,0.02,0.18%,10.56,11.05,523111,56562.62,6.58%
2024-07-02,10.91,10.87,0.03,0.28%,10.81,11.16,552052,60667.71,6.94%
2024-07-01,10.79,10.84,-0.01,-0.09%,10.35,10.96,479288,51175.55,6.03%
2024-06-28,10.61,10.85,0.10,0.93%,10.61,11.09,568330,62079.49,7.15%
2024-06-27,10.93,10.75,-0.30,-2.71%,10.73,11.20,566867,62196.72,7.13%
2024-06-26,10.65,11.05,0.45,4.25%,10.29,11.13,671014,72056.20,8.44%
2024-06-25,11.10,10.60,-0.50,-4.50%,10.45,11.20,648375,69809.81,8.15%
2024-06-24,11.60,11.10,-0.42,-3.65%,11.03,11.73,599081,68426.09,7.53%
2024-06-21,11.41,11.52,-0.11,-0.95%,11.18,11.77,624997,71712.18,7.86%
2024-06-20,12.21,11.63,-0.89,-7.11%,11.56,12.33,1128140,134623.19,14.19%
2024-06-19,12.72,12.52,0.07,0.56%,12.45,13.00,1313426,166741.64,16.52%
2024-06-18,12.51,12.45,-0.25,-1.97%,12.22,12.67,1017696,126667.16,12.80%
