日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,16.69,16.34,-0.38,-2.27%,16.25,17.50,60440,10119.67,3.02%
2024-09-05,16.75,16.72,0.09,0.54%,16.52,16.92,31825,5317.86,1.59%
2024-09-04,16.39,16.63,-0.12,-0.72%,16.33,16.86,33484,5568.12,1.67%
2024-09-03,16.36,16.75,0.35,2.13%,16.31,16.77,40010,6631.72,2.00%
2024-09-02,17.25,16.40,-0.86,-4.98%,16.35,17.25,56613,9499.01,2.83%
2024-08-30,16.48,17.26,0.81,4.92%,16.36,17.60,76068,13082.85,3.80%
2024-08-29,16.15,16.45,0.21,1.29%,15.86,16.60,46514,7582.35,2.32%
2024-08-28,16.28,16.24,-0.09,-0.55%,15.87,16.57,47254,7638.65,2.36%
2024-08-27,17.10,16.33,-0.78,-4.56%,16.20,17.10,60151,9922.76,3.00%
2024-08-26,16.75,17.11,0.21,1.24%,16.59,17.53,63110,10776.74,3.15%
2024-08-23,17.02,16.90,-0.36,-2.09%,16.74,17.55,70040,11931.46,3.50%
2024-08-22,17.90,17.26,-1.07,-5.84%,17.05,18.39,93614,16529.48,4.67%
2024-08-21,17.20,18.33,0.80,4.56%,17.19,19.65,139254,25492.47,6.95%
2024-08-20,18.15,17.53,-0.53,-2.93%,17.40,18.34,114223,20486.07,5.70%
2024-08-19,19.01,18.06,-1.64,-8.32%,17.94,19.35,142365,26251.68,7.10%
2024-08-16,20.41,19.70,-1.60,-7.51%,19.61,20.65,225360,45349.66,11.25%
2024-08-15,18.25,21.30,2.87,15.57%,18.17,21.80,265121,51868.26,13.23%
2024-08-14,16.51,18.43,1.96,11.90%,16.42,19.70,142936,25497.62,7.13%
2024-08-13,16.29,16.47,0.02,0.12%,16.20,16.56,29124,4765.37,1.45%
2024-08-12,16.55,16.45,-0.54,-3.18%,16.21,16.90,45640,7516.22,2.28%
2024-08-09,17.31,16.99,-0.20,-1.16%,16.98,17.49,27116,4661.62,1.37%
2024-08-08,17.49,17.19,-0.36,-2.05%,16.85,17.50,42766,7328.96,2.16%
2024-08-07,17.39,17.55,0.33,1.92%,17.16,18.07,56558,9956.49,2.86%
2024-08-06,16.55,17.22,0.99,6.10%,16.55,17.29,58659,9945.04,2.97%
2024-08-05,17.35,16.23,-1.32,-7.52%,16.20,17.62,60132,10117.94,3.04%
2024-08-02,17.98,17.55,-0.70,-3.84%,17.54,18.24,38318,6844.62,1.94%
2024-08-01,18.15,18.25,0.16,0.88%,17.88,18.45,45910,8355.83,2.32%
2024-07-31,17.14,18.09,0.88,5.11%,17.07,18.16,54120,9626.13,2.74%
2024-07-30,16.88,17.21,0.19,1.12%,16.70,17.45,38573,6575.71,1.95%
2024-07-29,17.07,17.02,-0.03,-0.18%,16.78,17.25,33613,5702.24,1.70%
2024-07-26,17.14,17.05,-0.11,-0.64%,16.90,17.39,34329,5878.63,1.74%
2024-07-25,17.29,17.16,-0.18,-1.04%,16.90,17.57,32959,5655.32,1.67%
2024-07-24,17.50,17.34,-0.33,-1.87%,17.30,17.97,34312,6006.96,1.74%
2024-07-23,18.17,17.67,-0.68,-3.71%,17.67,18.38,37921,6836.83,1.92%
