日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,9.54,9.37,-0.16,-1.68%,9.35,9.72,229923,21866.53,3.62%
2024-09-05,9.37,9.53,0.20,2.14%,9.35,9.65,224774,21374.15,3.54%
2024-09-04,9.31,9.33,-0.07,-0.74%,9.22,9.53,186073,17453.65,2.93%
2024-09-03,9.28,9.40,0.13,1.40%,9.20,9.44,185101,17279.37,2.91%
2024-09-02,9.62,9.27,-0.37,-3.84%,9.27,9.72,207641,19604.63,3.27%
2024-08-30,9.42,9.64,0.16,1.69%,9.42,9.83,263992,25612.37,4.15%
2024-08-29,9.20,9.48,0.20,2.16%,9.14,9.59,243536,22889.27,3.83%
2024-08-28,9.31,9.28,-0.38,-3.93%,9.25,9.50,295879,27676.91,4.66%
2024-08-27,9.91,9.66,-0.39,-3.88%,9.63,9.98,299162,29181.57,4.63%
2024-08-26,10.06,10.05,-0.03,-0.30%,9.95,10.18,263132,26425.50,4.07%
2024-08-23,10.42,10.08,-0.38,-3.63%,10.04,10.49,456523,46490.41,7.07%
2024-08-22,10.05,10.46,0.38,3.77%,9.98,10.94,765237,80948.77,11.85%
2024-08-21,10.14,10.08,-0.14,-1.37%,10.00,10.33,270122,27397.69,4.18%
2024-08-20,10.43,10.22,-0.18,-1.73%,10.15,10.55,295393,30462.35,4.57%
2024-08-19,10.58,10.40,-0.29,-2.71%,10.35,10.72,416255,43642.20,6.44%
2024-08-16,11.43,10.69,-0.21,-1.93%,10.66,11.64,554552,61256.23,8.58%
2024-08-15,10.78,10.90,0.01,0.09%,10.58,11.04,442574,47932.57,6.85%
2024-08-14,10.88,10.89,0.09,0.83%,10.83,11.12,481818,52981.97,7.46%
2024-08-13,10.85,10.80,-0.09,-0.83%,10.57,10.98,403131,43260.42,6.24%
2024-08-12,11.10,10.89,-0.37,-3.29%,10.71,11.25,547912,59706.46,8.48%
2024-08-09,11.36,11.26,-0.13,-1.14%,11.11,11.80,712929,81259.21,11.04%
2024-08-08,11.79,11.39,-0.78,-6.41%,11.15,12.02,962716,111125.71,14.90%
2024-08-07,11.75,12.17,0.55,4.73%,11.64,12.69,1172663,143879.11,18.15%
2024-08-06,11.66,11.62,0.17,1.48%,11.08,11.83,871511,100313.73,13.49%
2024-08-05,12.23,11.45,-1.02,-8.18%,11.35,12.70,1123557,134038.31,17.39%
2024-08-02,12.94,12.47,-1.26,-9.18%,12.39,13.58,1521688,195750.34,23.56%
2024-08-01,11.60,13.73,1.96,16.65%,11.60,14.12,1844433,240640.08,28.55%
2024-07-31,11.12,11.77,0.96,8.88%,11.05,12.55,1377506,160914.38,21.32%
2024-07-30,8.95,10.81,1.80,19.98%,8.92,10.81,693591,69812.93,10.74%
2024-07-29,8.95,9.01,0.10,1.12%,8.93,9.16,195909,17705.33,3.03%
2024-07-26,8.50,8.91,0.44,5.19%,8.48,9.02,207304,18326.89,3.21%
2024-07-25,8.40,8.47,-0.05,-0.59%,8.27,8.67,109369,9236.19,1.69%
2024-07-24,8.55,8.52,-0.04,-0.47%,8.51,8.78,131809,11406.11,2.04%
2024-07-23,8.86,8.56,-0.37,-4.14%,8.55,8.93,114522,10011.13,1.77%
2024-07-22,8.70,8.93,0.21,2.41%,8.70,9.02,157751,14043.45,2.44%
2024-07-19,8.35,8.72,0.31,3.69%,8.35,8.88,145249,12596.77,2.25%
2024-07-18,8.53,8.41,-0.14,-1.64%,8.18,8.53,121189,10098.57,1.88%
2024-07-17,8.90,8.55,-0.36,-4.04%,8.55,8.91,109826,9572.12,1.70%
2024-07-16,8.79,8.91,0.10,1.14%,8.64,8.95,108673,9581.19,1.68%
2024-07-15,8.87,8.81,0.00,0.00%,8.77,9.02,85565,7592.16,1.32%
2024-07-12,8.88,8.81,-0.13,-1.45%,8.78,8.94,81649,7228.76,1.26%
2024-07-11,8.89,8.94,0.25,2.88%,8.82,8.98,121100,10784.41,1.87%
2024-07-10,8.73,8.69,-0.10,-1.14%,8.66,8.92,100089,8791.72,1.55%
2024-07-09,8.50,8.79,0.28,3.29%,8.42,8.82,131094,11343.83,2.03%
2024-07-08,8.76,8.51,-0.28,-3.19%,8.46,8.86,105556,9166.52,1.63%
2024-07-05,8.75,8.79,0.05,0.57%,8.58,8.88,86112,7524.47,1.33%
2024-07-04,9.01,8.74,-0.29,-3.21%,8.74,9.13,106034,9430.18,1.64%
2024-07-03,9.15,9.03,-0.13,-1.42%,8.98,9.18,90064,8166.00,1.39%
2024-07-02,9.15,9.16,0.00,0.00%,9.10,9.35,106026,9769.24,1.64%
2024-07-01,9.05,9.16,0.05,0.55%,8.94,9.20,93038,8444.45,1.44%
2024-06-28,9.01,9.11,0.09,1.00%,9.01,9.28,125941,11573.56,1.95%
2024-06-27,9.18,9.02,-0.27,-2.91%,9.01,9.30,109050,10003.89,1.69%
2024-06-26,8.94,9.29,0.36,4.03%,8.79,9.33,140509,12795.63,2.18%
2024-06-25,9.07,8.93,-0.07,-0.78%,8.76,9.09,143005,12773.83,2.21%
2024-06-24,9.30,9.00,-0.44,-4.66%,9.00,9.46,171979,15819.67,2.66%
2024-06-21,9.57,9.44,-0.21,-2.18%,9.36,9.60,150733,14289.57,2.33%
2024-06-20,9.94,9.65,-0.37,-3.69%,9.64,10.01,242282,23805.20,3.75%
2024-06-19,9.81,10.02,0.21,2.14%,9.73,10.07,279697,27747.17,4.33%
2024-06-18,9.66,9.81,0.17,1.76%,9.60,9.86,196856,19256.09,3.05%
2024-06-17,9.58,9.64,0.04,0.42%,9.52,9.75,141419,13647.19,2.19%
2024-06-14,9.66,9.60,-0.16,-1.64%,9.45,9.69,194914,18649.04,3.02%
2024-06-13,9.69,9.76,0.07,0.72%,9.61,9.92,267978,26212.11,4.15%
2024-06-12,9.68,9.69,-0.01,-0.10%,9.59,9.77,208017,20128.64,3.22%
2024-06-11,9.26,9.70,0.42,4.53%,8.91,9.80,265924,25120.88,4.12%
2024-06-07,9.46,9.28,0.00,0.00%,9.16,9.51,204332,19056.52,3.16%
2024-06-06,9.78,9.28,-0.50,-5.11%,9.20,10.00,346511,33033.15,5.36%
2024-06-05,10.00,9.78,-0.29,-2.88%,9.77,10.36,338678,34152.30,5.24%
2024-06-04,10.41,10.07,-0.49,-4.64%,9.90,10.52,404076,40904.09,6.26%
2024-06-03,10.88,10.56,-0.27,-2.49%,10.46,11.04,460898,49440.20,7.14%
2024-05-31,10.54,10.83,0.24,2.27%,10.35,11.04,709219,75987.92,10.98%
2024-05-30,9.73,10.59,0.70,7.08%,9.60,10.74,683835,71041.34,10.59%
2024-05-29,10.30,9.89,0.07,0.71%,9.86,10.58,338968,34403.41,5.25%
2024-05-28,9.52,9.82,0.31,3.26%,9.40,10.15,305713,30259.66,4.73%
2024-05-27,9.37,9.51,0.18,1.93%,9.13,9.52,138104,12863.32,2.14%
2024-05-24,9.56,9.33,-0.34,-3.52%,9.28,9.70,154662,14637.04,2.39%
2024-05-23,10.10,9.67,-0.27,-2.72%,9.65,10.16,198944,19610.06,3.08%
2024-05-22,9.79,9.94,0.10,1.02%,9.73,10.10,164740,16355.76,2.55%
