日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,5.54,5.40,-0.24,-4.26%,5.39,5.70,1042011,57362.04,9.97%
2024-09-05,5.36,5.64,0.28,5.22%,5.28,5.76,1491899,82324.83,14.28%
2024-09-04,5.50,5.36,-0.23,-4.11%,5.23,5.61,1222600,65579.30,11.70%
2024-09-03,5.67,5.59,-0.14,-2.44%,5.49,5.88,1613077,91566.31,15.44%
2024-09-02,5.75,5.73,-0.01,-0.17%,5.63,6.26,2733871,160955.69,26.17%
2024-08-30,4.90,5.74,0.96,20.08%,4.90,5.74,1857956,101645.10,17.78%
2024-08-29,4.72,4.78,-0.03,-0.62%,4.64,4.84,491849,23420.73,4.78%
2024-08-28,4.68,4.81,0.08,1.69%,4.68,4.98,508433,24497.68,4.94%
2024-08-27,5.07,4.73,-0.42,-8.16%,4.72,5.07,778016,37880.88,7.56%
2024-08-26,4.87,5.15,0.23,4.67%,4.85,5.15,954889,47937.62,9.28%
2024-08-23,4.81,4.92,0.09,1.86%,4.74,5.01,788070,38539.14,7.66%
2024-08-22,4.88,4.83,-0.13,-2.62%,4.78,5.05,787885,38519.31,7.66%
2024-08-21,5.03,4.96,-0.16,-3.13%,4.92,5.28,1111370,56457.68,10.81%
2024-08-20,4.78,5.12,0.21,4.28%,4.78,5.60,1514314,78122.30,14.72%
2024-08-19,4.88,4.91,0.02,0.41%,4.75,5.16,1319972,65456.48,12.83%
2024-08-16,4.54,4.89,0.43,9.64%,4.54,5.35,1636628,80026.56,15.91%
2024-08-15,4.32,4.46,0.11,2.53%,4.28,4.49,346030,15317.65,3.36%
2024-08-14,4.27,4.35,0.09,2.11%,4.25,4.41,271543,11814.89,2.64%
2024-08-13,4.20,4.26,0.06,1.43%,4.18,4.27,117686,4968.36,1.14%
2024-08-12,4.25,4.20,-0.08,-1.87%,4.18,4.30,152505,6454.34,1.48%
2024-08-09,4.33,4.28,-0.03,-0.70%,4.27,4.37,182342,7888.30,1.77%
2024-08-08,4.26,4.31,0.03,0.70%,4.19,4.32,179816,7659.22,1.75%
2024-08-07,4.29,4.28,-0.03,-0.70%,4.28,4.35,121362,5234.42,1.18%
2024-08-06,4.30,4.31,0.07,1.65%,4.26,4.37,186106,7993.80,1.81%
2024-08-05,4.35,4.24,-0.13,-2.97%,4.24,4.40,267776,11568.01,2.60%
2024-08-02,4.43,4.37,-0.12,-2.67%,4.36,4.49,256462,11357.78,2.49%
2024-08-01,4.45,4.49,0.04,0.90%,4.43,4.54,331724,14868.11,3.23%
2024-07-31,4.33,4.45,0.09,2.06%,4.31,4.46,350178,15445.85,3.40%
2024-07-30,4.32,4.36,0.06,1.40%,4.26,4.36,273870,11809.63,2.66%
2024-07-29,4.23,4.30,0.08,1.90%,4.19,4.32,268635,11461.22,2.61%
2024-07-26,4.15,4.22,0.06,1.44%,4.15,4.25,183984,7751.39,1.79%
2024-07-25,4.15,4.16,-0.01,-0.24%,4.08,4.22,185985,7697.52,1.81%
2024-07-24,4.24,4.17,-0.10,-2.34%,4.16,4.31,220783,9298.74,2.15%
