日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,46.17,45.26,-0.91,-1.97%,45.14,46.29,30663,13954.91,0.73%
2024-09-05,45.56,46.17,0.51,1.12%,45.56,46.46,44789,20646.54,1.07%
2024-09-04,45.29,45.66,-0.23,-0.50%,45.29,46.25,36980,16937.35,0.88%
2024-09-03,44.95,45.89,0.94,2.09%,44.66,46.47,49155,22570.21,1.17%
2024-09-02,46.23,44.95,-1.73,-3.71%,44.95,46.90,53605,24526.74,1.28%
2024-08-30,45.32,46.68,1.17,2.57%,45.01,47.08,66689,31033.79,1.59%
2024-08-29,44.10,45.51,1.39,3.15%,43.80,45.89,65896,29759.64,1.57%
2024-08-28,43.50,44.12,0.42,0.96%,43.36,44.25,43741,19176.19,1.05%
2024-08-27,44.25,43.70,-0.58,-1.31%,43.50,44.41,45144,19821.23,1.09%
2024-08-26,44.35,44.28,-0.10,-0.23%,43.92,44.78,43260,19145.27,1.04%
2024-08-23,45.04,44.38,-0.86,-1.90%,44.26,45.36,48242,21527.20,1.16%
2024-08-22,45.32,45.24,-0.10,-0.22%,44.95,45.87,55821,25363.35,1.34%
2024-08-21,46.37,45.34,-1.35,-2.89%,45.20,46.80,79140,36192.44,1.90%
2024-08-20,48.18,46.69,-1.41,-2.93%,46.50,48.55,51786,24440.82,1.25%
2024-08-19,48.39,48.10,-0.13,-0.27%,48.02,48.94,26615,12907.54,0.64%
2024-08-16,49.00,48.23,-0.47,-0.97%,48.22,49.10,30370,14774.29,0.73%
2024-08-15,48.20,48.70,0.45,0.93%,47.69,49.20,42775,20819.92,1.03%
2024-08-14,48.61,48.25,-0.35,-0.72%,48.10,48.98,42184,20423.04,1.01%
2024-08-13,48.41,48.60,0.26,0.54%,48.10,48.99,35058,17008.56,0.84%
2024-08-12,49.58,48.34,-2.26,-4.47%,48.05,50.03,70571,34476.17,1.70%
2024-08-09,50.84,50.60,0.34,0.68%,50.60,51.40,49103,25010.93,1.18%
2024-08-08,50.65,50.26,-0.97,-1.89%,49.88,51.69,60630,30690.95,1.46%
2024-08-07,52.71,51.23,-1.57,-2.97%,50.60,52.98,53646,27839.55,1.29%
2024-08-06,53.50,52.80,0.28,0.53%,51.92,53.60,54498,28621.53,1.31%
2024-08-05,54.27,52.52,-2.46,-4.47%,52.51,55.16,66134,35385.76,1.59%
2024-08-02,56.01,54.98,-1.62,-2.86%,54.68,56.59,59423,33066.38,1.43%
2024-08-01,55.99,56.60,0.75,1.34%,55.38,57.50,81283,45886.39,1.96%
2024-07-31,54.06,55.85,1.59,2.93%,53.81,55.89,64131,35448.26,1.54%
2024-07-30,53.50,54.26,0.54,1.01%,52.78,54.37,46899,25200.43,1.13%
2024-07-29,54.80,53.72,-1.06,-1.94%,53.72,54.92,47200,25546.39,1.14%
2024-07-26,54.78,54.78,-0.30,-0.54%,54.26,55.72,56328,30945.53,1.35%
2024-07-25,55.62,55.08,-1.00,-1.78%,54.67,55.94,64488,35572.37,1.55%
2024-07-24,56.45,56.08,-0.99,-1.73%,55.89,57.79,68566,38959.16,1.65%
2024-07-23,60.00,57.07,-3.02,-5.03%,57.05,60.00,82587,48192.14,1.99%
2024-07-22,60.00,60.09,-0.02,-0.03%,59.33,60.77,92954,55828.21,2.24%
2024-07-19,56.06,60.11,3.68,6.52%,55.90,62.26,180002,107432.30,4.33%
2024-07-18,55.78,56.43,-0.09,-0.16%,54.53,56.88,64102,35727.81,1.54%
2024-07-17,56.74,56.52,-0.45,-0.79%,56.40,57.39,56495,32156.47,1.36%
2024-07-16,55.51,56.97,1.37,2.46%,55.06,57.14,67321,37893.73,1.62%
2024-07-15,55.79,55.60,-0.16,-0.29%,55.45,56.60,42893,24015.46,1.03%
2024-07-12,55.30,55.76,-0.11,-0.20%,54.76,56.03,47097,26064.58,1.13%
2024-07-11,56.30,55.87,0.45,0.81%,55.60,56.76,72602,40717.30,1.75%
2024-07-10,54.67,55.42,0.15,0.27%,54.54,55.85,52631,29173.45,1.27%
2024-07-09,52.66,55.27,2.38,4.50%,52.38,55.39,86943,47215.79,2.09%
2024-07-08,53.87,52.89,-0.74,-1.38%,52.74,54.57,42713,22961.81,1.03%
2024-07-05,53.41,53.63,0.06,0.11%,52.66,54.03,32372,17254.95,0.78%
2024-07-04,54.61,53.57,-1.03,-1.89%,53.50,54.98,42343,22937.20,1.02%
2024-07-03,54.07,54.60,0.44,0.81%,53.54,55.40,41287,22516.46,0.99%
2024-07-02,55.42,54.16,-1.35,-2.43%,54.01,55.54,36067,19746.42,0.87%
2024-07-01,55.09,55.51,0.07,0.13%,53.59,55.76,47173,25796.86,1.13%
2024-06-28,54.75,55.44,0.26,0.47%,54.65,56.19,59893,33255.82,1.44%
2024-06-27,54.53,55.18,0.20,0.36%,54.38,57.58,82628,46326.74,1.99%
2024-06-26,53.00,54.98,1.29,2.40%,52.88,55.33,87949,47647.48,2.12%
2024-06-25,56.75,53.69,-3.06,-5.39%,52.99,56.94,97995,53405.53,2.36%
2024-06-24,58.80,56.75,-2.06,-3.50%,56.68,59.55,67267,39104.36,1.62%
2024-06-21,57.50,58.81,0.19,0.32%,56.60,59.06,62858,36515.78,1.51%
2024-06-20,59.60,58.62,-1.36,-2.27%,58.50,60.80,94434,56424.50,2.27%
2024-06-19,61.10,59.98,-0.45,-0.74%,59.15,61.49,82132,49366.63,1.98%
2024-06-18,60.87,60.43,-0.50,-0.82%,59.91,61.37,79545,48212.68,1.91%
2024-06-17,60.40,60.93,0.16,0.26%,60.30,61.60,98434,60106.23,2.37%
2024-06-14,59.41,60.77,0.69,1.15%,59.07,61.35,118660,71644.88,2.85%
2024-06-13,60.99,60.08,0.21,0.35%,60.03,61.36,109328,66432.86,2.63%
2024-06-12,59.91,59.87,-0.24,-0.40%,59.51,60.47,70499,42264.52,1.70%
2024-06-11,58.00,60.11,2.31,4.00%,57.92,60.30,89646,53358.86,2.16%
2024-06-07,58.60,57.80,-0.65,-1.11%,57.57,59.61,52812,30835.15,1.27%
2024-06-06,60.00,58.45,-0.88,-1.48%,58.31,60.64,72483,43122.18,1.74%
2024-06-05,59.37,59.33,-0.26,-0.44%,59.22,60.64,63037,37909.04,1.52%
2024-06-04,59.54,59.59,-0.63,-1.05%,58.78,60.02,64360,38135.52,1.55%
2024-06-03,59.17,60.22,2.00,3.44%,58.99,61.13,125662,75793.80,3.02%
2024-05-31,58.10,58.22,-0.15,-0.26%,57.84,58.93,56984,33229.64,1.37%
2024-05-30,56.58,58.37,1.76,3.11%,55.89,59.31,83430,48310.67,2.01%
2024-05-29,56.95,56.61,-0.86,-1.50%,56.36,57.50,44245,25142.92,1.06%
2024-05-28,57.30,57.47,0.39,0.68%,56.52,59.14,80914,46962.20,1.95%
2024-05-27,56.20,57.28,1.45,2.60%,54.69,57.28,58888,33041.20,1.42%
2024-05-24,59.12,55.83,-3.17,-5.37%,55.81,59.46,75418,43055.89,1.81%
2024-05-23,60.37,59.00,-1.28,-2.12%,59.00,60.37,36940,22021.92,0.89%
2024-05-22,59.80,60.28,0.52,0.87%,59.58,60.33,33383,20028.08,0.80%
2024-05-21,60.16,59.76,-0.60,-0.99%,59.70,60.47,34387,20627.53,0.83%
2024-05-20,60.45,60.36,-0.13,-0.21%,60.00,60.96,43448,26249.51,1.04%
2024-05-17,59.98,60.49,0.39,0.65%,59.37,60.50,40277,24172.93,0.97%
2024-05-16,60.66,60.10,0.01,0.02%,60.00,60.98,43278,26168.12,1.04%
2024-05-15,62.00,60.09,-2.04,-3.28%,59.94,62.33,66178,40253.10,1.59%
2024-05-14,62.61,62.13,-0.47,-0.75%,61.71,63.74,48907,30560.67,1.18%
2024-05-13,62.43,62.60,-0.44,-0.70%,61.26,63.51,53721,33647.71,1.29%
2024-05-10,64.74,63.04,-1.25,-1.94%,62.37,64.74,74363,47021.84,1.79%
2024-05-09,62.95,64.29,1.35,2.14%,62.80,64.48,66015,42158.84,1.59%
2024-05-08,63.91,62.94,-1.22,-1.90%,62.67,63.99,55356,34961.74,1.33%
2024-05-07,64.30,64.16,0.14,0.22%,63.55,65.50,71885,46397.30,1.73%
2024-05-06,65.01,64.02,0.13,0.20%,64.01,65.30,87064,56206.82,2.09%
