日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,10.75,10.35,-0.40,-3.72%,10.30,10.79,142592,14983.82,3.87%
2024-09-05,10.71,10.75,0.05,0.47%,10.66,10.90,130607,14061.32,3.54%
2024-09-04,10.75,10.70,-0.22,-2.01%,10.60,10.91,131633,14147.53,3.57%
2024-09-03,10.88,10.92,-0.01,-0.09%,10.70,11.02,186416,20277.90,5.05%
2024-09-02,11.25,10.93,-0.42,-3.70%,10.89,11.38,290270,32177.92,7.87%
2024-08-30,10.08,11.35,1.29,12.82%,10.04,11.80,489730,54386.02,13.28%
2024-08-29,9.75,10.06,0.27,2.76%,9.70,10.10,86307,8583.50,2.34%
2024-08-28,9.72,9.79,0.02,0.20%,9.67,9.89,69997,6838.96,1.90%
2024-08-27,9.98,9.77,-0.27,-2.69%,9.72,10.08,106778,10522.05,2.89%
2024-08-26,10.24,10.04,-0.06,-0.59%,9.98,10.31,91112,9195.75,2.47%
2024-08-23,9.97,10.10,0.07,0.70%,9.91,10.23,97240,9807.82,2.64%
2024-08-22,10.30,10.03,-0.24,-2.34%,9.98,10.44,121416,12348.91,3.29%
2024-08-21,10.28,10.27,-0.04,-0.39%,10.23,10.51,113784,11822.96,3.08%
2024-08-20,10.46,10.31,-0.09,-0.87%,10.25,10.62,125717,13102.58,3.41%
2024-08-19,10.46,10.40,-0.09,-0.86%,10.35,10.62,111506,11679.00,3.02%
2024-08-16,10.48,10.49,-0.03,-0.29%,10.46,10.77,167049,17717.32,4.53%
2024-08-15,10.12,10.52,0.33,3.24%,10.09,10.66,181922,18991.08,4.93%
2024-08-14,10.12,10.19,0.11,1.09%,10.03,10.31,134303,13692.83,3.64%
2024-08-13,9.86,10.08,0.21,2.13%,9.85,10.09,94889,9472.43,2.57%
2024-08-12,10.03,9.87,-0.16,-1.60%,9.74,10.09,106251,10502.87,2.88%
2024-08-09,10.09,10.03,0.14,1.42%,10.00,10.36,177158,18017.54,4.80%
2024-08-08,10.01,9.89,-0.30,-2.94%,9.70,10.15,186920,18517.24,5.07%
2024-08-07,10.25,10.19,-0.12,-1.16%,10.14,10.44,134544,13865.92,3.65%
2024-08-06,10.45,10.31,0.10,0.98%,10.10,10.58,153989,15808.75,4.17%
2024-08-05,10.58,10.21,-0.59,-5.46%,10.19,10.82,192695,20215.51,5.22%
2024-08-02,11.02,10.80,-0.48,-4.26%,10.79,11.23,239254,26351.27,6.49%
2024-08-01,10.95,11.28,0.36,3.30%,10.89,11.48,337421,37915.02,9.15%
2024-07-31,10.40,10.92,0.30,2.82%,10.38,10.95,307782,32965.92,8.34%
2024-07-30,10.02,10.62,0.50,4.94%,9.97,10.64,259756,27037.28,7.04%
2024-07-29,10.20,10.12,-0.08,-0.78%,10.10,10.33,117181,11964.07,3.18%
2024-07-26,10.07,10.20,0.11,1.09%,9.97,10.30,132135,13407.17,3.58%
2024-07-25,10.01,10.09,-0.06,-0.59%,9.90,10.26,127464,12842.73,3.46%
2024-07-24,10.12,10.15,-0.08,-0.78%,10.09,10.36,142579,14565.03,3.87%
2024-07-23,10.42,10.23,-0.37,-3.49%,10.19,10.65,210470,21916.30,5.71%
2024-07-22,10.47,10.60,0.18,1.73%,10.47,10.93,306027,32758.70,8.30%
2024-07-19,10.17,10.42,0.15,1.46%,10.12,10.59,267240,27902.88,7.24%
2024-07-18,10.00,10.27,0.14,1.38%,9.64,10.33,267808,26745.34,7.26%
2024-07-17,10.23,10.13,-0.31,-2.97%,10.10,10.63,247392,25589.25,6.71%
2024-07-16,10.02,10.44,0.54,5.45%,9.95,10.50,364543,37476.22,9.88%
2024-07-15,10.50,9.90,0.71,7.73%,9.86,10.50,341989,34557.46,9.27%
2024-07-12,9.16,9.19,-0.06,-0.65%,9.12,9.27,63154,5809.60,1.71%
2024-07-11,9.35,9.25,0.13,1.43%,9.16,9.47,95461,8859.01,2.59%
2024-07-10,9.18,9.12,-0.08,-0.87%,9.09,9.39,85971,7951.41,2.33%
2024-07-09,8.84,9.20,0.32,3.60%,8.81,9.22,103663,9408.86,2.81%
2024-07-08,8.96,8.88,-0.16,-1.77%,8.85,9.14,72666,6526.26,1.97%
2024-07-05,8.91,9.04,0.13,1.46%,8.79,9.12,72847,6552.48,1.97%
2024-07-04,9.20,8.91,-0.26,-2.84%,8.89,9.25,82875,7499.23,2.25%
2024-07-03,9.42,9.17,-0.21,-2.24%,9.15,9.44,101194,9381.65,2.74%
2024-07-02,9.33,9.38,0.25,2.74%,9.24,9.66,152588,14364.64,4.14%
2024-07-01,9.10,9.13,0.00,0.00%,8.80,9.18,101156,9109.89,2.74%
2024-06-28,9.13,9.13,-0.09,-0.98%,9.11,9.45,119841,11116.45,3.25%
2024-06-27,9.10,9.22,0.00,0.00%,9.05,9.68,174935,16455.77,4.74%
2024-06-26,8.72,9.22,0.50,5.73%,8.53,9.24,129516,11544.58,3.51%
2024-06-25,9.22,8.72,-0.51,-5.53%,8.59,9.25,178727,15793.55,4.85%
2024-06-24,9.80,9.23,-0.65,-6.58%,9.19,9.84,160445,15159.00,4.35%
2024-06-21,9.80,9.88,-0.14,-1.40%,9.60,9.97,119716,11784.11,3.25%
2024-06-20,10.43,10.02,-0.52,-4.93%,10.02,10.46,184770,18957.89,5.01%
2024-06-19,10.29,10.54,0.30,2.93%,10.29,10.63,262752,27580.09,7.12%
2024-06-18,10.26,10.24,-0.01,-0.10%,10.15,10.34,122343,12540.77,3.32%
2024-06-17,10.15,10.25,0.04,0.39%,10.05,10.31,113901,11631.32,3.09%
2024-06-14,10.24,10.21,-0.07,-0.68%,10.04,10.37,134411,13710.17,3.64%
2024-06-13,10.33,10.28,-0.07,-0.68%,10.21,10.48,170563,17629.69,4.62%
2024-06-12,9.91,10.35,0.31,3.09%,9.91,10.52,219985,22607.66,5.96%
2024-06-11,9.54,10.04,0.42,4.37%,9.47,10.20,169392,16871.63,4.59%
2024-06-07,9.61,9.62,0.18,1.91%,9.41,9.83,118772,11390.24,3.22%
