日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,25.22,24.37,-0.83,-3.29%,24.20,25.33,87344,21460.53,1.98%
2024-09-05,25.70,25.20,-0.62,-2.40%,25.10,25.85,82051,20833.20,1.86%
2024-09-04,25.11,25.82,0.29,1.14%,24.80,26.17,107605,27410.82,2.44%
2024-09-03,25.06,25.53,0.31,1.23%,25.06,25.85,60927,15558.17,1.38%
2024-09-02,26.54,25.22,-1.31,-4.94%,25.21,26.65,90275,23263.07,2.05%
2024-08-30,25.78,26.53,0.75,2.91%,25.78,27.03,114470,30537.73,2.60%
2024-08-29,25.20,25.78,0.78,3.12%,24.71,26.16,90099,23077.90,2.05%
2024-08-28,24.79,25.00,-0.03,-0.12%,24.79,25.79,64713,16333.88,1.47%
2024-08-27,25.26,25.03,-0.42,-1.65%,24.91,25.54,54538,13717.83,1.24%
2024-08-26,25.16,25.45,0.29,1.15%,25.01,26.03,64708,16512.85,1.47%
2024-08-23,24.90,25.16,0.14,0.56%,24.72,25.35,38652,9680.61,0.88%
2024-08-22,25.33,25.02,-0.33,-1.30%,24.84,25.43,45723,11478.08,1.04%
2024-08-21,25.10,25.35,0.10,0.40%,25.07,25.76,48692,12417.60,1.11%
2024-08-20,25.89,25.25,-0.64,-2.47%,25.07,25.99,55111,14013.67,1.25%
2024-08-19,25.85,25.89,0.01,0.04%,25.51,26.30,53303,13842.54,1.21%
2024-08-16,26.05,25.88,0.20,0.78%,25.80,26.49,76022,19880.02,1.73%
2024-08-15,25.38,25.68,0.06,0.23%,25.30,26.18,60701,15637.97,1.38%
2024-08-14,25.77,25.62,-0.04,-0.16%,25.54,26.17,62960,16276.46,1.43%
2024-08-13,25.50,25.66,0.25,0.98%,25.17,25.75,57882,14714.04,1.31%
2024-08-12,25.97,25.41,-0.67,-2.57%,25.24,26.11,85165,21816.59,1.93%
2024-08-09,26.70,26.08,-0.12,-0.46%,26.06,26.94,51185,13499.19,1.16%
2024-08-08,26.10,26.20,-0.09,-0.34%,25.79,26.63,49029,12840.96,1.11%
2024-08-07,26.67,26.29,-0.55,-2.05%,26.21,26.85,50495,13389.31,1.15%
2024-08-06,26.37,26.84,1.01,3.91%,26.26,26.99,78414,20846.45,1.78%
2024-08-05,27.06,25.83,-1.66,-6.04%,25.77,27.52,105325,28026.92,2.39%
2024-08-02,28.38,27.49,-1.26,-4.38%,27.42,28.67,80250,22468.70,1.82%
2024-08-01,29.07,28.75,-0.28,-0.96%,28.27,29.39,93866,27077.17,2.13%
2024-07-31,27.00,29.03,1.83,6.73%,26.98,29.03,116657,33037.60,2.65%
2024-07-30,27.34,27.20,-0.05,-0.18%,26.60,27.58,64195,17378.00,1.46%
2024-07-29,27.30,27.25,-0.09,-0.33%,27.04,27.85,62976,17251.12,1.43%
2024-07-26,26.96,27.34,0.39,1.45%,26.53,27.92,89025,24176.48,2.02%
2024-07-25,27.63,26.95,-1.05,-3.75%,26.77,27.71,89068,24159.54,2.02%
2024-07-24,28.23,28.00,-0.22,-0.78%,27.85,28.99,86296,24529.04,1.96%
2024-07-23,29.90,28.22,-1.70,-5.68%,28.21,30.02,95406,27695.30,2.17%
2024-07-22,31.12,29.92,-0.87,-2.83%,29.84,31.21,94714,28623.12,2.15%
2024-07-19,30.33,30.79,0.14,0.46%,30.23,31.30,75845,23453.19,1.72%
2024-07-18,30.31,30.65,-0.48,-1.54%,29.30,31.04,115627,34866.29,2.63%
2024-07-17,32.06,31.13,-0.96,-2.99%,31.05,32.45,99853,31712.07,2.27%
2024-07-16,31.51,32.09,0.80,2.56%,31.11,32.29,134158,42604.10,3.05%
2024-07-15,31.82,31.29,-0.21,-0.67%,30.81,32.69,166537,52602.72,3.78%
2024-07-12,30.50,31.50,0.48,1.55%,30.27,31.80,124698,38831.05,2.83%
2024-07-11,30.83,31.02,0.53,1.74%,30.34,31.31,121785,37586.56,2.77%
2024-07-10,28.85,30.49,1.67,5.79%,28.58,31.12,199114,60126.59,4.52%
2024-07-09,27.75,28.99,1.37,4.96%,27.48,29.07,110764,31467.00,2.52%
2024-07-08,28.44,27.62,-0.86,-3.02%,27.40,28.70,75475,21097.25,1.71%
2024-07-05,28.32,28.48,0.16,0.56%,27.76,28.80,74690,21098.61,1.70%
2024-07-04,29.42,28.32,-0.90,-3.08%,28.21,29.55,77757,22331.27,1.77%
2024-07-03,29.40,29.22,-0.25,-0.85%,29.01,29.79,61040,17918.58,1.39%
2024-07-02,29.95,29.47,-0.61,-2.03%,29.23,30.15,77686,23029.45,1.76%
2024-07-01,29.80,30.08,0.51,1.72%,29.09,30.37,101238,30054.98,2.30%
2024-06-28,29.06,29.57,0.34,1.16%,29.01,30.41,106288,31792.62,2.41%
2024-06-27,29.80,29.23,-0.99,-3.28%,29.10,30.28,95892,28490.10,2.18%
2024-06-26,29.26,30.22,1.07,3.67%,28.75,30.50,123266,36405.12,2.80%
2024-06-25,30.74,29.15,-1.47,-4.80%,28.72,30.86,201575,59225.69,4.58%
2024-06-24,32.50,30.62,-2.25,-6.85%,30.35,33.05,178310,56105.79,4.05%
2024-06-21,32.90,32.87,-0.57,-1.70%,32.27,33.33,130228,42632.97,2.96%
2024-06-20,34.87,33.44,-1.86,-5.27%,33.44,35.23,172007,59071.62,3.91%
2024-06-19,35.48,35.30,0.14,0.40%,34.45,36.30,197900,70187.11,4.50%
2024-06-18,35.78,35.16,-0.34,-0.96%,34.98,36.75,256178,91629.19,5.82%
2024-06-17,33.95,35.50,1.06,3.08%,33.86,35.68,190960,66721.34,4.34%
2024-06-14,33.08,34.44,1.17,3.52%,31.80,35.05,227224,76536.58,5.16%
2024-06-13,33.70,33.27,-0.41,-1.22%,33.18,33.97,114356,38338.55,2.60%
2024-06-12,33.64,33.68,-0.21,-0.62%,32.91,34.38,138918,46523.70,3.16%
2024-06-11,33.00,33.89,0.71,2.14%,32.90,34.09,121847,40923.77,2.77%
2024-06-07,34.30,33.18,-1.12,-3.27%,32.73,34.77,133587,44742.55,3.03%
2024-06-06,34.79,34.30,0.14,0.41%,33.95,35.37,137387,47594.03,3.12%
2024-06-05,34.23,34.16,-0.56,-1.61%,34.00,35.40,114757,39881.27,2.61%
2024-06-04,35.55,34.72,-1.55,-4.27%,33.90,35.80,216217,75139.11,4.91%
