日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,54.21,50.82,-3.39,-6.25%,50.78,54.99,46003,24146.01,2.28%
2024-09-05,53.20,54.21,1.11,2.09%,53.00,54.89,30166,16318.62,1.49%
2024-09-04,53.00,53.10,-0.50,-0.93%,52.90,53.75,17576,9362.40,0.87%
2024-09-03,53.01,53.60,0.52,0.98%,52.47,53.78,24925,13263.03,1.23%
2024-09-02,55.43,53.08,-2.38,-4.29%,53.07,55.87,27878,15053.05,1.38%
2024-08-30,54.83,55.46,0.73,1.33%,54.57,56.27,33961,18909.95,1.68%
2024-08-29,54.40,54.73,0.05,0.09%,53.92,55.02,27593,15063.87,1.37%
2024-08-28,52.92,54.68,1.68,3.17%,52.91,55.30,30929,16878.45,1.53%
2024-08-27,53.27,53.00,-0.80,-1.49%,52.61,54.27,24182,12900.36,1.20%
2024-08-26,53.61,53.80,0.05,0.09%,53.61,54.52,19244,10402.48,0.95%
2024-08-23,53.30,53.75,0.35,0.66%,52.51,54.00,22603,12032.04,1.12%
2024-08-22,53.64,53.40,-0.18,-0.34%,53.04,54.04,18538,9930.64,0.92%
2024-08-21,53.47,53.58,0.10,0.19%,53.20,54.65,17726,9560.09,0.88%
2024-08-20,54.96,53.48,-1.50,-2.73%,53.32,54.96,23626,12696.55,1.17%
2024-08-19,56.01,54.98,-1.26,-2.24%,54.38,56.80,37444,20681.80,1.85%
2024-08-16,56.41,56.24,-0.16,-0.28%,56.05,57.36,24756,13982.14,1.23%
2024-08-15,56.48,56.40,-0.60,-1.05%,55.91,57.18,26718,15100.05,1.32%
2024-08-14,57.87,57.00,-0.79,-1.37%,56.11,58.06,29472,16741.69,1.46%
2024-08-13,57.47,57.79,0.30,0.52%,56.61,57.97,21414,12249.12,1.06%
2024-08-12,56.61,57.49,0.49,0.86%,56.08,58.04,21431,12285.86,1.06%
2024-08-09,57.58,57.00,0.00,0.00%,56.98,59.19,40504,23492.97,2.00%
2024-08-08,56.09,57.00,0.67,1.19%,55.17,58.50,31219,17775.68,1.55%
2024-08-07,57.39,56.33,-0.94,-1.64%,56.33,57.58,21480,12210.22,1.06%
2024-08-06,57.02,57.27,0.93,1.65%,56.41,58.00,29433,16820.13,1.46%
2024-08-05,59.08,56.34,-3.37,-5.64%,55.90,59.94,57053,32759.38,2.82%
2024-08-02,60.26,59.71,-1.47,-2.40%,59.65,61.79,39195,23713.72,1.94%
2024-08-01,60.00,61.18,1.52,2.55%,59.16,62.20,65910,40149.55,3.26%
2024-07-31,55.76,59.66,3.82,6.84%,55.37,59.70,62312,36272.67,3.08%
2024-07-30,55.52,55.84,-0.03,-0.05%,54.68,56.76,28831,16073.02,1.43%
2024-07-29,54.96,55.87,0.91,1.66%,54.56,57.40,37493,21046.94,1.86%
2024-07-26,54.68,54.96,0.29,0.53%,53.94,56.49,35065,19246.37,1.74%
2024-07-25,55.07,54.67,-0.40,-0.73%,53.80,55.88,52236,28528.28,2.59%
2024-07-24,58.23,55.07,-3.63,-6.18%,55.01,59.40,53307,30231.74,2.64%
2024-07-23,61.06,58.70,-2.57,-4.19%,58.62,61.29,50031,29889.43,2.48%
2024-07-22,61.81,61.27,-0.43,-0.70%,60.80,62.10,42925,26372.83,2.12%
2024-07-19,61.94,61.70,-0.15,-0.24%,61.08,62.85,52779,32755.79,2.61%
2024-07-18,60.15,61.85,0.92,1.51%,59.15,62.88,60499,36923.31,2.99%
2024-07-17,61.01,60.93,-0.33,-0.54%,60.60,62.55,50957,31356.54,2.52%
2024-07-16,60.25,61.26,1.10,1.83%,59.50,61.64,53476,32477.26,2.65%
2024-07-15,60.50,60.16,-1.34,-2.18%,58.66,61.79,75715,45520.09,3.75%
