日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,5.28,5.14,-0.14,-2.65%,5.14,5.29,128710,6685.90,0.61%
2024-09-05,5.25,5.28,0.04,0.76%,5.24,5.31,108122,5701.20,0.51%
2024-09-04,5.20,5.24,-0.01,-0.19%,5.18,5.28,93526,4905.18,0.44%
2024-09-03,5.22,5.25,0.03,0.57%,5.21,5.30,150878,7909.92,0.72%
2024-09-02,5.33,5.22,-0.12,-2.25%,5.22,5.36,187574,9938.87,0.89%
2024-08-30,5.23,5.34,0.12,2.30%,5.23,5.42,259073,13877.56,1.23%
2024-08-29,5.06,5.22,0.13,2.55%,5.03,5.24,162678,8413.10,0.77%
2024-08-28,5.02,5.09,0.07,1.39%,5.02,5.11,121246,6160.96,0.58%
2024-08-27,5.13,5.02,-0.11,-2.14%,5.01,5.14,142708,7205.22,0.68%
2024-08-26,5.12,5.13,0.02,0.39%,5.10,5.17,108009,5544.40,0.51%
2024-08-23,5.06,5.11,0.02,0.39%,5.04,5.15,148338,7564.29,0.70%
2024-08-22,5.13,5.09,-0.03,-0.59%,5.05,5.19,155172,7921.49,0.74%
2024-08-21,5.14,5.12,-0.02,-0.39%,5.10,5.19,120341,6203.27,0.57%
2024-08-20,5.27,5.14,-0.11,-2.10%,5.12,5.27,182398,9426.46,0.87%
2024-08-19,5.26,5.25,-0.02,-0.38%,5.22,5.31,133161,7017.11,0.63%
2024-08-16,5.30,5.27,-0.04,-0.75%,5.26,5.34,119953,6355.75,0.57%
2024-08-15,5.23,5.31,0.06,1.14%,5.20,5.37,174047,9235.67,0.83%
2024-08-14,5.31,5.25,-0.04,-0.76%,5.24,5.33,110630,5837.16,0.53%
2024-08-13,5.25,5.29,0.02,0.38%,5.22,5.31,119271,6286.57,0.57%
2024-08-12,5.33,5.27,-0.08,-1.50%,5.25,5.35,133190,7046.31,0.63%
2024-08-09,5.43,5.35,-0.02,-0.37%,5.34,5.47,147871,7978.54,0.70%
2024-08-08,5.31,5.37,0.03,0.56%,5.26,5.42,199470,10633.07,0.95%
2024-08-07,5.35,5.34,-0.03,-0.56%,5.33,5.39,141970,7607.42,0.67%
2024-08-06,5.44,5.37,0.01,0.19%,5.30,5.48,219223,11762.30,1.04%
2024-08-05,5.52,5.36,-0.20,-3.60%,5.36,5.61,256931,14081.69,1.22%
2024-08-02,5.67,5.56,-0.15,-2.63%,5.55,5.73,215051,12130.26,1.02%
2024-08-01,5.53,5.71,0.12,2.15%,5.53,5.77,332463,18938.08,1.58%
2024-07-31,5.36,5.59,0.23,4.29%,5.33,5.61,289602,16002.43,1.38%
2024-07-30,5.32,5.36,0.04,0.75%,5.26,5.39,135092,7201.72,0.64%
2024-07-29,5.32,5.32,-0.02,-0.37%,5.30,5.38,147622,7875.92,0.70%
2024-07-26,5.24,5.34,0.10,1.91%,5.24,5.36,172768,9166.15,0.82%
2024-07-25,5.22,5.24,-0.05,-0.95%,5.18,5.34,183948,9666.75,0.87%
2024-07-24,5.38,5.29,-0.24,-4.34%,5.26,5.43,413172,22105.23,1.96%
2024-07-23,5.60,5.53,-0.09,-1.60%,5.46,5.88,565415,31824.40,2.68%
2024-07-22,5.63,5.62,-0.02,-0.35%,5.57,5.68,195720,11014.82,0.93%
2024-07-19,5.50,5.64,0.14,2.55%,5.45,5.69,254232,14252.84,1.21%
2024-07-18,5.48,5.50,-0.03,-0.54%,5.33,5.55,217426,11804.26,1.03%
2024-07-17,5.62,5.53,-0.08,-1.43%,5.52,5.63,145095,8081.25,0.69%
2024-07-16,5.59,5.61,0.04,0.72%,5.49,5.64,151755,8446.98,0.72%
2024-07-15,5.69,5.57,-0.11,-1.94%,5.54,5.70,183607,10313.87,0.87%
2024-07-12,5.68,5.68,-0.03,-0.53%,5.64,5.71,136294,7729.53,0.65%
2024-07-11,5.65,5.71,0.15,2.70%,5.61,5.74,235375,13368.31,1.12%
2024-07-10,5.59,5.56,-0.03,-0.54%,5.55,5.62,190334,10630.77,0.90%
2024-07-09,5.31,5.59,0.28,5.27%,5.26,5.61,320233,17514.12,1.52%
2024-07-08,5.50,5.31,-0.19,-3.45%,5.29,5.52,224232,12067.17,1.06%
2024-07-05,5.50,5.50,0.01,0.18%,5.40,5.53,149472,8164.98,0.71%
2024-07-04,5.68,5.49,-0.20,-3.51%,5.46,5.70,219390,12212.72,1.04%
2024-07-03,5.65,5.69,0.02,0.35%,5.61,5.75,188593,10703.99,0.90%
2024-07-02,5.70,5.67,-0.03,-0.53%,5.66,5.74,162170,9223.37,0.77%
2024-07-01,5.71,5.70,-0.01,-0.18%,5.59,5.74,239002,13539.68,1.13%
2024-06-28,5.64,5.71,0.09,1.60%,5.58,5.82,259567,14891.57,1.23%
2024-06-27,5.78,5.72,-0.09,-1.55%,5.71,5.89,237542,13755.74,1.13%
2024-06-26,5.61,5.81,0.21,3.75%,5.53,5.84,246642,14035.24,1.17%
2024-06-25,5.79,5.60,-0.19,-3.28%,5.54,5.85,316220,17924.43,1.50%
2024-06-24,6.04,5.79,-0.27,-4.46%,5.77,6.08,352945,20899.72,1.68%
2024-06-21,6.01,6.06,0.00,0.00%,5.88,6.15,314857,18930.61,1.49%
2024-06-20,6.15,6.06,-0.12,-1.94%,6.05,6.24,320895,19742.76,1.52%
2024-06-19,6.25,6.18,-0.05,-0.80%,6.13,6.28,288627,17887.08,1.37%
2024-06-18,6.20,6.23,0.01,0.16%,6.18,6.27,326306,20302.67,1.55%
2024-06-17,6.12,6.22,0.07,1.14%,6.09,6.26,332418,20616.80,1.58%
2024-06-14,6.15,6.15,-0.03,-0.49%,6.07,6.18,350039,21430.46,1.66%
2024-06-13,6.18,6.18,0.07,1.15%,6.12,6.30,582938,36150.89,2.77%
2024-06-12,6.06,6.11,0.05,0.83%,6.03,6.16,399120,24343.77,1.89%
2024-06-11,5.85,6.06,0.20,3.41%,5.81,6.06,439191,26277.60,2.09%
2024-06-07,5.88,5.86,0.01,0.17%,5.76,5.98,245575,14397.63,1.17%
2024-06-06,6.01,5.85,-0.11,-1.85%,5.83,6.07,343095,20384.82,1.63%
2024-06-05,5.98,5.96,-0.05,-0.83%,5.96,6.09,314134,18958.46,1.49%
2024-06-04,5.98,6.01,0.03,0.50%,5.85,6.01,287410,17006.32,1.36%
2024-06-03,5.97,5.98,0.02,0.34%,5.91,6.08,307401,18442.87,1.46%
2024-05-31,5.98,5.96,-0.01,-0.17%,5.94,6.04,209136,12515.03,0.99%
2024-05-30,5.91,5.97,0.06,1.02%,5.83,6.03,259874,15464.86,1.23%
2024-05-29,5.93,5.91,-0.08,-1.34%,5.87,6.03,266187,15837.40,1.26%
2024-05-28,5.98,5.99,0.03,0.50%,5.95,6.14,464062,28091.66,2.20%
2024-05-27,5.86,5.96,0.14,2.41%,5.71,5.97,304723,17774.46,1.45%
2024-05-24,5.94,5.82,-0.11,-1.85%,5.81,5.98,216037,12715.17,1.03%
2024-05-23,6.12,5.93,-0.19,-3.10%,5.91,6.12,320432,19189.64,1.52%
2024-05-22,6.11,6.12,0.00,0.00%,6.05,6.14,219064,13359.70,1.04%
2024-05-21,6.21,6.12,-0.09,-1.45%,6.10,6.21,200629,12318.85,0.95%
2024-05-20,6.23,6.21,-0.01,-0.16%,6.18,6.28,226190,14070.11,1.07%
2024-05-17,6.14,6.22,0.08,1.30%,6.10,6.22,215384,13287.62,1.02%
2024-05-16,6.22,6.14,-0.07,-1.13%,6.12,6.28,255785,15856.12,1.21%
2024-05-15,6.26,6.21,-0.07,-1.11%,6.19,6.33,206283,12903.76,0.98%
2024-05-14,6.29,6.28,0.00,0.00%,6.26,6.39,205166,12949.74,0.97%
2024-05-13,6.20,6.28,0.04,0.64%,6.09,6.39,372359,23351.21,1.77%
2024-05-10,6.36,6.24,-0.12,-1.89%,6.23,6.39,273609,17159.62,1.30%
2024-05-09,6.22,6.36,0.14,2.25%,6.22,6.39,277679,17580.21,1.32%
2024-05-08,6.38,6.22,-0.17,-2.66%,6.21,6.38,325721,20412.81,1.55%
2024-05-07,6.45,6.39,-0.07,-1.08%,6.35,6.49,327225,20990.20,1.55%
2024-05-06,6.38,6.46,0.16,2.54%,6.38,6.47,430884,27736.75,2.05%
2024-04-30,6.45,6.30,-0.14,-2.17%,6.25,6.45,366832,23211.68,1.74%
2024-04-29,6.26,6.44,0.17,2.71%,6.23,6.45,526916,33590.63,2.50%
2024-04-26,6.14,6.27,0.01,0.16%,5.97,6.29,552581,34143.97,2.62%
2024-04-25,6.17,6.26,0.06,0.97%,6.14,6.37,381498,23857.30,1.81%
2024-04-24,6.10,6.20,0.15,2.48%,6.02,6.20,299752,18364.32,1.42%
2024-04-23,6.17,6.05,-0.09,-1.47%,6.05,6.24,293490,17924.45,1.39%
2024-04-22,6.14,6.14,-0.07,-1.13%,6.00,6.24,265516,16238.79,1.26%
2024-04-19,6.33,6.21,-0.14,-2.20%,6.18,6.38,389007,24339.70,1.85%
2024-04-18,6.41,6.35,-0.12,-1.85%,6.31,6.49,390524,25008.24,1.85%
2024-04-17,6.10,6.47,0.47,7.83%,6.10,6.49,577150,36649.23,2.74%
2024-04-16,6.45,6.00,-0.54,-8.26%,5.99,6.47,598205,36928.77,2.84%
2024-04-15,6.49,6.54,-0.02,-0.30%,6.35,6.62,524074,34003.97,2.49%
2024-04-12,6.51,6.56,0.12,1.86%,6.48,6.77,537706,35657.53,2.55%
2024-04-11,6.37,6.44,0.03,0.47%,6.34,6.56,382700,24844.67,1.82%
2024-04-10,6.69,6.41,-0.25,-3.75%,6.33,6.69,507554,32738.33,2.41%
2024-04-09,6.67,6.66,-0.04,-0.60%,6.59,6.77,435369,29019.03,2.07%
2024-04-08,7.00,6.70,-0.34,-4.83%,6.70,7.00,822827,56040.97,3.91%
2024-04-03,6.67,7.04,0.35,5.23%,6.51,7.15,1196625,82501.62,5.68%
2024-04-02,6.88,6.69,-0.16,-2.34%,6.65,6.92,462122,31166.18,2.19%
2024-04-01,6.75,6.85,0.10,1.48%,6.75,6.91,526306,35996.77,2.50%
2024-03-29,6.59,6.75,0.14,2.12%,6.44,6.80,658164,43855.24,3.12%
2024-03-28,6.43,6.61,0.18,2.80%,6.43,6.69,565601,37217.37,2.69%
2024-03-27,6.85,6.43,-0.42,-6.13%,6.41,6.86,726766,47881.94,3.45%
2024-03-26,6.94,6.85,0.00,0.00%,6.75,7.10,763196,52788.22,3.62%
2024-03-25,7.15,6.85,-0.31,-4.33%,6.84,7.19,1001656,70074.18,4.76%
2024-03-22,7.16,7.16,0.13,1.85%,7.13,7.46,1648928,119790.36,7.83%
2024-03-21,7.20,7.03,-0.04,-0.57%,7.01,7.27,1033116,73557.29,4.91%
2024-03-20,7.02,7.07,0.11,1.58%,6.85,7.11,1167533,81678.38,5.54%
2024-03-19,7.30,6.96,-0.11,-1.56%,6.95,7.31,2030661,144749.39,9.64%
2024-03-18,6.44,7.07,0.64,9.95%,6.42,7.07,810086,54333.35,3.85%
2024-03-15,6.39,6.43,0.01,0.16%,6.34,6.44,237096,15160.45,1.13%
2024-03-14,6.47,6.42,-0.09,-1.38%,6.35,6.53,349188,22479.91,1.66%
2024-03-13,6.58,6.51,-0.06,-0.91%,6.48,6.62,399203,26105.15,1.90%
2024-03-12,6.48,6.57,0.08,1.23%,6.46,6.66,662967,43526.80,3.15%
2024-03-11,6.41,6.49,0.00,0.00%,6.36,6.50,418383,26887.67,1.99%
2024-03-08,6.28,6.49,0.20,3.18%,6.25,6.51,491820,31572.33,2.34%
2024-03-07,6.42,6.29,-0.11,-1.72%,6.26,6.50,413444,26348.46,1.96%
2024-03-06,6.39,6.40,-0.04,-0.62%,6.25,6.50,542846,34565.75,2.58%
2024-03-05,6.45,6.44,-0.09,-1.38%,6.38,6.67,790144,51429.27,3.75%
2024-03-04,6.45,6.53,0.15,2.35%,6.27,6.63,878292,56889.52,4.17%
2024-03-01,6.25,6.38,0.14,2.24%,6.22,6.39,501653,31745.87,2.38%
2024-02-29,5.90,6.24,0.30,5.05%,5.89,6.26,537084,33094.63,2.55%
2024-02-28,6.29,5.94,-0.39,-6.16%,5.93,6.38,720895,44591.08,3.42%
2024-02-27,6.08,6.33,0.19,3.09%,6.05,6.34,515419,32000.84,2.45%
2024-02-26,6.05,6.14,0.08,1.32%,6.00,6.25,536236,32829.54,2.55%
2024-02-23,6.08,6.06,0.06,1.00%,5.94,6.10,473190,28429.93,2.25%
2024-02-22,5.90,6.00,0.18,3.09%,5.85,6.05,606645,36152.04,2.88%
2024-02-21,5.70,5.82,0.04,0.69%,5.69,5.98,539226,31635.54,2.56%
2024-02-20,5.74,5.78,0.01,0.17%,5.64,5.83,410001,23423.64,1.95%
2024-02-19,5.75,5.77,0.11,1.94%,5.66,5.87,578714,33386.54,2.75%
2024-02-08,5.55,5.66,0.13,2.35%,5.55,5.77,654498,37115.00,3.11%
2024-02-07,5.25,5.53,0.33,6.35%,5.20,5.64,753265,41490.98,3.58%
2024-02-06,4.75,5.20,0.37,7.66%,4.70,5.27,562422,28148.20,2.67%
2024-02-05,5.26,4.83,-0.48,-9.04%,4.78,5.26,614874,30337.19,2.92%
2024-02-02,5.59,5.31,-0.27,-4.84%,5.13,5.65,443732,23976.04,2.11%
2024-02-01,5.55,5.58,0.03,0.54%,5.45,5.71,343100,19175.31,1.63%
2024-01-31,5.78,5.55,-0.26,-4.48%,5.53,5.87,358172,20295.58,1.70%
2024-01-30,6.00,5.81,-0.20,-3.33%,5.78,6.03,231866,13716.25,1.10%
2024-01-29,6.20,6.01,-0.16,-2.59%,5.99,6.23,262328,15951.60,1.25%
2024-01-26,6.24,6.17,-0.07,-1.12%,6.15,6.26,317327,19671.64,1.51%
2024-01-25,6.02,6.24,0.24,4.00%,5.96,6.25,392338,24130.00,1.86%
2024-01-24,5.99,6.00,0.07,1.18%,5.74,6.01,293241,17300.39,1.39%
2024-01-23,5.87,5.93,0.06,1.02%,5.75,5.97,264146,15584.53,1.25%
2024-01-22,6.28,5.87,-0.39,-6.23%,5.81,6.28,314612,18959.07,1.49%
2024-01-19,6.32,6.26,-0.05,-0.79%,6.25,6.41,204527,12920.98,0.97%
2024-01-18,6.26,6.31,-0.01,-0.16%,6.11,6.33,351238,21841.10,1.67%
2024-01-17,6.46,6.32,-0.14,-2.17%,6.31,6.47,200178,12755.12,0.95%
2024-01-16,6.49,6.46,-0.06,-0.92%,6.34,6.52,247423,15913.18,1.17%
2024-01-15,6.45,6.52,0.04,0.62%,6.41,6.67,295504,19365.51,1.40%
2024-01-12,6.55,6.48,-0.11,-1.67%,6.46,6.58,191921,12506.57,0.91%
2024-01-11,6.51,6.59,0.09,1.38%,6.48,6.64,207056,13611.13,0.98%
2024-01-10,6.57,6.50,-0.06,-0.91%,6.40,6.58,202441,13149.87,0.96%
2024-01-09,6.60,6.56,-0.02,-0.30%,6.49,6.66,238799,15697.81,1.13%
2024-01-08,6.73,6.58,-0.15,-2.23%,6.57,6.74,195476,12967.64,0.93%
2024-01-05,6.85,6.73,-0.13,-1.90%,6.70,6.90,199437,13554.53,0.95%
2024-01-04,6.96,6.86,-0.05,-0.72%,6.81,6.98,188799,12957.67,0.90%
2024-01-03,6.94,6.91,-0.06,-0.86%,6.85,6.98,308909,21346.57,1.47%
2024-01-02,7.06,6.97,-0.06,-0.85%,6.97,7.08,298735,20977.54,1.42%
2023-12-29,6.92,7.03,0.08,1.15%,6.92,7.10,365960,25729.42,1.74%
