日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,69.44,67.88,-1.51,-2.18%,67.88,69.59,74284,50828.60,1.12%
2024-09-05,69.00,69.39,0.55,0.80%,68.82,70.05,75729,52482.66,1.14%
2024-09-04,69.03,68.84,-1.18,-1.69%,68.57,69.88,98247,67847.91,1.48%
2024-09-03,69.21,70.02,1.48,2.16%,68.92,70.67,95342,66684.09,1.43%
2024-09-02,72.38,68.54,-3.84,-5.31%,68.52,72.38,150410,105257.86,2.26%
2024-08-30,70.00,72.38,2.38,3.40%,69.88,72.93,170538,122873.68,2.57%
2024-08-29,69.70,70.00,0.05,0.07%,68.77,71.05,107256,75171.02,1.61%
2024-08-28,70.23,69.95,-0.28,-0.40%,69.65,70.74,76391,53525.99,1.15%
2024-08-27,71.27,70.23,-1.05,-1.47%,70.00,71.56,92169,65170.53,1.39%
2024-08-26,72.62,71.28,-1.08,-1.49%,71.02,72.88,101198,72480.25,1.52%
2024-08-23,73.00,72.36,-1.29,-1.75%,72.02,73.50,111643,80999.83,1.68%
2024-08-22,74.38,73.65,-0.34,-0.46%,72.61,74.74,147043,108105.97,2.21%
2024-08-21,78.57,73.99,-5.24,-6.61%,73.97,78.57,279296,210312.03,4.20%
2024-08-20,79.47,79.23,0.25,0.32%,78.35,79.80,82797,65479.53,1.25%
2024-08-19,78.60,78.98,0.08,0.10%,78.32,79.79,68173,54052.09,1.03%
2024-08-16,79.08,78.90,0.15,0.19%,78.66,80.09,84242,66791.47,1.27%
2024-08-15,78.20,78.75,0.52,0.66%,77.82,80.27,99146,78424.81,1.49%
2024-08-14,79.00,78.23,-0.73,-0.92%,78.11,79.31,63145,49589.76,0.95%
2024-08-13,78.60,78.96,0.77,0.98%,77.58,79.16,70070,54870.70,1.05%
2024-08-12,77.77,78.19,0.07,0.09%,77.55,78.65,60116,46919.86,0.90%
2024-08-09,78.80,78.12,0.55,0.71%,78.00,79.50,117233,92303.30,1.76%
2024-08-08,76.27,77.57,0.62,0.81%,75.08,78.15,144859,110921.02,2.18%
2024-08-07,78.05,76.95,-1.23,-1.57%,76.66,78.40,92951,71998.92,1.40%
2024-08-06,78.98,78.18,0.52,0.67%,76.93,79.48,127303,99261.01,1.92%
2024-08-05,81.03,77.66,-5.40,-6.50%,77.61,82.50,232581,185023.36,3.50%
2024-08-02,85.24,83.06,-3.68,-4.24%,82.91,86.07,131562,110762.18,1.98%
2024-08-01,86.30,86.74,0.76,0.88%,85.60,87.67,135555,117529.87,2.04%
2024-07-31,82.40,85.98,2.99,3.60%,82.00,86.05,160430,136067.22,2.41%
2024-07-30,82.22,82.99,0.44,0.53%,80.60,83.66,123523,101670.15,1.86%
2024-07-29,84.41,82.55,-1.86,-2.20%,82.50,85.17,126163,105191.20,1.90%
2024-07-26,84.70,84.41,0.01,0.01%,83.26,85.52,119138,100372.38,1.79%
2024-07-25,86.25,84.40,-1.90,-2.20%,83.70,86.25,127456,107916.73,1.92%
2024-07-24,88.70,86.30,-2.58,-2.90%,86.00,90.01,169626,148555.91,2.55%
2024-07-23,94.38,88.88,-5.49,-5.82%,88.88,94.66,194790,176818.55,2.93%
2024-07-22,96.07,94.37,-1.63,-1.70%,93.58,96.71,122134,116154.84,1.84%
2024-07-19,93.01,96.00,2.00,2.13%,92.90,97.29,160181,153437.20,2.41%
2024-07-18,94.31,94.00,-2.00,-2.08%,90.00,95.90,205972,190965.94,3.10%
2024-07-17,98.00,96.00,-1.99,-2.03%,95.91,98.19,102747,99712.35,1.54%
2024-07-16,96.70,97.99,0.79,0.81%,95.32,98.60,141012,136823.38,2.12%
2024-07-15,97.00,97.20,-0.15,-0.15%,96.55,98.35,79492,77494.20,1.19%
2024-07-12,96.61,97.35,-0.47,-0.48%,95.30,98.20,104758,101358.00,1.57%
2024-07-11,98.30,97.82,0.78,0.80%,95.52,99.86,157587,154292.38,2.37%
2024-07-10,96.46,97.04,0.62,0.64%,95.78,97.92,144936,140280.73,2.18%
2024-07-09,92.00,96.42,4.46,4.85%,90.70,97.00,208468,197790.48,3.13%
2024-07-08,92.97,91.96,0.12,0.13%,91.67,93.59,118837,110064.02,1.79%
2024-07-05,91.60,91.84,0.24,0.26%,88.58,92.50,144750,130848.62,2.18%
