日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,46.68,44.90,-1.70,-3.65%,44.88,46.72,20354,9285.07,1.29%
2024-09-05,46.24,46.60,0.44,0.95%,46.01,47.18,16220,7558.13,1.03%
2024-09-04,46.00,46.16,-0.58,-1.24%,45.60,46.72,17750,8187.35,1.13%
2024-09-03,46.22,46.74,0.74,1.61%,46.09,47.12,22834,10649.59,1.45%
2024-09-02,48.70,46.00,-2.93,-5.99%,45.96,49.20,30371,14388.76,1.93%
2024-08-30,46.88,48.93,2.03,4.33%,46.48,49.64,39644,19302.40,2.52%
2024-08-29,45.50,46.90,1.07,2.33%,45.29,47.43,25082,11675.50,1.60%
2024-08-28,45.11,45.83,0.38,0.84%,45.10,46.04,22294,10183.19,1.42%
2024-08-27,46.13,45.45,-0.61,-1.32%,45.45,46.75,23684,10883.40,1.51%
2024-08-26,46.11,46.06,-0.76,-1.62%,45.54,47.12,24998,11563.18,1.59%
2024-08-23,46.87,46.82,-0.08,-0.17%,46.11,47.43,21872,10220.73,1.39%
2024-08-22,47.71,46.90,-0.95,-1.99%,46.71,48.08,23003,10844.76,1.46%
2024-08-21,47.65,47.85,-0.36,-0.75%,47.61,48.85,19368,9334.29,1.23%
2024-08-20,48.90,48.21,-0.39,-0.80%,48.02,49.21,21864,10602.35,1.39%
2024-08-19,49.24,48.60,-0.75,-1.52%,48.58,49.99,26314,12975.57,1.66%
2024-08-16,49.54,49.35,0.18,0.37%,49.10,50.12,26163,12981.65,1.65%
2024-08-15,48.31,49.17,0.73,1.51%,48.20,50.22,33094,16347.26,2.09%
2024-08-14,49.37,48.44,-0.84,-1.70%,48.44,49.96,24238,11915.17,1.53%
2024-08-13,48.96,49.28,0.86,1.78%,48.54,49.42,21544,10545.68,1.36%
2024-08-12,48.80,48.42,-0.48,-0.98%,47.90,49.25,28660,13907.76,1.81%
2024-08-09,50.49,48.90,-0.39,-0.79%,48.85,50.50,33088,16387.60,2.08%
2024-08-08,48.01,49.29,1.02,2.11%,47.50,49.60,30819,15016.06,1.94%
2024-08-07,48.19,48.27,0.01,0.02%,47.89,48.89,19676,9514.18,1.24%
2024-08-06,48.60,48.26,0.71,1.49%,47.15,48.93,32232,15437.28,2.03%
2024-08-05,49.91,47.55,-3.04,-6.01%,47.55,50.47,43815,21405.97,2.76%
2024-08-02,52.00,50.59,-2.49,-4.69%,50.38,52.50,37911,19465.03,2.39%
2024-08-01,53.00,53.08,0.00,0.00%,52.46,54.20,36424,19408.98,2.30%
2024-07-31,51.21,53.08,1.52,2.95%,50.47,53.45,50113,26237.44,3.16%
2024-07-30,50.08,51.56,1.48,2.96%,49.30,51.90,50804,25834.96,3.20%
2024-07-29,52.60,50.08,-2.23,-4.26%,49.71,52.63,44988,22839.94,2.83%
2024-07-26,53.21,52.31,-0.71,-1.34%,51.66,53.36,42796,22455.33,2.70%
2024-07-25,56.48,53.02,-3.31,-5.88%,52.81,56.50,49387,26730.55,3.11%
2024-07-24,60.60,56.33,-2.81,-4.75%,56.23,60.66,59177,34291.79,3.73%
2024-07-23,63.36,59.14,-4.56,-7.16%,59.11,63.70,30170,18270.13,1.90%
2024-07-22,64.17,63.70,-0.78,-1.21%,62.89,64.98,20093,12817.30,1.27%
2024-07-19,63.44,64.48,0.78,1.22%,63.01,65.55,24560,15847.41,1.55%
2024-07-18,64.50,63.70,-1.90,-2.90%,61.06,64.51,38451,24161.32,2.42%
2024-07-17,65.90,65.60,-0.40,-0.61%,65.30,67.79,29827,19886.65,1.88%
2024-07-16,64.00,66.00,1.02,1.57%,63.98,66.44,23279,15191.99,1.47%
2024-07-15,65.44,64.98,-0.40,-0.61%,64.73,66.78,21643,14222.94,1.36%
2024-07-12,64.10,65.38,-0.18,-0.27%,63.00,65.60,21209,13693.88,1.34%
2024-07-11,65.85,65.56,0.71,1.09%,63.91,66.17,31200,20309.83,1.97%
2024-07-10,64.23,64.85,0.25,0.39%,63.80,65.28,27746,17910.97,1.75%
2024-07-09,61.89,64.60,2.60,4.19%,61.34,64.97,35356,22472.22,2.23%
2024-07-08,62.00,62.00,1.19,1.96%,61.72,64.46,38926,24575.14,2.45%
2024-07-05,58.64,60.81,1.73,2.93%,57.98,61.20,21694,12914.77,1.37%
2024-07-04,60.61,59.08,-1.42,-2.35%,58.85,61.46,17895,10763.51,1.13%
2024-07-03,60.30,60.50,0.28,0.46%,59.11,61.33,21367,12851.48,1.35%
2024-07-02,62.29,60.22,-2.37,-3.79%,59.98,62.57,30926,18811.33,1.95%
2024-07-01,60.90,62.59,1.76,2.89%,59.40,63.30,30274,18644.52,1.91%
2024-06-28,60.00,60.83,0.81,1.35%,59.38,61.91,23766,14469.08,1.50%
2024-06-27,60.39,60.02,-0.68,-1.12%,59.79,61.85,28340,17235.30,1.79%
2024-06-26,59.70,60.70,1.43,2.41%,58.56,61.23,26588,15879.82,1.68%
2024-06-25,61.31,59.27,-1.99,-3.25%,58.61,61.31,33663,19994.15,2.12%
2024-06-24,62.80,61.26,-1.96,-3.10%,60.98,63.90,30241,18867.84,1.91%
2024-06-21,62.00,63.22,0.26,0.41%,60.70,63.77,26048,16280.15,1.64%
2024-06-20,62.63,62.96,0.16,0.25%,62.01,64.88,35028,22340.93,2.21%
2024-06-19,63.13,62.80,1.00,1.62%,61.38,63.88,35249,22108.03,2.22%
2024-06-18,62.37,61.80,-0.35,-0.56%,61.10,63.30,30945,19213.70,1.95%
