日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,15.22,14.73,-0.42,-2.77%,14.66,15.25,27485,4083.14,1.04%
2024-09-05,14.80,15.15,0.35,2.36%,14.80,15.34,32061,4838.33,1.21%
2024-09-04,14.61,14.80,0.04,0.27%,14.50,15.01,32441,4794.06,1.23%
2024-09-03,14.63,14.76,0.13,0.89%,14.56,14.95,25232,3718.59,0.95%
2024-09-02,15.47,14.63,-0.78,-5.06%,14.60,15.62,46749,7000.62,1.77%
2024-08-30,14.74,15.41,0.57,3.84%,14.74,15.67,48364,7446.91,1.83%
2024-08-29,14.55,14.84,-0.03,-0.20%,14.20,15.05,51532,7557.96,1.95%
2024-08-28,14.86,14.87,-0.01,-0.07%,14.60,15.10,24034,3574.40,0.90%
2024-08-27,15.28,14.88,-0.50,-3.25%,14.88,15.44,24755,3730.41,0.93%
2024-08-26,15.30,15.38,0.11,0.72%,15.25,15.65,27440,4233.78,1.03%
2024-08-23,15.10,15.27,0.19,1.26%,14.88,15.45,27493,4172.25,1.03%
2024-08-22,15.38,15.08,-0.32,-2.08%,15.04,15.57,24532,3738.38,0.92%
2024-08-21,15.36,15.40,-0.11,-0.71%,15.36,15.75,22997,3576.24,0.86%
2024-08-20,16.02,15.51,-0.41,-2.58%,15.45,16.10,34752,5447.48,1.30%
2024-08-19,16.12,15.92,-0.24,-1.49%,15.82,16.30,34081,5479.40,1.28%
2024-08-16,16.51,16.16,0.02,0.12%,16.15,16.66,44340,7258.04,1.66%
2024-08-15,15.88,16.14,0.17,1.06%,15.78,16.57,40473,6564.45,1.52%
2024-08-14,16.16,15.97,-0.17,-1.05%,15.94,16.34,30349,4904.73,1.14%
2024-08-13,15.84,16.14,0.42,2.67%,15.72,16.19,35785,5706.77,1.34%
2024-08-12,16.00,15.72,-0.43,-2.66%,15.62,16.06,41270,6520.50,1.55%
2024-08-09,16.56,16.15,-0.20,-1.22%,16.11,16.80,41851,6866.25,1.57%
2024-08-08,16.45,16.35,-0.15,-0.91%,15.80,16.68,48526,7874.74,1.82%
2024-08-07,16.75,16.50,-0.26,-1.55%,16.45,16.95,43910,7316.30,1.65%
2024-08-06,17.00,16.76,0.28,1.70%,16.41,17.10,52079,8662.41,1.95%
