日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,30.13,29.20,-0.86,-2.86%,29.15,30.16,30237,8940.36,0.77%
2024-09-05,29.79,30.06,0.25,0.84%,29.79,30.20,21214,6364.59,0.54%
2024-09-04,29.80,29.81,-0.25,-0.83%,29.60,30.24,23909,7148.76,0.61%
2024-09-03,29.68,30.06,0.16,0.54%,29.68,30.50,23077,6958.41,0.59%
2024-09-02,30.88,29.90,-1.25,-4.01%,29.88,30.95,46903,14298.89,1.20%
2024-08-30,29.67,31.15,0.98,3.25%,29.65,31.37,75037,23062.32,1.92%
2024-08-29,29.15,30.17,0.87,2.97%,28.81,30.34,57860,17168.27,1.48%
2024-08-28,29.36,29.30,-0.33,-1.11%,29.23,29.67,29176,8576.43,0.75%
2024-08-27,29.49,29.63,0.14,0.47%,28.98,29.72,36729,10795.46,0.94%
2024-08-26,29.50,29.49,-0.02,-0.07%,29.21,29.73,28896,8526.30,0.74%
2024-08-23,29.20,29.51,0.10,0.34%,29.20,29.73,27914,8220.94,0.71%
2024-08-22,30.03,29.41,-0.51,-1.70%,29.33,30.07,41502,12264.35,1.06%
2024-08-21,30.29,29.92,-0.53,-1.74%,29.80,30.57,39852,12012.48,1.02%
2024-08-20,31.00,30.45,-0.65,-2.09%,30.34,31.05,42998,13154.96,1.10%
2024-08-19,30.97,31.10,0.22,0.71%,30.70,31.41,38170,11860.54,0.98%
2024-08-16,31.40,30.88,-0.37,-1.18%,30.80,31.44,43258,13449.86,1.11%
2024-08-15,31.15,31.25,0.05,0.16%,30.96,31.87,50307,15788.29,1.29%
2024-08-14,31.78,31.20,-0.39,-1.23%,31.16,31.80,47942,15074.51,1.22%
2024-08-13,31.79,31.59,-0.18,-0.57%,31.22,31.94,61856,19556.40,1.58%
2024-08-12,33.30,31.77,-1.77,-5.28%,31.47,33.30,99496,31814.73,2.54%
2024-08-09,35.20,33.54,-0.81,-2.36%,33.51,35.50,83335,28518.97,2.13%
2024-08-08,33.66,34.35,0.37,1.09%,33.58,34.78,38208,13083.19,0.98%
2024-08-07,33.83,33.98,0.12,0.35%,33.75,34.77,36820,12632.83,0.94%
2024-08-06,33.90,33.86,0.65,1.96%,33.35,34.05,44964,15152.55,2.21%
2024-08-05,34.98,33.21,-2.27,-6.40%,33.20,35.40,91981,31406.07,4.51%
