日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,23.39,22.09,-0.91,-3.96%,22.09,23.39,9059,2040.97,1.90%
2024-09-05,22.97,23.00,0.03,0.13%,22.84,23.38,8117,1873.51,1.70%
2024-09-04,23.01,22.97,-0.27,-1.16%,22.66,23.21,9279,2128.82,1.94%
2024-09-03,22.90,23.24,0.23,1.00%,22.84,23.67,8801,2048.14,1.84%
2024-09-02,24.07,23.01,-1.19,-4.92%,22.88,24.74,11193,2642.64,2.34%
2024-08-30,23.64,24.20,0.67,2.85%,23.54,24.67,13202,3214.46,2.76%
2024-08-29,22.89,23.53,0.54,2.35%,22.51,23.76,10535,2460.52,2.20%
2024-08-28,22.70,22.99,0.18,0.79%,22.47,23.21,15957,3639.55,3.40%
2024-08-27,23.64,22.81,-1.49,-6.13%,22.62,24.00,18859,4365.01,4.01%
2024-08-26,23.80,24.30,0.42,1.76%,23.74,24.66,9795,2383.70,2.09%
2024-08-23,23.96,23.88,-0.13,-0.54%,23.30,24.22,11685,2781.58,2.49%
2024-08-22,24.50,24.01,-0.49,-2.00%,23.79,24.79,8219,1994.33,1.75%
2024-08-21,24.60,24.50,-0.10,-0.41%,24.38,24.98,6941,1712.00,1.48%
2024-08-20,24.95,24.60,-0.20,-0.81%,24.41,25.15,10484,2590.79,2.23%
2024-08-19,26.55,24.80,-1.38,-5.27%,24.80,26.64,16429,4161.81,3.50%
2024-08-16,26.30,26.18,-0.20,-0.76%,26.06,26.78,9315,2460.87,1.98%
2024-08-15,25.33,26.38,0.81,3.17%,25.33,26.74,12612,3312.50,2.68%
2024-08-14,25.86,25.57,-0.19,-0.74%,25.50,26.00,7923,2041.64,1.69%
2024-08-13,25.58,25.76,0.18,0.70%,25.24,25.96,7926,2024.97,1.69%
2024-08-12,25.70,25.58,-0.54,-2.07%,25.15,26.11,10471,2681.10,2.23%
2024-08-09,26.68,26.12,-0.12,-0.46%,26.12,26.91,9854,2610.54,2.10%
2024-08-08,26.26,26.24,-0.21,-0.79%,25.64,26.96,12828,3361.96,2.73%
2024-08-07,26.35,26.45,0.09,0.34%,26.19,27.20,13305,3555.61,2.83%
2024-08-06,26.98,26.36,-0.30,-1.13%,25.93,27.10,21645,5698.48,4.61%
2024-08-05,28.00,26.66,-1.71,-6.03%,26.58,28.14,15060,4112.16,3.21%
2024-08-02,29.65,28.37,-1.65,-5.50%,28.33,29.73,13738,4003.48,2.92%
2024-08-01,29.63,30.02,0.67,2.28%,29.09,30.62,18334,5472.77,3.90%
2024-07-31,28.00,29.35,1.45,5.20%,27.70,29.83,16991,4928.00,3.62%
2024-07-30,27.45,27.90,0.29,1.05%,27.38,28.36,10572,2942.95,2.25%
2024-07-29,27.86,27.61,-0.24,-0.86%,27.48,28.20,8806,2439.10,1.87%
