日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,43.80,42.55,-0.94,-2.16%,42.48,43.90,82189,35375.50,2.70%
2024-09-05,43.78,43.49,-0.27,-0.62%,43.22,44.53,72893,31952.72,2.40%
2024-09-04,43.10,43.76,-0.17,-0.39%,43.04,44.44,79846,34906.07,2.63%
2024-09-03,43.01,43.93,0.85,1.97%,43.01,44.90,108677,47868.96,3.58%
2024-09-02,44.56,43.08,-2.12,-4.69%,43.02,45.33,122221,53893.73,4.02%
2024-08-30,43.40,45.20,1.81,4.17%,43.16,46.16,188534,85039.30,7.46%
2024-08-29,42.31,43.39,0.69,1.62%,41.88,43.84,112983,48695.46,4.47%
2024-08-28,42.77,42.70,-0.07,-0.16%,42.26,43.30,70982,30311.96,2.81%
2024-08-27,42.97,42.77,-0.27,-0.63%,42.53,43.90,106420,45909.72,4.21%
2024-08-26,45.21,43.04,-1.92,-4.27%,42.86,45.25,141316,61809.14,5.59%
2024-08-23,44.40,44.96,-0.17,-0.38%,43.63,45.90,142714,63380.15,5.65%
2024-08-22,45.90,45.13,-0.77,-1.68%,44.80,46.20,97909,44428.14,3.87%
2024-08-21,47.50,45.90,-1.70,-3.57%,45.79,48.05,145524,67994.39,5.76%
2024-08-20,48.98,47.60,-1.09,-2.24%,47.49,49.15,96134,46277.35,3.80%
2024-08-19,49.80,48.69,-1.99,-3.93%,48.60,50.35,116231,57441.74,4.60%
2024-08-16,51.31,50.68,-0.06,-0.12%,50.21,51.68,127295,64885.30,5.04%
2024-08-15,49.40,50.74,1.30,2.63%,49.20,51.35,147246,74419.95,5.83%
2024-08-14,50.46,49.44,-0.28,-0.56%,49.29,50.55,118042,58969.23,4.67%
2024-08-13,48.09,49.72,1.69,3.52%,48.00,49.80,118108,57943.43,4.67%
2024-08-12,48.63,48.03,-0.94,-1.92%,47.40,49.35,91259,43909.44,3.61%
2024-08-09,49.61,48.97,0.61,1.26%,48.95,50.30,128260,63493.62,5.08%
2024-08-08,47.88,48.36,-0.30,-0.62%,47.17,49.61,125832,60723.25,4.98%
2024-08-07,49.50,48.66,-1.20,-2.41%,48.20,50.25,115570,56789.32,4.57%
2024-08-06,51.00,49.86,1.26,2.59%,48.91,51.51,124283,61731.17,4.92%
2024-08-05,52.77,48.60,-5.31,-9.85%,48.58,53.34,226447,115060.11,8.96%
2024-08-02,55.58,53.91,-2.80,-4.94%,53.87,56.72,170312,93810.77,6.74%
2024-08-01,56.30,56.71,1.16,2.09%,55.60,57.93,212228,120013.90,8.40%
