日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,19.90,19.08,-0.91,-4.55%,19.05,19.99,17722,3443.18,1.47%
2024-09-05,19.86,19.99,0.00,0.00%,19.83,20.34,8964,1799.82,0.74%
2024-09-04,19.80,19.99,0.09,0.45%,19.53,20.17,11904,2367.32,0.99%
2024-09-03,19.75,19.90,0.14,0.71%,19.73,20.15,10899,2169.67,0.90%
2024-09-02,20.77,19.76,-1.02,-4.91%,19.70,20.96,16834,3398.55,1.40%
2024-08-30,20.20,20.78,0.50,2.47%,20.20,21.18,18299,3816.33,1.52%
2024-08-29,19.75,20.28,0.43,2.17%,19.61,20.37,10428,2101.13,0.86%
2024-08-28,19.58,19.85,0.11,0.56%,19.58,20.03,7862,1560.39,0.65%
2024-08-27,19.99,19.74,-0.40,-1.99%,19.68,20.29,12777,2545.04,1.06%
2024-08-26,20.66,20.14,-0.82,-3.91%,19.95,20.68,28825,5823.16,2.39%
2024-08-23,21.30,20.96,-0.34,-1.60%,20.70,21.35,14342,3012.83,1.19%
2024-08-22,21.67,21.30,-0.35,-1.62%,21.21,21.87,8929,1922.25,0.74%
2024-08-21,22.06,21.65,-0.44,-1.99%,21.61,22.26,10746,2357.68,0.89%
2024-08-20,22.94,22.09,-0.71,-3.11%,22.03,22.96,15418,3439.55,1.28%
2024-08-19,23.38,22.80,-0.41,-1.77%,22.78,23.45,13611,3134.86,1.13%
2024-08-16,23.42,23.21,-0.09,-0.39%,23.17,23.61,11458,2677.71,0.95%
2024-08-15,22.82,23.30,0.41,1.79%,22.80,23.56,12144,2822.11,1.01%
2024-08-14,23.39,22.89,-0.43,-1.84%,22.86,23.42,8637,1999.14,0.72%
2024-08-13,22.99,23.32,0.40,1.75%,22.92,23.34,7387,1711.30,0.61%
2024-08-12,23.04,22.92,-0.11,-0.48%,22.80,23.22,8834,2031.40,0.73%
2024-08-09,23.49,23.03,-0.11,-0.48%,23.03,23.70,13490,3156.86,1.12%
2024-08-08,23.17,23.14,-0.10,-0.43%,22.75,23.56,16252,3753.61,1.35%
2024-08-07,23.35,23.24,-0.01,-0.04%,23.11,23.55,11868,2771.53,0.98%
2024-08-06,23.40,23.25,0.31,1.35%,22.88,23.42,11397,2637.95,0.94%
2024-08-05,24.02,22.94,-1.21,-5.01%,22.90,24.16,27041,6336.27,2.24%
2024-08-02,24.76,24.15,-1.04,-4.13%,24.13,25.15,18686,4599.82,1.55%
2024-08-01,25.00,25.19,0.19,0.76%,24.89,25.47,22541,5677.52,1.87%
2024-07-31,23.70,25.00,1.11,4.65%,23.62,25.08,22994,5657.53,1.91%
2024-07-30,23.55,23.89,0.34,1.44%,23.18,24.17,14486,3440.09,1.20%
2024-07-29,23.80,23.55,-0.34,-1.42%,23.50,24.06,13628,3238.39,1.13%
2024-07-26,23.80,23.89,0.29,1.23%,23.56,24.08,13516,3222.07,1.12%
2024-07-25,23.36,23.60,0.12,0.51%,23.14,24.09,17389,4102.60,1.44%
2024-07-24,24.30,23.48,-0.80,-3.29%,23.41,24.60,20873,4990.93,1.73%
2024-07-23,25.59,24.28,-1.31,-5.12%,24.25,25.60,24371,6048.52,2.02%
2024-07-22,25.37,25.59,0.30,1.19%,25.28,25.85,25543,6531.93,2.12%
2024-07-19,24.10,25.29,1.08,4.46%,24.10,25.58,35053,8817.36,2.91%
2024-07-18,24.35,24.21,-0.44,-1.78%,23.41,24.58,26415,6326.50,2.19%
2024-07-17,25.49,24.65,-0.85,-3.33%,24.60,25.58,19449,4873.40,1.61%
2024-07-16,24.80,25.50,0.54,2.16%,24.53,25.60,25652,6456.48,2.13%
2024-07-15,25.55,24.96,-0.30,-1.19%,24.69,25.64,19236,4842.01,1.59%
2024-07-12,25.31,25.26,-0.14,-0.55%,24.90,25.38,15140,3805.90,1.25%
2024-07-11,25.86,25.40,0.34,1.36%,25.08,25.86,28932,7355.17,2.40%
2024-07-10,24.85,25.06,0.23,0.93%,24.68,25.25,23972,5993.45,1.99%
2024-07-09,23.33,24.83,1.50,6.43%,23.00,24.92,33210,8078.39,2.75%
2024-07-08,23.98,23.33,-0.65,-2.71%,23.26,24.44,18186,4344.63,1.51%
2024-07-05,23.11,23.98,0.34,1.44%,23.11,24.19,19225,4551.34,1.59%
2024-07-04,24.71,23.64,-1.07,-4.33%,23.57,24.94,20725,5002.58,1.72%
