日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,25.60,25.72,-0.23,-0.89%,24.39,26.33,1902,491.88,0.17%
2024-09-05,26.00,25.95,0.25,0.97%,25.72,26.18,1222,316.99,0.11%
2024-09-04,25.91,25.70,-0.26,-1.00%,25.64,25.96,2023,521.58,0.18%
2024-09-03,25.38,25.96,0.67,2.65%,25.21,26.27,3298,853.97,0.30%
2024-09-02,25.28,25.29,0.22,0.88%,25.01,25.89,4768,1215.80,0.44%
2024-08-30,24.28,25.07,0.78,3.21%,23.93,25.26,6010,1500.46,0.55%
2024-08-29,24.03,24.29,0.34,1.42%,23.99,24.35,1773,428.07,0.16%
2024-08-28,24.16,23.95,0.22,0.93%,23.64,24.16,1018,242.80,0.09%
2024-08-27,23.70,23.73,-0.11,-0.46%,23.70,24.34,2462,592.04,0.22%
2024-08-26,24.19,23.84,-0.52,-2.13%,23.70,24.42,2329,557.66,0.21%
2024-08-23,24.44,24.36,-0.26,-1.06%,23.18,24.80,2833,684.25,0.26%
2024-08-22,25.19,24.62,-0.28,-1.12%,24.52,25.19,1760,435.09,0.16%
2024-08-21,24.71,24.90,0.00,0.00%,24.61,25.25,983,245.42,0.09%
2024-08-20,25.25,24.90,-0.26,-1.03%,24.76,25.45,3196,798.20,0.29%
2024-08-19,24.12,25.16,0.06,0.24%,24.01,25.28,3351,836.71,0.31%
2024-08-16,25.14,25.10,-0.04,-0.16%,24.71,25.18,1642,409.57,0.15%
2024-08-15,25.05,25.14,0.11,0.44%,24.64,25.41,1117,280.35,0.10%
2024-08-14,25.13,25.03,-0.06,-0.24%,24.79,25.28,598,149.17,0.05%
2024-08-13,24.98,25.09,0.09,0.36%,24.52,25.25,1142,284.26,0.10%
2024-08-12,24.99,25.00,0.10,0.40%,24.88,25.85,2781,704.21,0.25%
2024-08-09,24.92,24.90,0.00,0.00%,24.70,25.20,1404,349.86,0.13%
2024-08-08,24.81,24.90,-0.35,-1.39%,24.32,25.00,1962,484.82,0.18%
2024-08-07,24.78,25.25,0.66,2.68%,24.43,25.57,5526,1391.79,0.50%
2024-08-06,24.55,24.59,0.26,1.07%,24.10,24.80,3712,908.07,0.34%
2024-08-05,25.12,24.33,-1.07,-4.21%,23.72,25.13,5141,1249.10,0.47%
2024-08-02,25.58,25.40,-0.48,-1.85%,24.80,25.93,3472,875.78,0.32%
2024-08-01,26.28,25.88,-0.22,-0.84%,25.76,26.30,3051,792.77,0.28%
2024-07-31,24.55,26.10,1.23,4.95%,24.41,26.40,4494,1149.51,0.41%
2024-07-30,24.70,24.87,-0.15,-0.60%,24.70,25.28,1150,287.26,0.10%
2024-07-29,25.13,25.02,0.13,0.52%,24.51,25.30,1435,357.37,0.13%
2024-07-26,24.54,24.89,0.10,0.40%,24.54,25.28,1957,487.40,0.18%
2024-07-25,24.11,24.79,0.19,0.77%,24.06,25.45,1684,417.99,0.15%
2024-07-24,25.30,24.60,-0.95,-3.72%,24.38,25.63,2669,662.94,0.24%
2024-07-23,26.20,25.55,-0.84,-3.18%,25.35,27.08,2883,746.25,0.26%
2024-07-22,25.85,26.39,0.34,1.31%,25.50,27.35,7326,1955.58,0.67%
2024-07-19,26.61,26.05,0.70,2.76%,25.35,26.97,7605,1974.40,0.69%
2024-07-18,24.50,25.35,0.85,3.47%,23.67,25.48,3841,950.91,0.35%
2024-07-17,25.00,24.50,-0.42,-1.69%,24.21,25.09,1748,430.62,0.16%
2024-07-16,24.36,24.92,0.07,0.28%,24.36,24.98,1522,376.46,0.14%
2024-07-15,25.26,24.85,-0.29,-1.15%,24.00,25.38,1263,314.15,0.12%
2024-07-12,25.49,25.14,-0.41,-1.60%,24.76,25.49,1425,358.00,0.13%
2024-07-11,25.44,25.55,0.19,0.75%,24.89,25.68,3716,939.30,0.34%
2024-07-10,26.09,25.36,-0.56,-2.16%,25.13,26.15,2398,610.79,0.22%
2024-07-09,25.07,25.92,0.64,2.53%,24.60,26.15,2603,662.99,0.24%
2024-07-08,25.02,25.28,-0.56,-2.17%,25.02,26.01,3162,811.09,0.29%
2024-07-05,23.39,25.84,1.06,4.28%,23.39,25.90,4098,1042.36,0.37%
2024-07-04,25.08,24.78,-0.52,-2.06%,24.63,26.19,2256,563.86,0.21%
2024-07-03,25.50,25.30,-0.20,-0.78%,25.11,25.70,1938,491.94,0.18%
2024-07-02,26.29,25.50,-0.18,-0.70%,25.33,26.29,1900,488.60,0.17%
2024-07-01,26.44,25.68,-0.97,-3.64%,25.53,27.00,3247,841.40,0.30%
2024-06-28,25.88,26.65,0.09,0.34%,25.88,26.99,3629,965.92,0.33%
2024-06-27,26.88,26.56,-0.69,-2.53%,26.56,27.25,3162,846.83,0.29%
2024-06-26,26.38,27.25,0.87,3.30%,25.92,27.48,5889,1566.28,0.54%
2024-06-25,26.66,26.38,-0.11,-0.42%,25.79,27.10,3576,955.47,0.33%
2024-06-24,27.95,26.49,-1.30,-4.68%,26.28,27.95,6610,1777.81,0.60%
2024-06-21,27.70,27.79,-0.07,-0.25%,27.54,28.19,4598,1282.99,0.42%
2024-06-20,28.45,27.86,-0.48,-1.69%,27.80,28.80,5463,1540.55,0.50%
2024-06-19,28.35,28.34,-0.31,-1.08%,28.08,29.12,4173,1183.92,0.38%
2024-06-18,27.74,28.65,0.63,2.25%,27.56,29.08,11897,3370.72,1.09%
2024-06-17,27.99,28.02,0.02,0.07%,27.50,28.48,10080,2818.68,0.92%
2024-06-14,27.95,28.00,-0.22,-0.78%,27.65,29.40,12365,3517.85,1.13%
2024-06-13,26.37,28.22,2.10,8.04%,26.12,28.73,10543,2922.14,0.96%
2024-06-12,25.47,26.12,0.65,2.55%,25.24,26.18,4187,1085.58,0.38%
2024-06-11,25.53,25.47,-0.08,-0.31%,25.02,25.80,4033,1026.10,0.37%
2024-06-07,25.35,25.55,0.26,1.03%,24.81,26.06,4920,1250.98,0.45%
2024-06-06,26.51,25.29,-1.52,-5.67%,24.99,26.76,8411,2153.00,0.77%
2024-06-05,27.50,26.81,-0.39,-1.43%,26.67,27.51,3054,821.28,0.28%
2024-06-04,26.59,27.20,0.20,0.74%,26.34,27.31,6655,1781.50,0.61%
2024-06-03,27.64,27.00,-0.67,-2.42%,26.36,27.76,10045,2707.50,0.92%
2024-05-31,39.31,38.99,-0.32,-0.81%,38.41,39.58,6336,2482.94,0.85%
2024-05-30,39.48,39.31,-0.22,-0.56%,38.01,39.53,7229,2812.56,0.97%
2024-05-29,39.00,39.53,0.43,1.10%,38.83,40.23,6747,2669.55,0.91%
2024-05-28,37.74,39.10,1.30,3.44%,37.21,39.47,12918,5020.15,1.73%
2024-05-27,36.88,37.80,0.75,2.02%,36.88,38.48,9629,3602.98,1.29%
2024-05-24,38.00,37.05,-0.93,-2.45%,37.05,39.43,6375,2421.77,0.86%
2024-05-23,39.10,37.98,-0.35,-0.91%,37.01,39.10,6278,2378.41,0.84%
2024-05-22,37.81,38.33,0.14,0.37%,37.81,38.66,5921,2260.15,0.80%
2024-05-21,38.10,38.19,-0.79,-2.03%,37.60,39.50,7974,3050.30,1.07%
2024-05-20,35.94,38.98,3.00,8.34%,35.51,39.99,16384,6249.45,2.20%
2024-05-17,35.38,35.98,0.78,2.22%,34.89,36.27,8434,3007.18,1.13%
2024-05-16,35.90,35.20,-0.59,-1.65%,35.03,36.44,8325,2954.54,1.12%
2024-05-15,36.97,35.79,-1.48,-3.97%,35.64,37.74,11198,4080.92,1.50%
2024-05-14,35.75,37.27,1.16,3.21%,35.75,37.65,7254,2674.12,0.97%
2024-05-13,35.38,36.11,-0.01,-0.03%,35.14,36.29,6710,2404.30,0.90%
2024-05-10,35.88,36.12,0.37,1.03%,35.01,36.61,14539,5201.77,1.95%
2024-05-09,33.58,35.75,2.12,6.30%,33.44,36.23,16017,5623.90,2.15%
2024-05-08,32.56,33.63,1.15,3.54%,32.20,33.70,12194,4039.32,1.64%
2024-05-07,29.10,32.48,1.85,6.04%,29.10,32.88,19204,6025.50,2.58%
2024-05-06,31.46,30.63,-0.57,-1.83%,30.30,32.08,8376,2594.94,1.12%
2024-04-30,30.76,31.20,0.01,0.03%,30.51,31.47,3820,1180.37,0.51%
2024-04-29,29.72,31.19,1.11,3.69%,29.33,31.45,5967,1844.45,0.80%
2024-04-26,29.96,30.08,0.09,0.30%,29.39,30.38,2355,706.37,0.32%
2024-04-25,29.23,29.99,0.10,0.33%,29.23,30.44,2174,652.58,0.29%
2024-04-24,30.63,29.89,0.31,1.05%,29.07,30.63,6497,1927.69,0.87%
2024-04-23,29.60,29.58,0.22,0.75%,29.00,29.99,2914,861.45,0.39%
2024-04-22,28.01,29.36,0.54,1.87%,27.80,29.36,2915,832.55,0.39%
2024-04-19,28.80,28.82,-0.28,-0.96%,28.50,29.19,2323,669.54,0.31%
2024-04-18,29.27,29.10,-0.63,-2.12%,28.55,29.66,7085,2064.41,0.95%
2024-04-17,28.96,29.73,1.27,4.46%,28.35,30.42,7185,2107.38,0.97%
2024-04-16,29.06,28.46,-2.81,-8.99%,28.32,30.44,5514,1613.17,0.74%
2024-04-15,31.69,31.27,-1.29,-3.96%,30.60,32.68,8123,2543.20,1.09%
2024-04-12,31.90,32.56,0.85,2.68%,31.90,33.44,5844,1900.19,0.78%
2024-04-11,31.62,31.71,-0.10,-0.31%,30.38,32.28,4744,1498.33,2.42%
2024-04-10,32.87,31.81,-0.30,-0.93%,31.01,33.00,6986,2215.28,3.57%
2024-04-09,30.10,32.11,2.12,7.07%,30.04,33.00,12076,3831.32,6.17%
2024-04-08,29.94,29.99,-0.13,-0.43%,29.55,31.05,7491,2247.60,3.83%
2024-04-03,29.01,30.12,1.10,3.79%,27.66,30.21,8036,2376.63,4.11%
2024-04-02,29.20,29.02,-0.19,-0.65%,28.54,29.28,3654,1056.95,1.87%
