日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,43.00,40.83,-1.77,-4.15%,40.76,43.00,6960,2879.41,0.97%
2024-09-05,41.85,42.60,0.27,0.64%,41.62,43.56,7281,3113.84,1.02%
2024-09-04,40.92,42.33,0.85,2.05%,40.53,42.74,8319,3486.66,1.16%
2024-09-03,41.07,41.48,0.55,1.34%,40.98,42.60,8827,3696.17,1.24%
2024-09-02,43.10,40.93,-2.37,-5.47%,40.92,43.65,9268,3907.86,1.30%
2024-08-30,41.13,43.30,2.27,5.53%,41.13,44.49,19653,8542.03,2.75%
2024-08-29,39.60,41.03,1.35,3.40%,39.60,41.38,7727,3143.03,1.08%
2024-08-28,40.02,39.68,-0.62,-1.54%,39.61,40.93,8210,3299.48,1.15%
2024-08-27,40.35,40.30,1.53,3.95%,39.18,41.29,18641,7480.03,2.61%
2024-08-26,38.16,38.77,0.78,2.05%,37.58,38.99,5091,1954.46,0.71%
2024-08-23,38.69,37.99,-0.74,-1.91%,37.72,38.93,7589,2894.48,1.06%
2024-08-22,39.62,38.73,-0.71,-1.80%,38.60,39.91,5273,2063.43,0.74%
2024-08-21,39.87,39.44,-0.41,-1.03%,39.34,40.69,6139,2455.95,0.86%
2024-08-20,40.89,39.85,-0.75,-1.85%,39.80,41.02,5556,2228.74,0.78%
2024-08-19,42.32,40.60,-1.72,-4.06%,40.43,42.77,8311,3444.79,1.16%
2024-08-16,42.19,42.32,0.46,1.10%,41.71,43.10,6435,2738.35,0.90%
2024-08-15,41.65,41.86,-0.26,-0.62%,41.45,43.00,5442,2295.26,0.76%
2024-08-14,41.84,42.12,0.28,0.67%,41.40,43.07,5134,2170.28,0.72%
2024-08-13,40.90,41.84,0.69,1.68%,40.85,41.90,7218,2979.57,1.01%
2024-08-12,42.31,41.15,-1.55,-3.63%,40.70,42.81,9487,3919.97,1.33%
2024-08-09,44.66,42.70,-0.83,-1.91%,42.61,45.07,7953,3471.42,1.11%
2024-08-08,43.56,43.53,-0.03,-0.07%,42.20,45.17,10786,4701.50,1.51%
2024-08-07,45.03,43.56,-1.47,-3.26%,43.49,45.53,7943,3526.76,1.11%
2024-08-06,44.59,45.03,1.35,3.09%,44.16,45.44,6614,2960.87,0.93%
2024-08-05,47.14,43.68,-4.15,-8.68%,43.60,47.59,11559,5263.42,1.62%
2024-08-02,47.70,47.83,-1.69,-3.41%,47.35,50.00,9596,4676.89,1.34%
2024-08-01,48.50,49.52,1.42,2.95%,48.50,51.20,17013,8491.16,2.38%
2024-07-31,45.83,48.10,2.19,4.77%,44.15,48.46,13593,6349.65,1.90%
