日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,14.72,14.20,-0.52,-3.53%,14.20,14.72,29395,4236.82,3.81%
2024-09-05,14.57,14.72,0.11,0.75%,14.57,14.94,20058,2953.41,2.60%
2024-09-04,14.54,14.61,-0.01,-0.07%,14.41,14.80,21154,3098.84,2.74%
2024-09-03,14.56,14.62,0.21,1.46%,14.38,14.73,26268,3828.68,3.41%
2024-09-02,15.18,14.41,-0.78,-5.13%,14.39,15.26,39278,5798.09,5.09%
2024-08-30,14.71,15.19,0.05,0.33%,14.51,15.54,65141,9855.69,8.45%
2024-08-29,15.00,15.14,0.11,0.73%,14.83,15.33,25114,3798.02,3.26%
2024-08-28,15.00,15.03,0.02,0.13%,14.93,15.14,14468,2175.69,1.88%
2024-08-27,15.42,15.01,-0.49,-3.16%,14.98,15.49,25548,3879.52,3.31%
2024-08-26,15.52,15.50,-0.06,-0.39%,15.46,15.74,15730,2450.35,2.04%
2024-08-23,15.80,15.56,-0.07,-0.45%,15.36,15.80,19649,3052.26,2.55%
2024-08-22,15.69,15.63,-0.05,-0.32%,15.55,15.90,20474,3221.53,2.65%
2024-08-21,16.01,15.68,-0.36,-2.24%,15.63,16.05,30291,4786.71,3.93%
2024-08-20,16.40,16.04,-0.28,-1.72%,15.95,16.45,27592,4440.74,3.58%
2024-08-19,16.58,16.32,-0.30,-1.81%,16.32,16.80,23347,3861.06,3.03%
2024-08-16,16.95,16.62,-0.21,-1.25%,16.61,16.97,19480,3272.10,2.53%
2024-08-15,16.70,16.83,0.16,0.96%,16.54,17.00,25060,4217.50,3.25%
2024-08-14,16.70,16.67,-0.04,-0.24%,16.66,16.93,19952,3348.22,2.59%
2024-08-13,16.46,16.71,0.25,1.52%,16.45,16.80,21755,3617.20,2.82%
2024-08-12,16.77,16.46,-0.38,-2.26%,16.40,16.90,26067,4337.24,3.38%
2024-08-09,17.10,16.84,-0.09,-0.53%,16.81,17.27,29662,5059.29,3.85%
2024-08-08,17.22,16.93,-0.38,-2.20%,16.59,17.22,47486,8014.44,6.16%
2024-08-07,17.50,17.31,-0.40,-2.26%,17.18,17.70,52516,9120.88,6.81%
2024-08-06,17.68,17.71,0.31,1.78%,17.40,17.85,19925,3510.71,2.78%
2024-08-05,18.21,17.40,-0.91,-4.97%,17.40,18.38,45373,8111.80,6.33%
2024-08-02,18.95,18.31,-0.87,-4.54%,18.30,19.03,36917,6890.52,5.15%
2024-08-01,18.90,19.18,0.27,1.43%,18.87,19.45,44526,8535.48,6.21%
2024-07-31,18.20,18.91,0.54,2.94%,18.20,19.05,38563,7233.33,5.38%
2024-07-30,17.99,18.37,0.20,1.10%,17.92,18.48,21460,3906.31,2.99%
2024-07-29,18.48,18.17,-0.28,-1.52%,18.09,18.60,21871,4007.36,3.05%
2024-07-26,18.20,18.45,0.27,1.49%,18.17,18.59,24307,4465.81,3.39%
2024-07-25,18.05,18.18,0.07,0.39%,17.92,18.49,26189,4752.39,3.65%
2024-07-24,18.51,18.11,-0.47,-2.53%,18.09,18.79,33823,6225.08,4.72%
2024-07-23,19.46,18.58,-0.86,-4.42%,18.56,19.58,33778,6417.97,4.71%
2024-07-22,19.38,19.44,0.09,0.47%,19.20,19.63,36695,7131.08,5.12%
2024-07-19,18.63,19.35,0.52,2.76%,18.55,19.62,58802,11352.48,8.20%
2024-07-18,18.33,18.83,0.22,1.18%,18.00,19.07,47428,8748.73,6.61%
2024-07-17,18.77,18.61,-0.32,-1.69%,18.58,18.92,22189,4152.98,3.09%
2024-07-16,18.56,18.93,0.41,2.21%,18.10,18.95,36002,6702.41,5.02%
2024-07-15,18.95,18.52,-0.50,-2.63%,18.43,19.16,27354,5112.31,3.81%
2024-07-12,18.97,19.02,-0.19,-0.99%,18.87,19.12,22480,4266.29,3.14%
2024-07-11,19.20,19.21,0.46,2.45%,18.98,19.38,36959,7087.96,5.15%
2024-07-10,18.70,18.75,-0.13,-0.69%,18.65,19.04,28944,5449.28,4.04%
2024-07-09,18.11,18.88,0.74,4.08%,18.00,18.97,39737,7342.96,5.54%
2024-07-08,18.79,18.14,-0.63,-3.36%,18.12,19.08,31089,5800.79,4.34%
2024-07-05,18.58,18.77,0.09,0.48%,18.35,18.96,25883,4817.11,3.61%
2024-07-04,19.39,18.68,-0.76,-3.91%,18.66,19.56,38944,7399.86,5.43%
2024-07-03,19.16,19.44,0.15,0.78%,19.03,19.66,32216,6236.85,4.49%
2024-07-02,19.69,19.29,-0.11,-0.57%,19.28,19.86,35827,7005.40,5.00%
2024-07-01,19.25,19.40,0.08,0.41%,18.77,19.51,40239,7716.68,5.61%
2024-06-28,19.09,19.32,0.20,1.05%,19.03,19.72,37925,7368.46,5.29%
2024-06-27,19.50,19.12,-0.60,-3.04%,19.12,19.70,39758,7712.04,5.54%
2024-06-26,19.29,19.72,0.44,2.28%,18.96,19.84,44115,8562.50,6.15%
2024-06-25,19.84,19.28,-0.48,-2.43%,19.07,19.89,48938,9506.88,6.83%
2024-06-24,20.85,19.76,-1.36,-6.44%,19.63,21.05,81495,16545.68,11.37%
2024-06-21,21.02,21.12,-0.31,-1.45%,20.52,21.27,76019,15876.59,10.60%
2024-06-20,21.50,21.43,-0.02,-0.09%,21.43,22.48,123216,27069.33,17.18%
2024-06-19,21.39,21.45,0.02,0.09%,20.84,21.75,80985,17265.45,11.29%
2024-06-18,21.44,21.43,0.00,0.00%,21.20,21.73,60362,12912.02,8.42%
2024-06-17,21.65,21.54,-0.11,-0.51%,21.13,21.89,63329,13694.58,8.83%
2024-06-14,22.05,21.65,-0.47,-2.12%,21.50,22.20,84092,18280.11,11.73%
2024-06-13,21.18,22.12,0.97,4.59%,21.08,23.00,144369,31998.77,20.13%
2024-06-12,21.00,21.15,-0.05,-0.24%,20.78,21.24,63586,13375.94,8.87%
2024-06-11,20.28,21.20,1.14,5.68%,20.10,21.20,97019,20110.93,13.53%
2024-06-07,20.08,20.06,0.16,0.80%,19.83,20.59,53277,10737.24,7.43%
2024-06-06,20.50,19.90,-0.40,-1.97%,19.88,20.78,68498,13908.01,9.55%
2024-06-05,20.25,20.30,0.06,0.30%,20.10,20.97,65905,13531.53,9.19%
2024-06-04,20.26,20.24,-0.24,-1.17%,19.80,20.45,51029,10219.97,7.12%
2024-06-03,20.27,20.48,0.17,0.84%,20.12,20.92,66626,13681.00,9.29%
2024-05-31,19.98,20.31,0.37,1.86%,19.96,20.75,76825,15675.26,10.71%
2024-05-30,19.02,19.94,0.74,3.85%,19.02,20.19,91557,18158.31,12.77%
2024-05-29,19.47,19.20,-0.27,-1.39%,19.10,19.78,37575,7301.55,5.24%
2024-05-28,19.49,19.47,-0.05,-0.26%,19.31,20.16,65814,12991.31,9.18%
2024-05-27,19.35,19.52,0.22,1.14%,18.68,19.55,53829,10274.72,7.51%
2024-05-24,19.45,19.30,0.09,0.47%,19.23,19.78,52019,10128.06,7.25%
2024-05-23,19.45,19.21,-0.25,-1.28%,19.19,19.68,44803,8696.31,6.25%
2024-05-22,19.32,19.46,0.14,0.72%,19.25,19.57,26496,5141.59,3.70%
2024-05-21,19.57,19.32,-0.25,-1.28%,19.32,19.60,23684,4603.37,3.30%
2024-05-20,19.54,19.57,0.01,0.05%,19.42,19.81,31760,6217.91,4.43%
2024-05-17,19.17,19.56,0.24,1.24%,19.10,19.60,31839,6179.22,4.44%
2024-05-16,19.48,19.32,-0.14,-0.72%,19.30,19.75,28475,5550.06,3.97%
2024-05-15,19.48,19.46,-0.14,-0.71%,19.24,19.85,26485,5180.66,3.69%
2024-05-14,19.85,19.60,0.04,0.20%,19.48,19.89,24147,4746.76,3.37%
2024-05-13,20.18,19.56,-0.80,-3.93%,19.51,20.18,41848,8257.80,5.84%
2024-05-10,21.08,20.36,-0.65,-3.09%,20.27,21.22,48437,9968.82,6.76%
2024-05-09,20.46,21.01,0.65,3.19%,20.33,21.26,53790,11220.93,7.50%
2024-05-08,21.10,20.36,-0.78,-3.69%,20.31,21.19,45161,9305.93,6.30%
2024-05-07,21.04,21.14,0.06,0.28%,20.96,21.28,36372,7683.95,5.07%
2024-05-06,20.98,21.08,0.31,1.49%,20.98,21.32,44912,9496.39,6.26%
2024-04-30,21.61,20.77,-0.99,-4.55%,20.72,21.61,83884,17596.54,11.70%
2024-04-29,21.42,21.76,0.31,1.45%,21.29,21.94,62313,13526.56,8.69%
2024-04-26,21.18,21.45,0.29,1.37%,21.15,21.70,56009,12023.04,7.81%
2024-04-25,21.35,21.16,-0.35,-1.63%,21.11,21.59,44827,9543.17,6.25%
2024-04-24,21.16,21.51,0.22,1.03%,21.16,21.78,61323,13181.31,8.55%
2024-04-23,21.03,21.29,-0.01,-0.05%,21.01,21.75,72021,15392.72,10.04%
2024-04-22,20.00,21.30,1.35,6.77%,19.78,21.58,100362,21076.30,14.00%
2024-04-19,20.50,19.95,-0.69,-3.34%,19.89,20.61,50478,10183.58,7.04%
2024-04-18,20.51,20.64,-0.16,-0.77%,20.26,20.96,61109,12591.33,8.52%
2024-04-17,19.49,20.80,1.80,9.47%,19.39,20.86,88468,17848.97,12.34%
2024-04-16,20.21,19.00,-1.38,-6.77%,18.70,20.30,71379,13783.66,9.95%
2024-04-15,20.41,20.38,0.22,1.09%,20.00,21.15,68880,14201.34,9.61%
2024-04-12,20.00,20.16,0.14,0.70%,19.98,20.48,42122,8530.13,5.87%
2024-04-11,19.80,20.02,0.07,0.35%,19.71,20.48,37862,7647.39,5.28%
2024-04-10,20.55,19.95,-0.70,-3.39%,19.73,20.55,47587,9534.28,6.64%
2024-04-09,20.18,20.65,0.44,2.18%,20.00,20.65,38688,7889.56,5.40%
2024-04-08,20.99,20.21,-0.93,-4.40%,20.17,20.99,55952,11515.99,7.80%
2024-04-03,21.05,21.14,0.01,0.05%,20.35,21.71,74620,15698.35,10.41%
2024-04-02,21.55,21.13,-0.52,-2.40%,20.89,21.69,59003,12523.62,8.23%
2024-04-01,21.30,21.65,0.39,1.83%,21.30,21.85,60462,13076.67,8.43%
2024-03-29,20.71,21.26,0.38,1.82%,20.65,21.29,54998,11525.42,7.67%
2024-03-28,20.68,20.88,0.26,1.26%,20.56,21.34,69280,14552.78,9.66%
2024-03-27,21.79,20.62,-1.12,-5.15%,20.58,21.79,76436,16071.00,10.66%
2024-03-26,22.63,21.74,-0.66,-2.95%,21.57,22.98,92163,20437.31,12.85%
2024-03-25,23.85,22.40,-1.80,-7.44%,22.39,23.99,122244,28262.40,17.05%
2024-03-22,23.10,24.20,1.00,4.31%,23.02,24.94,157274,38026.75,21.93%
2024-03-21,23.99,23.20,-0.50,-2.11%,23.20,24.34,101265,24097.13,14.12%
2024-03-20,23.33,23.70,0.26,1.11%,23.18,23.81,76949,18117.90,10.73%
2024-03-19,23.33,23.44,0.11,0.47%,23.20,24.06,99902,23635.59,13.93%
2024-03-18,23.13,23.33,0.36,1.57%,22.86,23.48,76614,17790.30,10.68%
2024-03-15,22.66,22.97,0.25,1.10%,22.44,23.07,58092,13217.93,8.10%
2024-03-14,23.40,22.72,-1.08,-4.54%,22.28,23.50,124692,28516.13,17.39%
2024-03-13,24.52,23.80,-0.60,-2.46%,23.72,24.52,115958,27998.17,16.17%
2024-03-12,23.68,24.40,0.83,3.52%,23.48,24.80,145969,35464.38,20.36%
2024-03-11,23.38,23.57,-0.17,-0.72%,23.08,23.63,103041,24051.77,14.37%
2024-03-08,23.60,23.74,0.41,1.76%,22.98,24.30,109368,25912.86,15.25%
2024-03-07,23.03,23.33,0.60,2.64%,23.03,24.69,151878,36165.33,21.18%
