日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-06,64.30,61.34,-2.96,-4.60%,61.16,64.72,13258,8243.81,1.26%
2024-09-05,63.71,64.30,0.61,0.96%,63.69,65.53,9123,5883.67,0.86%
2024-09-04,63.53,63.69,-0.47,-0.73%,62.88,64.70,9729,6207.18,0.92%
2024-09-03,63.12,64.16,0.75,1.18%,63.10,65.30,12769,8221.58,1.21%
2024-09-02,67.22,63.41,-4.84,-7.09%,63.11,68.23,24904,16113.89,2.36%
2024-08-30,64.78,68.25,3.14,4.82%,64.45,68.68,25622,17261.25,2.43%
2024-08-29,63.83,65.11,0.78,1.21%,62.77,65.78,14790,9539.80,1.40%
2024-08-28,64.10,64.33,0.84,1.32%,62.57,64.68,13410,8528.62,1.27%
2024-08-27,64.51,63.49,-1.06,-1.64%,63.20,64.95,8919,5701.87,0.84%
2024-08-26,66.00,64.55,-0.73,-1.12%,64.26,66.00,9630,6246.26,0.91%
2024-08-23,65.11,65.28,0.10,0.15%,64.00,65.95,11579,7516.46,1.10%
2024-08-22,65.68,65.18,-0.52,-0.79%,64.08,66.38,8920,5817.96,1.46%
2024-08-21,66.34,65.70,-0.66,-0.99%,65.33,67.26,10265,6804.54,1.68%
2024-08-20,67.46,66.36,-1.00,-1.48%,65.68,67.89,8237,5508.12,1.35%
2024-08-19,68.10,67.36,-1.47,-2.14%,67.21,69.44,9809,6673.28,1.60%
2024-08-16,67.93,68.83,0.89,1.31%,67.20,70.55,14317,9913.18,2.34%
2024-08-15,68.08,67.94,-0.20,-0.29%,67.32,69.48,9260,6326.12,1.51%
2024-08-14,69.16,68.14,-0.99,-1.43%,68.14,69.69,7675,5267.75,1.25%
2024-08-13,68.54,69.13,0.83,1.22%,68.14,69.36,6345,4357.65,1.04%
2024-08-12,68.79,68.30,-1.00,-1.44%,67.93,69.95,8460,5802.10,1.38%
2024-08-09,72.00,69.30,-0.80,-1.14%,69.30,72.49,14584,10249.31,2.38%
2024-08-08,69.25,70.10,0.67,0.97%,68.06,71.17,15891,11065.48,2.60%
2024-08-07,68.68,69.43,0.03,0.04%,68.36,70.60,14162,9831.16,2.31%
2024-08-06,67.88,69.40,2.93,4.41%,67.27,69.57,21902,14981.08,3.58%
2024-08-05,71.07,66.47,-5.45,-7.58%,66.32,71.58,25795,17692.14,4.21%
2024-08-02,75.35,71.92,-4.78,-6.23%,71.66,75.69,22671,16587.41,3.70%
2024-08-01,76.56,76.70,0.78,1.03%,75.60,78.18,24539,18861.24,4.01%
2024-07-31,70.97,75.92,4.84,6.81%,70.12,76.90,26173,19473.96,4.27%
2024-07-30,71.37,71.08,0.08,0.11%,69.35,72.48,17411,12376.30,2.84%
2024-07-29,73.45,71.00,-2.44,-3.32%,70.11,73.95,22052,15833.25,3.60%
2024-07-26,74.14,73.44,-0.41,-0.56%,72.41,74.80,16222,11945.46,2.65%
2024-07-25,74.90,73.85,-1.53,-2.03%,73.60,75.51,18905,14052.71,3.09%
2024-07-24,78.40,75.38,-3.11,-3.96%,75.38,79.95,29355,22603.99,4.79%
2024-07-23,84.53,78.49,-6.04,-7.15%,78.49,84.53,28948,23335.55,4.73%
2024-07-22,86.60,84.53,-2.41,-2.77%,83.12,87.31,26031,22070.39,4.25%
2024-07-19,90.45,86.94,-3.04,-3.38%,85.58,90.50,33987,29706.64,5.55%
2024-07-18,86.00,89.98,0.71,0.80%,84.70,90.61,22855,20039.68,3.73%
2024-07-17,94.97,89.27,-5.74,-6.04%,89.22,94.97,17566,16068.00,2.87%
2024-07-16,92.58,95.01,1.88,2.02%,91.45,95.78,16479,15434.20,2.69%
2024-07-15,92.88,93.13,0.53,0.57%,91.68,94.85,12942,12114.79,2.11%
2024-07-12,92.03,92.60,-0.37,-0.40%,89.50,92.96,11702,10662.84,1.91%
2024-07-11,94.50,92.97,-0.23,-0.25%,91.16,94.88,17598,16390.65,2.87%
2024-07-10,93.01,93.20,0.00,0.00%,92.63,95.13,15203,14290.82,2.48%
2024-07-09,90.17,93.20,3.30,3.67%,88.50,93.69,19288,17719.76,3.15%
2024-07-08,90.34,89.90,-0.65,-0.72%,89.32,94.35,22114,20324.92,3.61%
2024-07-05,89.00,90.55,0.45,0.50%,87.16,91.86,13878,12407.30,2.27%
2024-07-04,91.00,90.10,-0.90,-0.99%,89.50,92.42,18336,16670.85,2.99%
2024-07-03,90.35,91.00,1.35,1.51%,88.40,91.50,16589,14986.96,2.71%
2024-07-02,94.16,89.65,-4.15,-4.42%,89.18,94.16,27023,24470.00,4.41%
2024-07-01,96.00,93.80,-3.37,-3.47%,90.20,98.98,29928,27755.75,4.89%
2024-06-28,93.99,97.17,1.97,2.07%,93.60,99.50,18973,18380.83,3.10%
2024-06-27,95.90,95.20,-2.39,-2.45%,94.23,99.00,17979,17325.39,2.94%
2024-06-26,96.38,97.59,2.78,2.93%,92.81,98.19,17550,16722.74,2.87%
2024-06-25,96.60,94.81,-1.39,-1.44%,94.29,97.78,15764,15054.84,2.57%
2024-06-24,98.64,96.20,-2.69,-2.72%,96.00,101.22,20385,20074.41,3.33%
2024-06-21,97.39,98.89,0.99,1.01%,95.21,99.50,24675,24068.37,4.03%
2024-06-20,94.52,97.90,3.00,3.16%,94.20,99.80,48439,47331.19,7.91%
2024-06-19,95.99,94.90,3.95,4.34%,93.18,99.87,50549,48220.04,8.26%
2024-06-18,91.91,90.95,-0.95,-1.03%,90.00,92.79,11301,10285.48,1.85%
2024-06-17,91.28,91.90,0.72,0.79%,90.40,92.99,18666,17136.81,3.05%
2024-06-14,90.08,91.18,0.44,0.48%,89.00,91.45,14408,13023.24,2.35%
2024-06-13,86.90,90.74,4.54,5.27%,86.22,93.40,24221,22024.02,3.96%
2024-06-12,85.83,86.20,-0.16,-0.19%,85.00,88.90,11739,10217.29,1.92%
2024-06-11,81.51,86.36,5.26,6.49%,81.00,86.66,17719,14981.22,2.89%
2024-06-07,82.49,81.10,-0.80,-0.98%,80.25,83.97,10101,8263.44,1.65%
2024-06-06,84.90,81.90,-2.12,-2.52%,81.00,84.90,13097,10814.01,2.14%
2024-06-05,119.21,117.50,-3.26,-2.70%,114.61,121.47,14387,16891.40,3.28%
2024-06-04,120.29,120.76,-0.25,-0.21%,118.60,122.59,13176,15863.98,3.01%
2024-06-03,113.38,121.01,7.43,6.54%,112.80,123.50,20201,24292.45,4.61%
2024-05-31,113.92,113.58,0.91,0.81%,112.10,115.29,9500,10807.18,2.17%
2024-05-30,110.96,112.67,0.97,0.87%,110.04,114.04,7911,8915.95,1.81%
2024-05-29,112.96,111.70,-1.79,-1.58%,110.50,114.89,9376,10516.01,2.14%
2024-05-28,112.22,113.49,0.28,0.25%,112.22,117.79,10031,11521.83,2.29%
2024-05-27,110.80,113.21,2.70,2.44%,107.60,113.47,13374,14743.04,3.05%
2024-05-24,115.90,110.51,-4.59,-3.99%,110.00,115.90,14101,15724.99,3.22%
2024-05-23,116.20,115.10,-1.10,-0.95%,114.00,117.48,6004,6930.21,1.37%
2024-05-22,119.54,116.20,-3.94,-3.28%,114.00,119.79,14409,16695.80,3.29%
2024-05-21,118.07,120.14,1.79,1.51%,117.33,122.50,9432,11341.27,2.15%
2024-05-20,117.30,118.35,1.47,1.26%,114.83,120.40,8891,10509.45,2.03%
2024-05-17,117.28,116.88,-1.42,-1.20%,114.85,117.67,7406,8609.37,1.69%
2024-05-16,119.90,118.30,0.00,0.00%,115.75,121.00,11540,13559.99,2.63%
2024-05-15,120.00,118.30,-4.51,-3.67%,117.52,123.00,7804,9323.28,1.78%
2024-05-14,119.08,122.81,4.33,3.65%,118.60,127.98,16440,20219.74,3.75%
2024-05-13,112.18,118.48,5.48,4.85%,110.83,122.88,16291,19313.24,3.72%
2024-05-10,113.72,113.00,-1.17,-1.02%,112.68,115.69,6951,7907.50,1.59%
2024-05-09,118.54,114.17,-2.85,-2.44%,113.28,118.54,15131,17360.46,3.45%
2024-05-08,113.98,117.02,-0.32,-0.27%,112.30,120.50,24163,28475.69,5.51%
2024-05-07,118.80,117.34,-0.66,-0.56%,114.02,118.80,13736,15961.55,3.13%
2024-05-06,110.90,118.00,9.33,8.59%,110.02,118.38,18001,20714.88,4.11%
2024-04-30,109.05,108.67,-0.41,-0.38%,107.45,111.28,12510,13695.57,2.86%
2024-04-29,103.00,109.08,9.17,9.18%,102.81,115.44,25099,27108.94,5.73%
2024-04-26,96.33,99.91,3.13,3.23%,96.05,100.17,16054,15858.27,3.66%
2024-04-25,96.00,96.78,-0.32,-0.33%,95.21,99.49,10291,10038.06,2.35%
2024-04-24,98.14,97.10,-0.78,-0.80%,95.90,102.00,16741,16502.23,3.82%
2024-04-23,93.10,97.88,4.17,4.45%,93.10,98.58,15359,14748.12,3.51%
2024-04-22,87.50,93.71,3.93,4.38%,84.85,94.60,13256,12053.49,3.03%
2024-04-19,89.99,89.78,-0.97,-1.07%,86.50,90.50,12590,11101.00,2.87%
2024-04-18,90.83,90.75,-1.75,-1.89%,90.21,93.37,10531,9627.52,2.40%
2024-04-17,85.80,92.50,9.28,11.15%,84.25,92.50,17005,15175.30,3.88%
2024-04-16,88.90,83.22,-6.18,-6.91%,83.00,89.39,13677,11643.83,3.12%
2024-04-15,89.89,89.40,-1.50,-1.65%,87.05,91.99,12073,10763.90,2.72%
2024-04-12,87.57,90.90,4.10,4.72%,87.12,93.33,15232,13757.57,3.44%
2024-04-11,87.00,86.80,0.12,0.14%,86.75,90.80,9942,8802.29,2.24%
2024-04-10,90.80,86.68,-3.83,-4.23%,84.80,91.49,13484,11645.22,3.04%
2024-04-09,92.99,90.51,-1.29,-1.41%,88.24,93.00,12325,11083.06,2.78%
2024-04-08,94.45,91.80,-3.20,-3.37%,90.40,94.76,11923,11002.65,2.69%
2024-04-03,88.81,95.00,6.19,6.97%,88.10,98.62,18842,17705.11,4.25%
2024-04-02,92.99,88.81,-2.11,-2.32%,88.37,93.91,8432,7662.81,1.90%
2024-04-01,90.70,90.92,0.22,0.24%,90.01,92.74,7120,6501.78,1.61%
2024-03-29,88.38,90.70,1.72,1.93%,87.00,90.87,7787,6943.84,1.76%
2024-03-28,88.33,88.98,0.60,0.68%,87.50,90.99,11562,10318.93,2.61%
2024-03-27,91.81,88.38,-3.93,-4.26%,88.37,93.60,14633,13199.73,3.30%
2024-03-26,92.55,92.31,0.91,1.00%,90.82,95.69,9756,9066.22,2.20%
2024-03-25,96.10,91.40,-6.10,-6.26%,91.30,96.10,13948,12987.14,3.15%
2024-03-22,98.17,97.50,-1.20,-1.22%,97.00,102.91,13597,13550.13,3.07%
2024-03-21,100.00,98.70,2.32,2.41%,96.10,100.65,13406,13188.56,3.03%
2024-03-20,94.37,96.38,2.01,2.13%,93.94,96.84,8471,8086.15,1.91%
2024-03-19,96.01,94.37,-2.61,-2.69%,94.37,99.27,12070,11705.44,2.72%
2024-03-18,93.34,96.98,5.00,5.44%,90.78,97.00,15063,14256.18,3.40%
2024-03-15,91.55,91.98,0.43,0.47%,89.32,93.18,10731,9782.40,2.42%
2024-03-14,88.16,91.55,3.15,3.56%,86.40,93.78,15804,14399.22,3.57%
2024-03-13,88.70,88.40,-0.35,-0.39%,87.82,90.60,9385,8352.10,2.12%
2024-03-12,85.28,88.75,3.29,3.85%,84.61,91.38,21059,18797.37,4.75%
2024-03-11,83.11,85.46,1.37,1.63%,81.22,85.98,13576,11389.61,3.06%
2024-03-08,80.21,84.09,4.08,5.10%,79.84,85.55,16700,13939.24,3.77%
2024-03-07,82.87,80.01,-1.79,-2.19%,79.77,84.40,6800,5578.88,1.53%
2024-03-06,81.50,81.80,0.25,0.31%,79.12,83.00,9633,7839.23,2.17%
2024-03-05,83.28,81.55,-2.00,-2.39%,80.99,84.18,13020,10785.23,2.94%
2024-03-04,83.27,83.55,0.28,0.34%,80.01,84.30,13732,11397.01,3.10%
2024-03-01,82.00,83.27,1.44,1.76%,81.98,84.77,14531,12140.44,3.28%
2024-02-29,76.50,81.83,4.92,6.40%,76.50,82.50,16687,13442.35,3.77%
2024-02-28,85.54,76.91,-10.26,-11.77%,76.89,86.44,25792,21194.11,5.82%
2024-02-27,86.56,87.17,0.34,0.39%,82.60,87.50,23001,19480.21,5.19%
2024-02-26,82.55,86.83,3.53,4.24%,82.20,87.58,18380,15772.96,4.15%
2024-02-23,79.80,83.30,2.76,3.43%,78.85,84.50,14192,11608.85,3.20%
2024-02-22,77.20,80.54,3.31,4.29%,76.40,81.30,14914,11696.63,3.37%
2024-02-21,77.00,77.23,-2.47,-3.10%,76.10,80.92,15770,12318.22,3.56%
2024-02-20,75.75,79.70,3.47,4.55%,73.59,82.87,19519,15057.34,4.40%
2024-02-19,72.10,76.23,5.01,7.03%,71.40,77.48,23338,17291.88,5.27%
2024-02-08,65.50,71.22,5.53,8.42%,65.50,73.52,21368,14834.38,4.82%
2024-02-07,68.80,65.69,-3.36,-4.87%,64.05,72.00,24162,16457.88,5.45%
2024-02-06,60.50,69.05,6.05,9.60%,58.50,70.90,23070,14983.52,5.21%
2024-02-05,69.66,63.00,-8.00,-11.27%,60.00,69.66,28397,18476.29,6.41%
2024-02-02,73.00,71.00,-1.50,-2.07%,68.45,75.57,26025,18853.55,5.87%
2024-02-01,67.10,72.50,5.50,8.21%,66.18,75.50,22524,16092.99,5.08%
2024-01-31,69.49,67.00,-3.20,-4.56%,67.00,71.97,17368,12015.28,3.92%
2024-01-30,69.90,70.20,3.70,5.56%,67.11,72.90,28948,20529.41,6.53%
2024-01-29,71.14,66.50,-3.64,-5.19%,66.06,71.99,14017,9557.10,3.16%
2024-01-26,73.00,70.14,-3.89,-5.25%,70.01,73.05,9521,6792.83,2.15%
2024-01-25,71.44,74.03,3.16,4.46%,68.83,74.72,10001,7224.02,2.26%
2024-01-24,73.86,70.87,-2.52,-3.43%,68.51,73.86,11241,7878.52,2.54%
2024-01-23,72.10,73.39,1.29,1.79%,71.17,74.00,7505,5455.65,1.69%
2024-01-22,76.75,72.10,-5.70,-7.33%,71.50,77.76,10900,8108.05,2.46%
2024-01-19,79.79,77.80,-1.42,-1.79%,77.38,80.30,6815,5362.77,1.54%
2024-01-18,78.59,79.22,0.22,0.28%,76.06,79.69,8480,6598.81,1.91%
2024-01-17,81.93,79.00,-3.00,-3.66%,79.00,82.53,5785,4640.21,1.31%
2024-01-16,83.89,82.00,-1.95,-2.32%,80.24,83.89,7958,6495.43,1.80%
2024-01-15,81.20,83.95,1.83,2.23%,81.12,84.39,7803,6490.89,1.76%
2024-01-12,84.57,82.12,-2.49,-2.94%,82.00,84.69,7498,6223.30,1.69%
2024-01-11,84.30,84.61,-0.19,-0.22%,83.38,85.85,9567,8099.04,2.16%
2024-01-10,83.83,84.80,0.39,0.46%,82.22,85.99,6947,5865.80,1.57%
2024-01-09,87.49,84.41,-1.91,-2.21%,83.70,87.88,9095,7757.69,2.05%
2024-01-08,89.60,86.32,-2.56,-2.88%,86.26,89.60,5544,4834.31,1.25%
2024-01-05,90.50,88.88,-1.70,-1.88%,88.84,91.40,6836,6164.53,1.54%
2024-01-04,91.78,90.58,-1.60,-1.74%,89.89,92.28,6257,5682.42,1.41%
2024-01-03,93.18,92.18,-1.61,-1.72%,91.17,93.98,8244,7606.49,1.86%
2024-01-02,97.88,93.79,-4.19,-4.28%,92.00,99.17,13264,12482.40,2.99%
2023-12-29,96.97,97.98,1.02,1.05%,96.22,100.30,10193,10032.70,2.30%
2023-12-28,95.95,96.96,1.30,1.36%,94.58,98.77,7027,6802.10,1.59%
2023-12-27,93.96,95.66,1.66,1.77%,93.64,96.74,5802,5532.20,1.31%
2023-12-26,96.62,94.00,-2.58,-2.67%,92.88,96.88,4920,4630.23,1.11%
2023-12-25,96.65,96.58,-0.90,-0.92%,95.40,98.05,3759,3634.61,0.85%
2023-12-22,100.50,97.48,-2.16,-2.17%,96.40,101.20,7167,7062.04,1.62%
2023-12-21,96.10,99.64,2.20,2.26%,96.01,101.44,10063,9933.20,2.27%
2023-12-20,97.31,97.44,0.19,0.20%,96.51,98.98,6378,6240.41,1.44%
2023-12-19,95.72,97.25,0.74,0.77%,95.72,98.19,8600,8339.09,1.94%
2023-12-18,102.11,96.51,-6.12,-5.96%,95.88,102.11,13128,12877.00,2.96%
2023-12-15,104.60,102.63,-1.79,-1.71%,102.00,105.36,8309,8558.34,1.88%
2023-12-14,104.07,104.42,0.83,0.80%,102.60,106.98,8700,9119.66,1.96%
2023-12-13,105.50,103.59,-1.22,-1.16%,103.00,105.60,6972,7273.77,1.57%
2023-12-12,105.78,104.81,-0.79,-0.75%,104.32,107.40,8037,8487.14,1.81%
2023-12-11,103.57,105.60,2.03,1.96%,102.01,106.00,8039,8383.90,1.81%
2023-12-08,101.56,103.57,2.13,2.10%,101.56,104.88,8159,8431.54,1.84%
2023-12-07,100.98,101.44,0.01,0.01%,100.08,102.59,5758,5838.44,1.30%
2023-12-06,100.68,101.43,0.71,0.70%,100.01,102.32,8503,8604.10,1.92%
2023-12-05,107.00,100.72,-6.28,-5.87%,99.99,107.02,11763,12098.13,2.65%
2023-12-04,107.59,107.00,-0.20,-0.19%,105.43,108.80,6643,7129.87,1.50%
2023-12-01,105.12,107.20,2.08,1.98%,103.50,107.50,8336,8804.51,1.88%
2023-11-30,106.60,105.12,-2.40,-2.23%,102.66,107.00,10204,10660.73,2.30%
2023-11-29,108.18,107.52,-0.78,-0.72%,106.06,110.79,7463,8068.15,1.68%
2023-11-28,106.99,108.30,0.83,0.77%,106.62,109.98,7104,7699.36,1.60%
2023-11-27,107.02,107.47,1.22,1.15%,104.49,108.00,7697,8194.45,1.74%
2023-11-24,108.15,106.25,-2.67,-2.45%,105.00,108.20,7122,7581.16,1.61%
2023-11-23,107.50,108.92,1.88,1.76%,106.06,108.92,7063,7610.90,1.59%
2023-11-22,110.00,107.04,-3.06,-2.78%,106.38,110.80,11112,12046.15,2.51%
2023-11-21,111.25,110.10,-1.70,-1.52%,109.00,112.59,8959,9893.29,2.02%
2023-11-20,115.56,111.80,-3.99,-3.45%,111.50,115.70,11902,13383.33,2.69%
2023-11-17,116.66,115.79,-2.41,-2.04%,113.65,117.30,9737,11229.67,2.20%
2023-11-16,116.50,118.20,1.50,1.29%,115.03,121.00,15344,18119.74,3.46%
2023-11-15,115.66,116.70,2.74,2.40%,114.74,118.80,15891,18547.43,3.59%
2023-11-14,112.32,113.96,0.28,0.25%,111.82,116.41,10708,12213.95,2.42%
2023-11-13,116.38,113.68,-0.14,-0.12%,111.88,117.30,9060,10284.52,2.04%
2023-11-10,114.12,113.82,0.33,0.29%,113.00,118.37,14730,17006.67,3.32%
2023-11-09,117.00,113.49,-3.61,-3.08%,112.61,118.58,13741,15824.93,3.10%
2023-11-08,113.33,117.10,3.08,2.70%,113.18,119.79,17888,21035.36,4.04%
2023-11-07,111.64,114.02,1.82,1.62%,110.50,115.00,14297,16188.59,3.23%
2023-11-06,111.00,112.20,3.85,3.55%,108.35,113.60,15140,16851.62,3.42%
2023-11-03,104.18,108.35,4.49,4.32%,103.31,109.41,14475,15424.87,3.27%
2023-11-02,107.23,103.86,-2.94,-2.75%,103.45,108.79,10085,10614.61,2.28%
2023-11-01,109.37,106.80,-1.79,-1.65%,105.80,109.37,7177,7692.52,1.62%
2023-10-31,107.90,108.59,0.67,0.62%,105.85,110.48,12847,13884.82,2.90%
2023-10-30,102.97,107.92,3.25,3.10%,102.39,109.83,15939,17140.01,3.60%
2023-10-27,95.55,104.67,8.82,9.20%,95.55,106.34,19538,19908.60,4.41%
2023-10-26,96.52,95.85,-0.15,-0.16%,94.60,100.88,10904,10676.38,2.46%
2023-10-25,93.65,96.00,1.75,1.86%,93.00,97.48,8912,8520.35,2.01%
2023-10-24,94.26,94.25,0.25,0.27%,91.08,96.38,9769,9122.56,2.20%
2023-10-23,97.00,94.00,-5.03,-5.08%,93.60,98.40,7683,7308.64,1.73%
2023-10-20,102.65,99.03,-4.46,-4.31%,98.19,104.01,8300,8334.28,1.87%
2023-10-19,102.82,103.49,0.03,0.03%,102.80,107.00,8422,8830.97,1.90%
2023-10-18,107.00,103.46,-4.14,-3.85%,102.71,107.96,7945,8299.15,1.79%
2023-10-17,106.35,107.60,0.70,0.65%,104.15,108.87,10097,10731.99,2.28%
2023-10-16,107.53,106.90,-1.80,-1.66%,105.61,111.50,17703,19161.95,4.00%
2023-10-13,103.91,108.70,4.13,3.95%,103.00,109.77,18309,19676.79,4.13%
2023-10-12,102.65,104.57,2.33,2.28%,102.01,105.51,12887,13369.00,2.91%
2023-10-11,103.02,102.24,0.79,0.78%,100.00,103.29,10896,11124.77,2.46%
2023-10-10,98.48,101.45,2.10,2.11%,98.41,103.88,16438,16618.67,3.71%
2023-10-09,96.17,99.35,3.15,3.27%,95.23,101.69,12557,12452.41,2.83%
2023-09-28,97.66,96.20,-1.48,-1.52%,93.08,98.92,11854,11366.97,2.68%
2023-09-27,96.18,97.68,0.68,0.70%,95.50,99.68,8143,7973.42,1.84%
2023-09-26,100.60,97.00,-3.66,-3.64%,96.66,101.00,11994,11792.84,2.71%
2023-09-25,103.33,100.66,-2.67,-2.58%,100.00,103.90,11130,11254.71,2.51%
2023-09-22,101.55,103.33,1.30,1.27%,98.62,104.44,17117,17382.86,3.86%
2023-09-21,101.60,102.03,-0.30,-0.29%,99.50,103.60,13668,13847.59,3.08%
2023-09-20,103.85,102.33,-2.17,-2.08%,102.00,106.41,19947,20681.22,4.50%
2023-09-19,98.19,104.50,6.48,6.61%,96.55,108.50,25957,26843.05,5.86%
2023-09-18,100.90,98.02,-3.47,-3.42%,97.70,100.90,12227,12100.13,2.76%
2023-09-15,96.75,101.49,4.99,5.17%,94.01,103.43,20859,20800.30,4.71%
