标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
南二环太白立交  凯旋城 2室精装,凯旋城 ,黄雁村,132,"14,115",2室2厅,93.52平米,东 南,精装,低,30,板塔结合
满三满二，配套齐全，生活便利，交通便利。,更新小区 ,城东,42,"6,289",2室2厅,66.79平米,南 北,其他,高,7,板楼
高山流水星币传说大三室采光好院子里没噪音,高山流水星币传说 ,城东,251,"19,722",3室2厅,127.27平米,南 北 西,其他,高,32,板塔结合
信义巷4号 1室1厅 南,信义巷4号 ,城内,66,"16,285",1室1厅,40.53平米,南,其他,低,6,暂无数据
业主诚心出售，户型方正，南北通透，地铁口,含光路邮电住宅小区 ,黄雁村,55,"8,319",3室1厅,66.12平米,南 北,简装,5,5,暂无数据
户型方正，南北通透，公摊少。经济实惠。,索罗巷95号院 ,城东,51,"7,159",3室1厅,71.24平米,南 北,其他,中,7,板楼
中间楼层  主城区  生活便利  满三满二,柿园新村 ,城东,46,"7,077",2室2厅,65平米,东,简装,中,7,塔楼
永宁门 skp旁边 一楼带院子  两室  南北通透  双气,仁义村甲子9号 ,南稍门,73,"11,569",2室1厅,63.1平米,南 北,其他,低,6,板楼
长乐公园地铁口银行家属院 南北通透 低楼层  交通便利,工行家属院(城东) ,城东,68,"8,858",2室1厅,76.77平米,南 北,毛坯,低,6,板楼
地铁口 双公园，配套成熟，业主诚心出售,高山流水星币传说 ,城东,82,"15,222",1室0厅,53.87平米,北,精装,低,32,板塔结合
南二环内 供电局单位房 南北户型有暖气 两室 可按揭,文艺南路6号院 ,南稍门,61,"9,362",2室1厅,65.16平米,南 北,其他,低,6,板楼
2T4户 南北户型 中间楼层 诚心出售,金茂晓苑 ,城东,138,"14,320",2室1厅,96.37平米,南 北,简装,中,28,板塔结合
4号线科技大学地铁口 配套成熟 低楼层 生活便利,西安市食品药品检验所家属院 ,李家村,57,"9,995",2室1厅,57.03平米,南,毛坯,低,5,板塔结合
双公园，标准一室一厅    三号线地铁口,仁厚庄园 ,城东,66,"11,865",1室1厅,55.63平米,西,简装,高,33,塔楼
紧缺小户型 市政双气供暖 出行便利生活方便,玫瑰坊 ,城东,75,"13,074",1室1厅,57.37平米,北,简装,高,24,塔楼
南稍门品质荣城小区 精装2室 东南全明格局 自住房,荣城 ,南稍门,130,"14,244",2室2厅,91.27平米,东南,简装,低,27,板塔结合
地铁口 出行方便，商圈成熟，配套齐全,珠江时代广场 ,南稍门,50,"9,866",1室0厅,50.68平米,南,其他,中,15,塔楼
省体育场地铁口150米 家属院 市政双气采光好,长安北路37号 ,南稍门,61,"8,996",2室1厅,67.81平米,南,简装,高,6,暂无数据
4号线   5号线  新旅城李家村,新旅城 ,李家村,116,"15,099",2室1厅,76.83平米,东北,其他,低,33,板塔结合
含光路，长安壹品，南北通透，两梯四户，满三满二，,长安壹品 ,黄雁村,129,"14,903",2室2厅,86.56平米,南 北,精装,高,32,板塔结合
钟楼 盐店街 广济街地铁口 三室急售,盐店街36号院 ,城内,75,"7,914",3室1厅,94.78平米,南 北,其他,高,7,暂无数据
精装 直接入住 中间楼层 配套齐全 产权清晰 采光很好,阳光家园 ,城东,69,"8,324",2室1厅,82.9平米,东 西,精装,中,7,板楼
地铁二号线五号线交通便   长安壹栋 一室一厅 双气,长安壹栋 ,南稍门,63,"11,750",1室1厅,53.62平米,西,其他,3,33,塔楼
兴庆宫两室一厅精装朝南双气有证看房方便,兴庆宫 ,城东,119,"15,179",2室1厅,78.4平米,南,精装,中,33,板塔结合
东二环互助路立交  双公园  双地铁 出行方便交通便利,高山流水星币传说 ,城东,142,"16,332",2室2厅,86.95平米,西南,其他,低,32,板塔结合
文艺路十字 南稍门 朝南大三室 户型方正,西安卫生学校家属院 ,南稍门,140,"10,901",3室2厅,128.44平米,南 北,其他,低,6,板楼
大差市地铁口，小三室，户型方正，好房出售,社学巷税务局家属院 ,城内,63,"7,713",3室1厅,81.69平米,南 北,其他,高,6,暂无数据
文艺路十字 地铁口旁 两居室出售 可按揭！,金地园 ,南稍门,69,"10,238",2室1厅,67.4平米,北,简装,高,18,板塔结合
东门外   兴庆公园    湖景房     精装两室,兴庆宫 ,城东,85,"12,379",2室2厅,68.67平米,西,精装,高,30,板塔结合
西京医院  八仙宫   兴庆公园,长乐大厦小区 ,城东,105,"11,078",2室1厅,94.79平米,西北,简装,高,34,塔楼
体育场地铁口 荣城 两室采光无遮挡 首付21万 随时看,荣城 ,南稍门,135,"14,936",2室2厅,90.39平米,西南,精装,中,27,板塔结合
交通便利   地里位置较好  诚心出售  证在手,帝标大厦 ,城东,98,"5,828",3室1厅,168.17平米,北,简装,低,29,板塔结合
三zhong旁 中间楼层 南北通透 业主诚心出售,窦府巷小区北院 ,城东,118,"10,069",3室2厅,117.2平米,南 北,简装,中,7,板楼
业主诚心出售 自住房 看房方便  2018年次新房,御溪书院 ,城西,96.5,"11,860",2室2厅,81.37平米,南 西,简装,中,31,塔楼
