日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,3.11,3.31,0.28,9.24%,3.03,3.32,1220325,39156.35,7.64%
2024-09-27,2.94,3.03,0.11,3.77%,2.92,3.10,997023,29919.40,6.24%
2024-09-26,2.85,2.92,0.05,1.74%,2.82,2.93,795939,23090.30,4.99%
2024-09-25,2.90,2.87,-0.03,-1.03%,2.83,2.97,1026790,29782.44,6.43%
2024-09-24,2.97,2.90,0.02,0.69%,2.79,2.97,1318475,37882.04,8.26%
2024-09-23,2.69,2.88,0.26,9.92%,2.61,2.88,737402,20406.50,4.62%
2024-09-20,2.59,2.62,0.02,0.77%,2.56,2.72,645678,17044.01,4.04%
2024-09-19,2.57,2.60,0.02,0.78%,2.50,2.68,699043,18073.96,4.38%
2024-09-18,2.46,2.58,0.12,4.88%,2.45,2.64,585330,14934.17,3.67%
2024-09-13,2.50,2.46,-0.05,-1.99%,2.45,2.60,436966,10997.15,2.74%
2024-09-12,2.47,2.51,0.04,1.62%,2.47,2.54,343821,8600.80,2.15%
2024-09-11,2.50,2.47,-0.07,-2.76%,2.43,2.51,314649,7744.28,1.97%
2024-09-10,2.49,2.54,0.05,2.01%,2.44,2.56,529240,13301.79,3.31%
2024-09-09,2.50,2.49,-0.01,-0.40%,2.42,2.50,317098,7826.03,1.99%
2024-09-06,2.59,2.50,-0.10,-3.85%,2.47,2.61,497374,12484.07,3.12%
2024-09-05,2.56,2.60,0.01,0.39%,2.54,2.69,554432,14449.12,3.47%
2024-09-04,2.69,2.59,-0.10,-3.72%,2.57,2.70,582200,15227.86,3.65%
2024-09-03,2.58,2.69,0.05,1.89%,2.54,2.85,806439,21893.23,5.05%
2024-09-02,2.77,2.64,-0.13,-4.69%,2.62,2.83,746141,20159.32,4.67%
2024-08-30,2.71,2.77,0.07,2.59%,2.65,2.86,982189,27330.60,6.15%
2024-08-29,2.76,2.70,-0.18,-6.25%,2.68,2.85,990679,27141.57,6.20%
2024-08-28,3.00,2.88,-0.07,-2.37%,2.78,3.05,1136796,32934.91,7.12%
2024-08-27,2.89,2.95,-0.09,-2.96%,2.78,3.18,1458145,42874.08,9.13%
2024-08-26,2.94,3.04,0.17,5.92%,2.87,3.16,2056318,62156.22,12.88%
2024-08-23,2.63,2.87,0.26,9.96%,2.60,2.87,1069098,29470.87,6.70%
2024-08-22,2.79,2.61,-0.29,-10.00%,2.61,2.83,1151522,31170.55,7.21%
2024-08-21,2.76,2.90,0.20,7.41%,2.70,2.92,1517138,42962.00,9.50%
2024-08-20,2.59,2.70,0.04,1.50%,2.52,2.89,1434138,38431.51,8.98%
2024-08-19,2.42,2.66,0.24,9.92%,2.42,2.66,1100194,28118.66,6.89%
2024-08-16,2.51,2.42,-0.07,-2.81%,2.39,2.55,974695,24008.07,6.10%
2024-08-15,2.26,2.49,0.23,10.18%,2.24,2.49,658418,15783.39,4.12%
2024-08-14,2.27,2.26,-0.01,-0.44%,2.25,2.31,317102,7212.33,1.99%
2024-08-13,2.24,2.27,0.04,1.79%,2.20,2.30,392877,8854.93,2.46%
2024-08-12,2.26,2.23,-0.05,-2.19%,2.21,2.30,481994,10791.18,3.02%
2024-08-09,2.34,2.28,-0.09,-3.80%,2.27,2.38,624386,14475.55,3.91%
2024-08-08,2.35,2.37,-0.02,-0.84%,2.34,2.46,926305,22077.30,5.80%
2024-08-07,2.50,2.39,-0.27,-10.15%,2.39,2.53,981011,23722.62,6.14%
2024-08-06,2.77,2.66,-0.29,-9.83%,2.66,2.88,1004728,27207.49,6.29%
2024-08-05,3.37,2.95,-0.11,-3.59%,2.87,3.37,2114670,66499.24,13.24%
2024-08-02,3.06,3.06,0.28,10.07%,3.06,3.06,188762,5776.13,1.18%
2024-08-01,2.78,2.78,0.25,9.88%,2.60,2.78,361850,10012.57,2.27%
2024-07-31,2.32,2.53,0.23,10.00%,2.32,2.53,250723,6171.95,1.57%
2024-07-30,2.29,2.30,0.02,0.88%,2.26,2.41,865347,20073.44,5.42%
2024-07-29,2.09,2.28,0.21,10.14%,2.05,2.28,545395,11990.39,3.42%
2024-07-26,2.03,2.07,0.06,2.99%,2.02,2.10,189191,3915.44,1.18%
2024-07-25,2.00,2.01,-0.01,-0.50%,1.96,2.03,135749,2714.55,0.85%
2024-07-24,2.06,2.02,-0.05,-2.42%,2.01,2.09,163515,3337.99,1.02%
2024-07-23,2.10,2.07,-0.03,-1.43%,2.07,2.15,190794,4024.46,1.20%
2024-07-22,2.09,2.10,0.00,0.00%,2.05,2.12,207286,4326.15,1.30%
2024-07-19,2.10,2.10,-0.04,-1.87%,2.03,2.11,348022,7218.40,2.18%
2024-07-18,2.10,2.14,0.02,0.94%,2.05,2.26,416380,8965.75,2.61%
2024-07-17,2.15,2.12,-0.03,-1.40%,2.09,2.17,214309,4546.46,1.34%
2024-07-16,2.09,2.15,0.08,3.86%,2.06,2.18,235769,5052.52,1.48%
2024-07-15,2.11,2.07,-0.03,-1.43%,2.05,2.14,242966,5059.43,1.52%
2024-07-12,2.06,2.10,0.06,2.94%,2.04,2.14,284207,5966.56,1.78%
2024-07-11,1.97,2.04,0.11,5.70%,1.96,2.06,282550,5696.03,1.77%
2024-07-10,1.98,1.93,-0.05,-2.53%,1.87,1.98,337668,6499.08,2.11%
2024-07-09,1.95,1.98,-0.07,-3.41%,1.88,2.02,447447,8715.28,2.80%
2024-07-08,2.13,2.05,-0.09,-4.21%,2.04,2.13,160345,3314.93,1.00%
2024-07-05,2.10,2.14,0.04,1.90%,2.07,2.15,129629,2744.84,0.81%
2024-07-04,2.19,2.10,-0.08,-3.67%,2.09,2.20,152601,3235.90,0.96%
2024-07-03,2.16,2.18,0.02,0.93%,2.14,2.23,160024,3504.79,1.00%
2024-07-02,2.13,2.16,0.02,0.93%,2.11,2.22,154298,3346.42,0.97%
2024-07-01,2.11,2.14,0.01,0.47%,2.09,2.15,127702,2704.11,0.80%
2024-06-28,2.14,2.13,-0.01,-0.47%,2.12,2.21,169044,3674.97,1.06%
2024-06-27,2.22,2.14,-0.08,-3.60%,2.14,2.24,138377,3011.26,0.87%
2024-06-26,2.09,2.22,0.13,6.22%,2.04,2.22,226156,4840.91,1.42%
2024-06-25,2.10,2.09,-0.01,-0.48%,2.05,2.13,154100,3212.28,0.97%
2024-06-24,2.21,2.10,-0.12,-5.41%,2.06,2.22,289703,6130.59,1.81%
2024-06-21,2.28,2.22,-0.07,-3.06%,2.20,2.31,216334,4847.43,1.35%
2024-06-20,2.39,2.29,-0.09,-3.78%,2.28,2.39,163792,3792.04,1.03%
2024-06-19,2.43,2.38,-0.05,-2.06%,2.37,2.44,96551,2310.23,0.60%
2024-06-18,2.38,2.43,0.04,1.67%,2.37,2.44,106319,2571.42,0.67%
2024-06-17,2.42,2.39,-0.04,-1.65%,2.36,2.43,100959,2418.09,0.63%
2024-06-14,2.42,2.43,0.01,0.41%,2.38,2.44,108241,2608.62,0.68%
2024-06-13,2.48,2.42,-0.05,-2.02%,2.40,2.50,110241,2688.68,0.69%
2024-06-12,2.45,2.47,0.02,0.82%,2.44,2.51,111404,2760.70,0.70%
2024-06-11,2.41,2.45,0.04,1.66%,2.34,2.46,153952,3708.26,0.96%
2024-06-07,2.36,2.41,0.06,2.55%,2.34,2.44,184773,4417.85,1.16%
2024-06-06,2.48,2.35,-0.14,-5.62%,2.32,2.53,298213,7131.22,1.87%
