日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,15.70,16.53,1.48,9.83%,15.40,16.55,1063005,170892.11,6.81%
2024-09-27,14.35,15.05,0.92,6.51%,14.27,15.12,741447,109059.45,4.75%
2024-09-26,13.60,14.13,0.51,3.74%,13.56,14.14,473736,65785.67,3.04%
2024-09-25,13.73,13.62,-0.04,-0.29%,13.60,14.07,522700,72287.12,3.35%
2024-09-24,13.22,13.66,0.50,3.80%,13.09,13.66,460118,61853.66,2.95%
2024-09-23,13.20,13.16,-0.02,-0.15%,13.07,13.41,251219,33291.55,1.61%
2024-09-20,13.13,13.18,0.06,0.46%,13.01,13.25,217304,28579.72,1.39%
2024-09-19,12.98,13.12,0.17,1.31%,12.85,13.28,264397,34624.57,1.69%
2024-09-18,12.86,12.95,0.07,0.54%,12.69,13.02,163087,20980.89,1.05%
2024-09-13,13.05,12.88,-0.22,-1.68%,12.87,13.17,175393,22828.15,1.12%
2024-09-12,13.30,13.10,-0.11,-0.83%,13.06,13.36,175269,23177.14,1.12%
2024-09-11,13.28,13.21,-0.16,-1.20%,13.10,13.37,174676,23087.50,1.12%
2024-09-10,13.10,13.37,0.27,2.06%,12.93,13.45,283554,37472.68,1.82%
2024-09-09,13.03,13.10,-0.05,-0.38%,13.00,13.37,203046,26777.30,1.30%
2024-09-06,13.51,13.15,-0.35,-2.59%,13.12,13.51,241156,32077.24,1.55%
2024-09-05,13.58,13.50,-0.03,-0.22%,13.36,13.65,228155,30801.69,1.46%
2024-09-04,13.64,13.53,-0.28,-2.03%,13.41,13.71,287137,38901.60,1.84%
2024-09-03,13.46,13.81,0.12,0.88%,13.45,13.84,437768,59983.47,2.81%
2024-09-02,13.99,13.69,-0.04,-0.29%,13.69,14.02,816788,113073.74,5.23%
2024-08-30,12.78,13.73,1.25,10.02%,12.70,13.73,465356,62769.80,2.98%
2024-08-29,12.18,12.48,0.21,1.71%,12.13,12.58,169350,20994.50,1.09%
2024-08-28,12.30,12.27,-0.05,-0.41%,12.20,12.40,123921,15211.16,0.79%
2024-08-27,12.70,12.32,-0.47,-3.67%,12.30,12.70,188335,23424.65,1.21%
2024-08-26,12.84,12.79,-0.02,-0.16%,12.72,12.90,139235,17831.32,0.89%
2024-08-23,12.62,12.81,0.06,0.47%,12.59,12.89,156760,19993.73,1.00%
2024-08-22,13.06,12.75,-0.33,-2.52%,12.68,13.11,242358,31136.13,1.55%
2024-08-21,12.99,13.08,0.00,0.00%,12.97,13.28,179089,23553.87,1.15%
2024-08-20,13.37,13.08,-0.37,-2.75%,13.03,13.43,228723,30146.57,1.47%
