日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,18.70,19.65,1.79,10.02%,18.70,19.65,296050,57118.81,4.37%
2024-09-27,17.00,17.86,1.44,8.77%,16.80,17.99,207171,36069.92,3.06%
2024-09-26,15.65,16.42,0.85,5.46%,15.50,16.45,129953,20783.07,1.92%
2024-09-25,15.75,15.57,0.09,0.58%,15.52,16.12,132725,20994.13,1.96%
2024-09-24,15.05,15.48,0.54,3.61%,14.73,15.48,128456,19522.21,1.90%
2024-09-23,14.90,14.94,0.06,0.40%,14.80,15.30,107460,16191.39,1.59%
2024-09-20,14.65,14.88,0.21,1.43%,14.43,14.89,90701,13313.94,1.34%
2024-09-19,14.20,14.67,0.49,3.46%,14.05,14.80,85409,12395.89,1.26%
2024-09-18,14.15,14.18,0.03,0.21%,13.80,14.22,67231,9435.40,0.99%
2024-09-13,14.41,14.15,-0.25,-1.74%,14.10,14.49,53336,7604.85,0.79%
2024-09-12,14.50,14.40,-0.03,-0.21%,14.36,14.76,54866,7959.49,0.81%
2024-09-11,14.47,14.43,-0.04,-0.28%,14.29,14.57,52827,7636.52,0.78%
2024-09-10,14.44,14.47,0.08,0.56%,14.00,14.60,85178,12168.39,1.26%
2024-09-09,14.35,14.39,-0.02,-0.14%,14.26,14.67,76928,11107.54,1.14%
2024-09-06,14.99,14.41,-0.56,-3.74%,14.33,15.02,93257,13611.72,1.38%
2024-09-05,14.98,14.97,-0.01,-0.07%,14.92,15.28,62560,9422.57,0.92%
2024-09-04,14.94,14.98,-0.17,-1.12%,14.78,15.23,68495,10263.98,1.01%
2024-09-03,14.86,15.15,0.26,1.75%,14.70,15.43,90645,13729.13,1.34%
2024-09-02,15.65,14.89,-0.85,-5.40%,14.89,15.74,134547,20336.60,1.99%
2024-08-30,15.48,15.74,0.33,2.14%,15.12,16.07,138182,21716.44,2.04%
2024-08-29,16.08,15.41,-0.49,-3.08%,15.40,16.15,150059,23417.73,2.22%
2024-08-28,15.17,15.90,0.72,4.74%,15.06,16.36,183341,29057.70,2.71%
2024-08-27,15.51,15.18,-0.33,-2.13%,15.10,15.58,75922,11571.43,1.12%
2024-08-26,15.68,15.51,-0.12,-0.77%,15.40,15.78,64072,9959.87,0.95%
2024-08-23,15.60,15.63,0.03,0.19%,15.50,15.82,60684,9500.62,0.90%
2024-08-22,16.05,15.60,-0.44,-2.74%,15.56,16.05,78329,12340.88,1.16%
2024-08-21,16.03,16.04,-0.08,-0.50%,15.99,16.33,69061,11139.21,1.02%
2024-08-20,16.57,16.12,-0.43,-2.60%,16.03,16.60,87897,14247.65,1.30%
2024-08-19,16.68,16.55,-0.15,-0.90%,16.37,16.87,95528,15863.92,1.41%
2024-08-16,16.80,16.70,0.06,0.36%,16.36,16.92,151576,25180.51,2.24%
2024-08-15,15.73,16.64,1.02,6.53%,15.64,16.88,217674,35728.89,3.21%
2024-08-14,16.80,15.62,-1.08,-6.47%,15.44,16.82,229572,36522.17,3.39%
2024-08-13,16.92,16.70,-0.22,-1.30%,16.54,17.06,118617,19865.08,1.75%
2024-08-12,17.47,16.92,-0.56,-3.20%,16.79,17.50,118305,20256.85,1.75%
2024-08-09,17.77,17.48,-0.19,-1.08%,17.48,17.91,63069,11130.13,0.93%
2024-08-08,17.81,17.67,-0.26,-1.45%,17.32,17.99,86380,15236.35,1.28%
2024-08-07,17.86,17.93,0.05,0.28%,17.76,18.29,102986,18605.38,1.52%
2024-08-06,18.83,17.88,-0.47,-2.56%,17.41,18.94,163955,29671.29,2.42%
2024-08-05,19.40,18.35,-1.08,-5.56%,18.35,19.75,113585,21438.72,1.68%
2024-08-02,20.10,19.43,-0.76,-3.76%,19.40,20.22,74761,14828.90,1.10%
2024-08-01,20.20,20.19,0.13,0.65%,20.00,21.10,107856,22038.34,1.59%
2024-07-31,19.13,20.06,1.00,5.25%,18.91,20.08,104263,20451.41,1.54%
2024-07-30,19.36,19.06,-0.30,-1.55%,18.99,19.51,54094,10369.99,0.80%
2024-07-29,19.78,19.36,-0.26,-1.33%,19.34,19.78,39173,7614.63,0.58%
2024-07-26,19.40,19.62,0.21,1.08%,19.38,19.98,48378,9509.92,0.71%
2024-07-25,19.50,19.41,-0.18,-0.92%,19.27,19.80,50133,9793.77,0.74%
2024-07-24,20.33,19.59,-0.71,-3.50%,19.58,20.42,61625,12284.22,0.91%
2024-07-23,21.28,20.30,-0.91,-4.29%,20.27,21.28,52917,10968.91,0.78%
2024-07-22,21.37,21.21,-0.18,-0.84%,21.12,21.66,37115,7922.80,0.55%
2024-07-19,20.80,21.39,0.38,1.81%,20.80,21.56,51134,10877.37,0.75%
2024-07-18,21.23,21.01,-0.32,-1.50%,20.64,21.26,59654,12471.89,0.88%
2024-07-17,21.46,21.33,-0.27,-1.25%,21.31,21.66,44880,9638.08,0.66%
2024-07-16,21.51,21.60,-0.10,-0.46%,21.13,21.74,47217,10138.33,0.70%
2024-07-15,22.15,21.70,-0.52,-2.34%,21.60,22.31,46881,10261.21,0.69%
2024-07-12,21.23,22.22,0.92,4.32%,21.17,22.33,88800,19422.26,1.31%
2024-07-11,21.46,21.30,0.30,1.43%,21.27,21.77,71068,15292.04,1.05%
2024-07-10,20.80,21.00,0.06,0.29%,20.75,21.20,62094,13064.84,0.92%
2024-07-09,20.75,20.94,0.13,0.62%,20.14,21.08,100161,20749.77,1.48%
2024-07-08,21.79,20.81,-1.14,-5.19%,20.71,21.80,73953,15609.08,1.09%
2024-07-05,21.81,21.95,-0.01,-0.05%,21.60,22.04,36316,7917.00,0.54%
2024-07-04,22.68,21.96,-0.72,-3.17%,21.91,22.73,43466,9672.86,0.64%
2024-07-03,22.44,22.68,0.03,0.13%,22.44,22.93,59751,13539.18,0.88%
2024-07-02,22.33,22.65,0.27,1.21%,22.18,22.80,67161,15156.98,0.99%
2024-07-01,22.08,22.38,0.30,1.36%,21.50,22.59,75914,16788.43,1.12%
2024-06-28,22.10,22.08,0.01,0.05%,21.91,22.55,56042,12484.11,0.83%
2024-06-27,22.56,22.07,-0.68,-2.99%,21.95,22.77,53219,11851.33,0.79%
2024-06-26,22.33,22.75,0.33,1.47%,22.10,22.97,54328,12248.39,0.80%
2024-06-25,22.67,22.42,-0.36,-1.58%,22.13,23.02,50094,11275.65,0.74%
2024-06-24,23.59,22.78,-0.90,-3.80%,22.77,23.59,56030,12946.63,0.83%
2024-06-21,23.07,23.68,0.45,1.94%,22.86,23.89,64065,15075.59,0.95%
2024-06-20,23.50,23.23,-0.27,-1.15%,23.23,23.73,58874,13828.01,0.87%
2024-06-19,24.25,23.50,-0.60,-2.49%,23.45,24.35,69073,16392.59,1.02%
2024-06-18,24.08,24.10,0.07,0.29%,23.86,24.27,64863,15601.54,0.96%
