日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,60.00,62.37,5.67,10.00%,58.20,62.37,540619,328960.88,6.36%
2024-09-27,55.00,56.70,3.31,6.20%,54.49,58.00,419296,234268.28,4.94%
2024-09-26,48.49,53.39,4.85,9.99%,48.36,53.39,358388,183676.17,4.22%
2024-09-25,48.02,48.54,0.90,1.89%,48.02,49.79,173852,85254.71,2.05%
2024-09-24,46.30,47.64,1.77,3.86%,45.80,47.66,124032,58146.91,1.46%
2024-09-23,45.92,45.87,-0.19,-0.41%,45.73,46.60,45486,20952.56,0.54%
2024-09-20,46.20,46.06,-0.13,-0.28%,45.68,46.38,56002,25735.73,0.66%
2024-09-19,45.85,46.19,1.00,2.21%,45.24,46.68,73261,33748.47,0.86%
2024-09-18,45.30,45.19,0.15,0.33%,44.50,45.48,43969,19756.18,0.52%
2024-09-13,45.68,45.04,-0.64,-1.40%,44.96,45.86,49053,22258.14,0.58%
2024-09-12,46.82,45.68,-0.70,-1.51%,45.59,47.20,56168,26073.52,0.66%
2024-09-11,46.58,46.38,-0.28,-0.60%,46.24,46.75,33112,15385.12,0.39%
2024-09-10,46.30,46.66,0.40,0.86%,45.58,46.86,49121,22694.11,0.58%
2024-09-09,46.15,46.26,-0.20,-0.43%,45.92,46.86,45350,21001.96,0.53%
2024-09-06,47.83,46.46,-1.36,-2.84%,46.46,47.96,66266,31155.76,0.78%
2024-09-05,47.28,47.82,0.61,1.29%,47.21,48.05,56144,26838.54,0.66%
2024-09-04,46.80,47.21,0.16,0.34%,46.51,47.50,66581,31413.43,0.78%
2024-09-03,46.34,47.05,0.68,1.47%,46.08,47.25,60189,28209.01,0.71%
2024-09-02,47.30,46.37,-1.23,-2.58%,46.35,47.73,80783,37981.58,0.95%
2024-08-30,46.15,47.60,1.52,3.30%,46.14,48.08,132094,62455.99,1.56%
2024-08-29,45.41,46.08,0.36,0.79%,45.41,46.46,65476,30197.97,0.77%
2024-08-28,45.30,45.72,0.13,0.29%,44.92,45.86,56153,25509.87,0.66%
2024-08-27,46.22,45.59,-0.67,-1.45%,45.30,46.25,58042,26469.69,0.68%
2024-08-26,45.86,46.26,0.40,0.87%,45.84,46.81,68402,31696.48,0.81%
2024-08-23,44.11,45.86,0.63,1.39%,43.81,45.96,98289,44420.24,1.16%
2024-08-22,46.26,45.23,-1.03,-2.23%,45.21,46.50,90951,41450.07,1.07%
2024-08-21,46.54,46.26,-0.69,-1.47%,46.20,47.05,75685,35257.87,0.89%
2024-08-20,48.59,46.95,-1.67,-3.43%,46.90,48.72,122648,57993.26,1.44%
2024-08-19,49.48,48.62,-0.86,-1.74%,48.56,49.90,89525,43963.07,1.05%
2024-08-16,50.02,49.48,-0.35,-0.70%,49.44,50.08,58739,29177.29,0.69%
2024-08-15,49.50,49.83,0.31,0.63%,49.31,50.30,69844,34853.19,0.82%
2024-08-14,50.22,49.52,-0.68,-1.35%,49.50,50.38,49439,24633.51,0.58%
2024-08-13,49.78,50.20,0.43,0.86%,49.58,50.22,61379,30642.33,0.72%
2024-08-12,49.76,49.77,-0.14,-0.28%,49.30,49.98,50906,25297.32,0.60%
2024-08-09,50.90,49.91,-0.37,-0.74%,49.91,51.10,86867,43811.08,1.02%
2024-08-08,50.50,50.28,-0.38,-0.75%,49.80,51.10,91995,46316.03,1.08%
2024-08-07,50.90,50.66,-0.30,-0.59%,50.59,51.56,84232,43041.39,0.99%
2024-08-06,50.57,50.96,1.07,2.14%,50.00,50.99,116946,59138.59,1.38%
2024-08-05,51.51,49.89,-2.40,-4.59%,49.89,52.52,193973,98823.96,2.28%
2024-08-02,53.19,52.29,-1.74,-3.22%,52.06,53.85,146343,77512.02,1.72%
2024-08-01,54.05,54.03,0.11,0.20%,53.40,54.79,170511,92313.22,2.01%
2024-07-31,52.13,53.92,1.46,2.78%,51.90,54.05,162729,86966.79,1.92%
2024-07-30,51.62,52.46,0.61,1.18%,50.83,52.48,111195,57511.29,1.31%
2024-07-29,52.90,51.85,-1.14,-2.15%,51.84,53.26,102617,53920.15,1.21%
2024-07-26,52.15,52.99,0.84,1.61%,51.85,53.38,134175,70634.23,1.58%
2024-07-25,51.81,52.15,-0.19,-0.36%,51.62,52.78,113130,59090.21,1.33%
2024-07-24,52.69,52.34,-0.45,-0.85%,52.20,53.72,146506,77617.24,1.72%
2024-07-23,54.80,52.79,-2.26,-4.11%,52.73,55.35,175139,94356.59,2.06%
2024-07-22,54.69,55.05,0.96,1.77%,54.15,56.16,262382,144813.16,3.09%
2024-07-19,51.76,54.09,2.08,4.00%,51.61,54.90,281240,151373.83,3.31%
2024-07-18,51.48,52.01,-0.21,-0.40%,50.42,52.20,161069,82637.34,1.90%
2024-07-17,52.64,52.22,-0.83,-1.56%,52.22,53.55,144732,76492.58,1.70%
2024-07-16,51.10,53.05,1.84,3.59%,50.78,53.43,211412,110910.04,2.49%
2024-07-15,51.53,51.21,-0.46,-0.89%,51.08,52.15,81248,41907.04,0.96%
2024-07-12,51.50,51.67,-0.15,-0.29%,51.21,51.99,95003,49006.47,1.12%
2024-07-11,52.01,51.82,0.91,1.79%,51.25,52.26,137664,71290.05,1.62%
2024-07-10,50.90,50.91,-0.27,-0.53%,50.70,51.45,114069,58302.89,1.34%
2024-07-09,48.50,51.18,2.42,4.96%,48.39,51.46,217372,109335.23,2.56%
2024-07-08,49.65,48.76,-0.97,-1.95%,48.54,50.28,104125,51536.45,1.23%
2024-07-05,49.49,49.73,0.11,0.22%,48.53,49.92,113314,55749.20,1.33%
2024-07-04,50.95,49.62,-1.33,-2.61%,49.52,51.15,125549,63024.47,1.48%
2024-07-03,51.70,50.95,-0.81,-1.56%,50.26,51.99,140140,71439.66,1.65%
2024-07-02,52.47,51.76,-0.82,-1.56%,51.52,52.80,109010,56881.39,1.28%
2024-07-01,52.65,52.58,-0.02,-0.04%,51.57,52.82,109099,56965.77,1.28%
2024-06-28,51.45,52.60,0.93,1.80%,51.33,54.10,184327,97806.39,2.17%
2024-06-27,52.45,51.67,-1.32,-2.49%,51.67,52.98,114655,59901.88,1.35%
2024-06-26,51.60,52.99,1.39,2.69%,51.03,53.37,155677,81194.66,1.83%
2024-06-25,54.04,51.60,-2.44,-4.52%,51.10,54.30,230467,120846.45,2.71%
2024-06-24,56.02,54.04,-2.59,-4.57%,53.95,56.80,185608,102774.86,2.18%
2024-06-21,57.84,57.30,-1.30,-2.22%,56.56,58.11,194511,111215.34,2.29%
2024-06-20,58.41,58.60,-0.10,-0.17%,58.23,59.98,239836,141712.89,2.82%
2024-06-19,59.39,58.70,-0.42,-0.71%,58.12,59.39,170306,99849.01,2.00%
2024-06-18,59.00,59.12,0.11,0.19%,58.67,59.99,221814,131181.09,2.61%
2024-06-17,57.70,59.01,1.06,1.83%,57.50,59.50,225827,132727.09,2.66%
2024-06-14,58.10,57.95,-0.58,-0.99%,57.15,58.14,193073,111294.27,2.27%
2024-06-13,58.58,58.53,0.16,0.27%,58.37,59.35,261145,153672.39,3.07%
2024-06-12,58.45,58.37,-0.64,-1.08%,58.20,59.10,241721,141573.20,2.85%
2024-06-11,55.38,59.01,3.24,5.81%,55.10,59.50,374117,218343.55,4.40%
2024-06-07,57.12,55.77,-1.16,-2.04%,55.40,57.73,202788,114414.78,2.39%
2024-06-06,58.32,56.93,-0.93,-1.61%,56.78,58.59,266601,153450.95,3.14%
