日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,11.85,12.59,1.14,9.96%,11.56,12.60,374290,45727.99,9.97%
2024-09-27,11.11,11.45,0.50,4.57%,11.01,11.60,223962,25288.56,5.97%
2024-09-26,10.57,10.95,0.32,3.01%,10.54,10.96,131907,14261.14,3.51%
2024-09-25,10.68,10.63,0.00,0.00%,10.60,10.90,134118,14434.46,3.57%
2024-09-24,10.33,10.63,0.29,2.80%,10.31,10.63,92965,9764.29,2.48%
2024-09-23,10.37,10.34,-0.03,-0.29%,10.29,10.45,47119,4889.27,1.26%
2024-09-20,10.33,10.37,0.02,0.19%,10.28,10.39,41288,4267.82,1.10%
2024-09-19,10.19,10.35,0.21,2.07%,10.16,10.39,57368,5911.48,1.53%
2024-09-18,10.23,10.14,0.00,0.00%,9.96,10.24,46434,4683.11,1.24%
2024-09-13,10.36,10.14,-0.19,-1.84%,10.12,10.40,52943,5418.29,1.41%
2024-09-12,10.46,10.33,-0.11,-1.05%,10.32,10.53,42008,4378.30,1.12%
2024-09-11,10.50,10.44,-0.14,-1.32%,10.40,10.54,32975,3445.76,0.88%
2024-09-10,10.43,10.58,0.12,1.15%,10.29,10.60,53102,5549.36,1.41%
2024-09-09,10.42,10.46,-0.11,-1.04%,10.41,10.61,44965,4714.98,1.20%
2024-09-06,10.78,10.57,-0.21,-1.95%,10.49,10.82,84506,8971.36,2.25%
2024-09-05,10.62,10.78,0.09,0.84%,10.62,10.92,66710,7197.73,1.78%
2024-09-04,10.58,10.69,0.01,0.09%,10.52,10.81,56204,5993.19,1.50%
2024-09-03,10.53,10.68,0.15,1.42%,10.49,10.75,57053,6078.35,1.52%
2024-09-02,10.84,10.53,-0.31,-2.86%,10.53,10.88,86817,9279.01,2.31%
2024-08-30,10.57,10.84,0.22,2.07%,10.56,10.98,123332,13381.78,3.29%
2024-08-29,10.39,10.62,0.12,1.14%,10.39,10.69,78140,8277.41,2.08%
2024-08-28,10.22,10.50,0.24,2.34%,10.22,10.71,100353,10464.20,2.67%
2024-08-27,10.51,10.26,-0.32,-3.02%,10.24,10.53,66913,6932.70,1.78%
2024-08-26,10.50,10.58,0.09,0.86%,10.48,10.61,56124,5923.26,1.50%
2024-08-23,10.44,10.49,0.05,0.48%,10.30,10.54,65151,6795.13,1.74%
2024-08-22,10.62,10.44,-0.21,-1.97%,10.40,10.70,106586,11198.47,2.84%
2024-08-21,10.95,10.65,-0.35,-3.18%,10.62,11.09,124417,13517.00,3.32%
2024-08-20,11.31,11.00,-0.21,-1.87%,10.95,11.35,118015,13151.34,3.14%
2024-08-19,11.38,11.21,-0.13,-1.15%,11.19,11.54,129164,14660.06,3.44%
2024-08-16,11.14,11.34,0.19,1.70%,11.10,11.42,139402,15721.04,3.71%
2024-08-15,11.00,11.15,0.08,0.72%,10.95,11.26,97406,10855.12,2.60%
2024-08-14,11.08,11.07,-0.03,-0.27%,11.03,11.29,80325,8925.57,2.14%
2024-08-13,11.00,11.10,0.15,1.37%,10.89,11.10,79561,8760.94,2.12%
2024-08-12,11.00,10.95,-0.14,-1.26%,10.86,11.20,92819,10239.41,2.47%
2024-08-09,11.43,11.09,-0.16,-1.42%,11.09,11.48,106213,12000.13,2.83%
2024-08-08,11.08,11.25,0.05,0.45%,10.98,11.39,129630,14527.38,3.45%
2024-08-07,11.15,11.20,0.05,0.45%,11.04,11.27,93241,10432.79,2.48%
2024-08-06,11.21,11.15,0.11,1.00%,10.95,11.30,121569,13475.55,3.24%
2024-08-05,11.78,11.04,-0.61,-5.24%,11.04,11.79,186686,21162.28,4.97%
2024-08-02,11.69,11.65,-0.29,-2.43%,11.56,11.90,179830,21098.01,4.79%
2024-08-01,11.78,11.94,0.12,1.02%,11.77,12.09,268681,32025.11,7.16%
2024-07-31,11.51,11.82,0.18,1.55%,11.49,11.98,242381,28501.45,6.46%
2024-07-30,11.05,11.64,0.34,3.01%,11.05,11.78,191304,21833.60,5.10%
2024-07-29,11.35,11.30,0.01,0.09%,11.29,11.47,129147,14690.38,3.44%
2024-07-26,11.10,11.29,0.20,1.80%,11.04,11.32,125641,14080.45,3.35%
2024-07-25,11.00,11.09,-0.13,-1.16%,11.00,11.32,126178,14048.94,3.36%
2024-07-24,11.31,11.22,-0.15,-1.32%,11.16,11.55,149880,17057.68,3.99%
2024-07-23,11.78,11.37,-0.48,-4.05%,11.32,11.86,172870,20026.70,4.61%
2024-07-22,11.95,11.85,-0.08,-0.67%,11.76,12.03,194289,23093.74,5.18%
2024-07-19,11.53,11.93,0.30,2.58%,11.49,12.05,321918,38258.81,8.58%
2024-07-18,11.05,11.63,0.27,2.38%,10.80,11.83,273786,30944.55,7.30%
2024-07-17,11.63,11.36,-0.27,-2.32%,11.34,11.89,207099,24140.39,5.52%
2024-07-16,11.38,11.63,0.18,1.57%,11.20,11.71,183992,21203.22,4.90%
2024-07-15,11.90,11.45,-0.51,-4.26%,11.42,12.08,230490,27057.75,6.14%
2024-07-12,11.80,11.96,-0.04,-0.33%,11.71,12.04,261100,30958.75,6.96%
2024-07-11,11.66,12.00,0.55,4.80%,11.48,12.28,379265,44806.95,10.11%
2024-07-10,11.55,11.45,-0.22,-1.89%,11.38,11.63,234902,27046.56,6.26%
2024-07-09,10.95,11.67,0.49,4.38%,10.74,11.67,344014,39180.25,9.17%
