日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,3.86,3.93,0.36,10.08%,3.71,3.93,1533761,58909.34,5.91%
2024-09-27,3.49,3.57,0.18,5.31%,3.45,3.63,1098827,38751.35,4.23%
2024-09-26,3.30,3.39,0.07,2.11%,3.28,3.39,787693,26395.01,3.03%
2024-09-25,3.36,3.32,-0.05,-1.48%,3.32,3.48,963594,32754.69,3.71%
2024-09-24,3.33,3.37,-0.06,-1.75%,3.22,3.38,1175067,38876.36,4.52%
2024-09-23,3.20,3.43,0.19,5.86%,3.16,3.56,1536514,52221.85,5.92%
2024-09-20,3.17,3.24,0.07,2.21%,3.14,3.30,989928,31763.86,3.81%
2024-09-19,3.05,3.17,0.13,4.28%,3.00,3.22,976188,30488.68,3.76%
2024-09-18,3.03,3.04,-0.07,-2.25%,2.97,3.09,832375,25197.59,3.21%
2024-09-13,2.83,3.11,0.28,9.89%,2.80,3.11,882760,26625.80,3.40%
2024-09-12,2.79,2.83,0.03,1.07%,2.79,2.85,138652,3919.96,0.53%
2024-09-11,2.81,2.80,-0.03,-1.06%,2.78,2.83,123940,3475.06,0.48%
2024-09-10,2.82,2.83,0.03,1.07%,2.77,2.84,153145,4292.90,0.59%
2024-09-09,2.78,2.80,0.00,0.00%,2.77,2.87,136829,3862.98,0.53%
2024-09-06,2.86,2.80,-0.05,-1.75%,2.80,2.87,141056,3995.51,0.54%
2024-09-05,2.83,2.85,0.02,0.71%,2.83,2.87,100314,2859.14,0.39%
2024-09-04,2.85,2.83,-0.04,-1.39%,2.82,2.89,123549,3518.12,0.48%
2024-09-03,2.84,2.87,0.03,1.06%,2.83,2.88,169079,4836.32,0.65%
2024-09-02,2.90,2.84,-0.06,-2.07%,2.83,2.91,157385,4512.44,0.61%
2024-08-30,2.82,2.90,0.08,2.84%,2.81,2.94,248621,7178.90,0.96%
2024-08-29,2.76,2.82,0.05,1.81%,2.74,2.83,148569,4155.75,0.57%
2024-08-28,2.73,2.77,0.03,1.09%,2.71,2.78,132488,3648.04,0.51%
2024-08-27,2.78,2.74,-0.05,-1.79%,2.72,2.80,130425,3583.46,0.50%
2024-08-26,2.73,2.79,0.06,2.20%,2.73,2.80,126325,3507.69,0.49%
2024-08-23,2.74,2.73,-0.02,-0.73%,2.72,2.77,146301,4010.82,0.56%
2024-08-22,2.78,2.75,-0.05,-1.79%,2.73,2.80,162135,4473.26,0.62%
2024-08-21,2.82,2.80,-0.04,-1.41%,2.78,2.85,141667,3980.02,0.55%
2024-08-20,2.92,2.84,-0.09,-3.07%,2.82,2.93,197763,5655.20,0.76%
2024-08-19,2.88,2.93,0.03,1.03%,2.87,2.94,126517,3697.15,0.49%
2024-08-16,2.97,2.90,-0.06,-2.03%,2.89,2.98,145824,4266.88,0.56%
2024-08-15,2.92,2.96,0.03,1.02%,2.90,2.98,176758,5206.96,0.68%
2024-08-14,2.95,2.93,-0.01,-0.34%,2.93,2.97,109909,3235.47,0.42%
2024-08-13,2.94,2.94,-0.01,-0.34%,2.90,2.96,130802,3829.64,0.50%
2024-08-12,2.98,2.95,-0.03,-1.01%,2.93,2.98,150661,4456.44,0.58%
2024-08-09,3.01,2.98,-0.02,-0.67%,2.98,3.04,165856,4983.59,0.64%
2024-08-08,2.98,3.00,0.01,0.33%,2.95,3.01,147311,4395.74,0.57%
2024-08-07,3.01,2.99,-0.02,-0.66%,2.96,3.02,139599,4166.68,0.54%
2024-08-06,2.99,3.01,0.04,1.35%,2.98,3.03,165121,4959.47,0.64%
2024-08-05,2.97,2.97,-0.02,-0.67%,2.96,3.04,258851,7769.26,1.00%
2024-08-02,3.00,2.99,-0.03,-0.99%,2.98,3.03,207170,6230.23,0.80%
2024-08-01,3.03,3.02,-0.02,-0.66%,3.00,3.05,188882,5702.02,0.73%
2024-07-31,2.95,3.04,0.10,3.40%,2.93,3.05,332692,10023.57,1.28%
2024-07-30,2.90,2.94,0.05,1.73%,2.88,2.95,214946,6301.93,0.83%
2024-07-29,2.88,2.89,0.00,0.00%,2.84,2.91,164884,4750.08,0.63%
2024-07-26,2.83,2.89,0.07,2.48%,2.82,2.89,191410,5492.29,0.74%
2024-07-25,2.76,2.82,0.03,1.08%,2.75,2.84,189304,5327.29,0.73%
2024-07-24,2.84,2.79,-0.05,-1.76%,2.78,2.87,259623,7319.26,1.00%
2024-07-23,2.84,2.84,0.00,0.00%,2.83,2.94,333000,9610.80,1.28%
2024-07-22,2.83,2.84,0.00,0.00%,2.82,2.86,164198,4658.96,0.63%
2024-07-19,2.82,2.84,0.01,0.35%,2.77,2.84,193792,5446.61,0.75%
2024-07-18,2.79,2.83,0.02,0.71%,2.75,2.83,163148,4557.70,0.63%
