日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,8.87,9.34,0.85,10.01%,8.79,9.34,1240770,113432.62,3.87%
2024-09-27,8.09,8.49,0.50,6.26%,8.08,8.57,652135,54345.58,2.04%
2024-09-26,7.74,7.99,0.26,3.36%,7.71,8.00,408142,32114.88,1.27%
2024-09-25,7.75,7.73,0.04,0.52%,7.68,7.94,412389,32267.85,1.29%
2024-09-24,7.45,7.69,0.27,3.64%,7.41,7.69,373497,28291.58,1.17%
2024-09-23,7.38,7.42,0.03,0.41%,7.33,7.49,143361,10653.20,0.45%
2024-09-20,7.44,7.39,-0.04,-0.54%,7.34,7.47,165900,12268.47,0.52%
2024-09-19,7.33,7.43,0.12,1.64%,7.26,7.51,226861,16791.29,0.71%
2024-09-18,7.36,7.31,-0.02,-0.27%,7.19,7.41,169059,12299.13,0.53%
2024-09-13,7.44,7.33,-0.12,-1.61%,7.33,7.48,168754,12477.95,0.53%
2024-09-12,7.59,7.45,-0.09,-1.19%,7.44,7.61,211075,15862.32,0.66%
2024-09-11,7.51,7.54,0.05,0.67%,7.44,7.56,191705,14388.29,0.60%
2024-09-10,7.52,7.49,-0.02,-0.27%,7.28,7.55,324168,23988.05,1.01%
2024-09-09,7.62,7.51,-0.11,-1.44%,7.48,7.68,207572,15689.76,0.65%
2024-09-06,7.80,7.62,-0.18,-2.31%,7.62,7.85,192199,14800.49,0.60%
2024-09-05,7.84,7.80,0.00,0.00%,7.76,7.91,189787,14847.80,0.59%
2024-09-04,7.77,7.80,-0.05,-0.64%,7.74,7.88,166143,12966.47,0.52%
2024-09-03,7.79,7.85,0.07,0.90%,7.77,7.91,179609,14076.60,0.56%
2024-09-02,7.99,7.78,-0.19,-2.38%,7.77,8.03,296748,23405.97,0.93%
2024-08-30,7.79,7.97,0.19,2.44%,7.77,8.05,408610,32594.66,1.28%
2024-08-29,7.54,7.78,0.22,2.91%,7.52,7.84,291171,22470.03,0.91%
2024-08-28,7.48,7.56,-0.07,-0.92%,7.48,7.66,234982,17771.47,0.73%
2024-08-27,7.82,7.63,-0.23,-2.93%,7.60,7.83,221816,17065.48,0.69%
2024-08-26,7.83,7.86,0.05,0.64%,7.80,7.96,233724,18406.71,0.73%
2024-08-23,7.65,7.81,0.16,2.09%,7.60,7.85,256208,19849.21,0.80%
2024-08-22,7.74,7.65,-0.08,-1.03%,7.63,7.77,209367,16069.03,0.65%
2024-08-21,7.74,7.73,-0.07,-0.90%,7.66,7.87,219097,17039.13,0.68%
2024-08-20,8.00,7.80,-0.22,-2.74%,7.77,8.01,339258,26681.31,1.06%
2024-08-19,7.97,8.02,0.08,1.01%,7.93,8.14,343636,27662.86,1.07%
2024-08-16,7.95,7.94,-0.02,-0.25%,7.84,8.02,272276,21594.83,0.85%
2024-08-15,7.86,7.96,0.09,1.14%,7.81,8.06,272528,21679.60,0.85%
2024-08-14,8.03,7.87,-0.15,-1.87%,7.87,8.05,241515,19158.92,0.75%
2024-08-13,7.86,8.02,0.13,1.65%,7.86,8.02,213823,17022.51,0.67%
2024-08-12,7.95,7.89,-0.11,-1.38%,7.86,8.01,231138,18304.47,0.72%
2024-08-09,8.10,8.00,0.00,0.00%,8.00,8.18,269448,21781.00,0.84%
2024-08-08,7.91,8.00,0.04,0.50%,7.81,8.11,357118,28416.42,1.11%
2024-08-07,7.98,7.96,-0.01,-0.13%,7.91,8.05,332824,26592.98,1.04%
2024-08-06,8.23,7.97,-0.16,-1.97%,7.87,8.32,654828,52378.79,2.04%
2024-08-05,8.46,8.13,-0.38,-4.47%,8.13,8.50,498052,41347.02,1.55%
2024-08-02,8.68,8.51,-0.26,-2.96%,8.51,8.79,402068,34746.08,1.25%
2024-08-01,8.65,8.77,0.12,1.39%,8.62,8.82,522434,45594.95,1.63%
2024-07-31,8.23,8.65,0.37,4.47%,8.21,8.66,543514,46150.56,1.70%
2024-07-30,8.18,8.28,0.09,1.10%,8.05,8.29,369181,30226.60,1.15%
2024-07-29,8.24,8.19,-0.07,-0.85%,8.18,8.34,301527,24790.61,0.94%
2024-07-26,8.21,8.26,0.05,0.61%,8.17,8.33,307532,25384.93,0.96%
2024-07-25,8.38,8.21,-0.25,-2.96%,8.19,8.44,395074,32694.39,1.23%
2024-07-24,8.48,8.46,-0.06,-0.70%,8.43,8.66,372370,31831.19,1.16%
2024-07-23,8.82,8.52,-0.31,-3.51%,8.50,8.83,474449,41087.62,1.48%
