日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,10.70,11.37,0.90,8.60%,10.50,11.40,162630,17993.64,6.88%
2024-09-27,10.15,10.47,0.45,4.49%,10.02,10.68,93078,9597.62,3.94%
2024-09-26,9.88,10.02,0.19,1.93%,9.79,10.02,67661,6716.07,2.86%
2024-09-25,9.81,9.83,0.03,0.31%,9.75,10.05,61117,6062.53,2.59%
2024-09-24,9.74,9.80,0.04,0.41%,9.51,9.86,72982,7087.06,3.09%
2024-09-23,9.43,9.76,0.32,3.39%,9.36,10.20,82228,8075.43,3.48%
2024-09-20,9.40,9.44,-0.02,-0.21%,9.35,9.56,22451,2120.96,0.95%
2024-09-19,9.39,9.46,0.06,0.64%,9.28,9.57,33312,3143.12,1.41%
2024-09-18,9.58,9.40,-0.19,-1.98%,9.23,9.67,32673,3074.36,1.38%
2024-09-13,9.80,9.59,-0.23,-2.34%,9.58,9.87,42264,4095.11,1.79%
2024-09-12,9.75,9.82,0.01,0.10%,9.68,10.06,60488,5983.99,2.56%
2024-09-11,9.48,9.81,0.28,2.94%,9.39,9.97,79953,7792.89,3.39%
2024-09-10,9.11,9.53,0.46,5.07%,9.05,9.63,58255,5449.49,2.47%
2024-09-09,9.00,9.07,0.06,0.67%,8.89,9.12,25551,2302.55,1.08%
2024-09-06,9.32,9.01,-0.29,-3.12%,9.01,9.36,33103,3020.75,1.40%
2024-09-05,9.38,9.30,-0.01,-0.11%,9.27,9.39,17246,1606.84,0.73%
2024-09-04,9.28,9.31,0.00,0.00%,9.18,9.34,22357,2072.38,0.95%
2024-09-03,9.25,9.31,0.07,0.76%,9.20,9.42,22677,2112.16,0.96%
2024-09-02,9.35,9.24,-0.11,-1.18%,9.22,9.48,34925,3264.74,1.48%
2024-08-30,9.02,9.35,0.33,3.66%,9.00,9.47,51884,4840.52,2.20%
2024-08-29,8.86,9.02,0.17,1.92%,8.79,9.09,25388,2276.47,1.08%
2024-08-28,8.87,8.85,0.02,0.23%,8.72,8.97,19689,1741.82,0.83%
2024-08-27,9.09,8.83,-0.25,-2.75%,8.82,9.10,25943,2314.78,1.10%
2024-08-26,8.80,9.08,0.27,3.06%,8.78,9.14,34035,3071.44,1.44%
2024-08-23,8.99,8.81,-0.07,-0.79%,8.72,9.03,29879,2642.66,1.27%
2024-08-22,9.17,8.88,-0.21,-2.31%,8.88,9.17,27503,2469.57,1.17%
2024-08-21,9.03,9.09,0.03,0.33%,9.01,9.25,26606,2432.60,1.13%
2024-08-20,9.18,9.06,-0.10,-1.09%,9.04,9.27,30622,2792.78,1.30%
2024-08-19,9.43,9.16,-0.23,-2.45%,9.13,9.44,32134,2968.61,1.36%
2024-08-16,9.34,9.39,0.10,1.08%,9.30,9.50,36719,3460.99,1.56%
2024-08-15,9.16,9.29,0.10,1.09%,9.11,9.38,31990,2969.53,1.36%
2024-08-14,9.18,9.19,0.05,0.55%,9.11,9.24,26005,2387.90,1.10%
2024-08-13,9.12,9.14,0.12,1.33%,8.92,9.21,25612,2322.61,1.09%
2024-08-12,9.06,9.02,-0.12,-1.31%,8.95,9.16,30731,2779.15,1.30%
2024-08-09,9.24,9.14,0.02,0.22%,9.13,9.35,27696,2550.54,1.17%
2024-08-08,9.28,9.12,-0.17,-1.83%,9.01,9.32,35351,3232.32,1.50%
2024-08-07,9.30,9.29,0.01,0.11%,9.26,9.43,26611,2486.45,1.13%
2024-08-06,9.40,9.28,0.06,0.65%,9.19,9.44,31731,2942.12,1.34%
2024-08-05,9.51,9.22,-0.44,-4.55%,9.18,9.72,46397,4369.55,1.97%
2024-08-02,9.89,9.66,-0.38,-3.78%,9.61,9.97,56056,5500.22,2.38%
2024-08-01,9.65,10.04,0.37,3.83%,9.61,10.29,83652,8332.00,3.54%
2024-07-31,9.31,9.67,0.38,4.09%,9.31,9.67,46093,4394.68,1.95%
2024-07-30,9.18,9.29,0.03,0.32%,9.10,9.37,31373,2897.38,1.33%
2024-07-29,9.29,9.26,0.03,0.33%,9.13,9.55,45036,4207.57,1.91%
2024-07-26,9.01,9.23,0.12,1.32%,9.01,9.25,27477,2524.82,1.16%
2024-07-25,9.07,9.11,-0.03,-0.33%,8.80,9.24,34968,3153.49,1.48%
2024-07-24,9.25,9.14,-0.16,-1.72%,9.04,9.44,35094,3240.05,1.49%
2024-07-23,9.59,9.30,-0.31,-3.23%,9.28,9.65,39071,3706.62,1.66%
2024-07-22,9.50,9.61,0.20,2.13%,9.37,9.80,44898,4300.04,1.90%
2024-07-19,9.00,9.41,0.34,3.75%,8.94,9.52,48620,4533.00,2.06%
2024-07-18,9.21,9.07,-0.23,-2.47%,8.72,9.28,59023,5282.89,2.50%
2024-07-17,9.67,9.30,-0.28,-2.92%,9.27,9.68,36292,3420.61,1.54%
2024-07-16,9.43,9.58,0.05,0.52%,9.35,9.65,31258,2972.26,1.32%
2024-07-15,9.77,9.53,-0.34,-3.44%,9.39,10.02,40771,3922.15,1.73%
2024-07-12,9.80,9.87,-0.03,-0.30%,9.75,9.92,38932,3833.69,1.65%
2024-07-11,9.57,9.90,0.52,5.54%,9.50,9.90,62440,6096.53,2.65%
2024-07-10,9.39,9.38,-0.01,-0.11%,9.30,9.60,29693,2807.08,1.26%
2024-07-09,9.04,9.39,0.34,3.76%,8.95,9.40,43308,3981.23,1.84%
2024-07-08,9.20,9.05,-0.25,-2.69%,9.04,9.35,29822,2725.39,1.26%
2024-07-05,9.22,9.30,0.01,0.11%,9.05,9.38,27543,2534.53,1.17%
2024-07-04,9.53,9.29,-0.34,-3.53%,9.19,9.66,34446,3234.38,1.46%
2024-07-03,9.73,9.63,-0.10,-1.03%,9.51,9.73,30490,2928.36,1.29%
2024-07-02,9.78,9.73,0.08,0.83%,9.67,9.88,29731,2905.25,1.26%
2024-07-01,9.66,9.65,-0.10,-1.03%,9.49,9.79,35361,3401.82,1.50%
2024-06-28,9.64,9.75,0.11,1.14%,9.48,9.92,36018,3523.44,1.53%
2024-06-27,9.81,9.64,-0.18,-1.83%,9.60,10.06,52016,5111.81,2.53%
2024-06-26,9.25,9.82,0.51,5.48%,9.07,9.82,50582,4775.22,2.46%
2024-06-25,9.61,9.31,-0.30,-3.12%,9.23,9.69,48231,4546.14,2.34%
2024-06-24,10.22,9.61,-0.63,-6.15%,9.55,10.22,60531,5941.28,2.94%
2024-06-21,10.29,10.24,-0.15,-1.44%,9.94,10.36,51504,5235.81,2.50%
2024-06-20,10.72,10.39,-0.33,-3.08%,10.35,10.87,65869,7005.03,3.20%
2024-06-19,10.63,10.72,0.15,1.42%,10.53,10.93,76330,8203.02,3.71%
2024-06-18,10.30,10.57,0.20,1.93%,10.26,10.64,54139,5678.94,2.63%
2024-06-17,10.40,10.37,-0.07,-0.67%,10.23,10.50,48343,5018.97,2.35%
2024-06-14,10.43,10.44,-0.11,-1.04%,10.26,10.61,60018,6259.81,2.91%
2024-06-13,10.56,10.55,-0.01,-0.09%,10.46,10.76,87340,9265.37,4.24%
2024-06-12,10.08,10.56,0.48,4.76%,10.07,11.00,115544,12121.87,5.61%
2024-06-11,9.85,10.08,0.33,3.38%,9.50,10.20,70826,7047.93,3.44%
2024-06-07,9.79,9.75,0.12,1.25%,9.70,10.05,57324,5643.70,2.78%
2024-06-06,10.22,9.63,-0.50,-4.94%,9.57,10.67,85034,8491.40,4.13%
2024-06-05,10.23,10.13,-0.27,-2.60%,10.05,10.56,54746,5624.28,2.66%
