日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,58.98,61.38,5.58,10.00%,56.71,61.38,211422,125824.14,6.64%
2024-09-27,53.10,55.80,3.77,7.25%,52.75,56.45,152277,82934.75,4.78%
2024-09-26,50.95,52.35,2.35,4.70%,50.19,52.35,112691,57590.26,3.54%
2024-09-25,50.95,50.00,-0.01,-0.02%,49.89,51.95,112059,56972.70,3.52%
2024-09-24,47.54,50.01,3.08,6.56%,46.90,50.16,115239,55907.25,3.62%
2024-09-23,48.62,46.93,-1.86,-3.81%,46.85,49.00,93471,44543.05,2.93%
2024-09-20,48.90,48.79,-0.13,-0.27%,47.90,49.15,54698,26506.63,1.72%
2024-09-19,49.92,48.92,-0.93,-1.87%,48.70,50.51,74421,36769.02,2.34%
2024-09-18,50.00,49.85,0.34,0.69%,48.77,50.29,40229,19907.82,1.26%
2024-09-13,50.46,49.51,-0.80,-1.59%,49.50,50.67,37676,18864.92,1.18%
2024-09-12,51.58,50.31,-0.59,-1.16%,50.30,51.99,39099,19878.15,1.23%
2024-09-11,50.80,50.90,-0.20,-0.39%,50.60,51.23,27488,14000.08,0.86%
2024-09-10,50.19,51.10,1.12,2.24%,49.63,51.48,61247,30979.07,1.92%
2024-09-09,50.44,49.98,-0.75,-1.48%,49.80,51.30,53010,26711.54,1.66%
2024-09-06,53.00,50.73,-2.41,-4.54%,50.56,53.24,66830,34376.03,2.10%
2024-09-05,53.37,53.14,-0.25,-0.47%,52.86,53.76,35390,18833.74,1.11%
2024-09-04,53.08,53.39,-0.50,-0.93%,52.73,53.88,43132,22968.84,1.35%
2024-09-03,52.86,53.89,1.23,2.34%,52.68,54.11,48660,26080.83,1.53%
2024-09-02,55.37,52.66,-3.11,-5.58%,52.50,55.47,77446,41678.67,2.43%
2024-08-30,53.50,55.77,2.36,4.42%,53.39,56.37,99133,54650.14,3.11%
2024-08-29,51.70,53.41,1.30,2.49%,51.43,54.10,74987,39828.64,2.35%
2024-08-28,51.00,52.11,0.97,1.90%,50.92,52.35,55045,28536.79,1.73%
2024-08-27,51.90,51.14,-0.96,-1.84%,50.91,51.91,34610,17761.36,1.09%
2024-08-26,51.20,52.10,0.84,1.64%,51.19,52.32,43178,22404.41,1.36%
2024-08-23,51.08,51.26,-0.16,-0.31%,50.80,51.56,37582,19229.74,1.18%
2024-08-22,52.47,51.42,-1.06,-2.02%,51.15,52.54,46851,24204.79,1.47%
2024-08-21,52.50,52.48,-0.32,-0.61%,52.08,53.08,39284,20659.45,1.23%
2024-08-20,53.60,52.80,-0.45,-0.85%,52.25,53.77,46058,24306.66,1.45%
2024-08-19,53.30,53.25,-0.28,-0.52%,52.84,53.99,42835,22901.23,1.34%
2024-08-16,54.00,53.53,-0.15,-0.28%,53.29,54.60,46226,24950.56,1.45%
2024-08-15,53.30,53.68,0.04,0.07%,53.14,54.57,46437,25005.23,1.46%
2024-08-14,54.96,53.64,-1.14,-2.08%,53.60,55.00,41829,22650.17,1.31%
2024-08-13,54.43,54.78,0.36,0.66%,54.11,55.20,38289,20874.93,1.20%
2024-08-12,54.37,54.42,0.30,0.55%,53.54,55.10,51682,28149.32,1.62%
2024-08-09,55.02,54.12,-0.28,-0.51%,54.02,55.58,63817,35023.21,2.00%
2024-08-08,52.80,54.40,0.70,1.30%,52.40,55.28,72658,39279.22,2.28%
2024-08-07,53.54,53.70,0.04,0.07%,53.08,54.03,49846,26749.67,1.56%
2024-08-06,53.30,53.66,1.55,2.97%,52.88,54.26,95922,51430.37,3.01%
2024-08-05,55.34,52.11,-4.67,-8.22%,52.00,55.95,176609,94764.54,5.54%
2024-08-02,58.87,56.78,-3.35,-5.57%,56.77,59.65,97273,56437.82,3.05%
2024-08-01,59.50,60.13,0.93,1.57%,59.16,60.79,85195,51193.49,2.67%
2024-07-31,56.66,59.20,2.14,3.75%,56.39,59.30,94337,54926.29,2.96%
2024-07-30,57.30,57.06,-0.23,-0.40%,55.79,57.44,78771,44667.29,2.47%
2024-07-29,58.37,57.29,-1.15,-1.97%,57.20,59.05,69118,40052.18,2.17%
2024-07-26,57.84,58.44,0.94,1.63%,57.31,58.80,78172,45512.88,2.45%
2024-07-25,59.00,57.50,-1.73,-2.92%,57.14,59.42,104272,60448.63,3.27%
2024-07-24,61.85,59.23,-2.62,-4.24%,58.96,62.39,119817,72600.62,3.76%
2024-07-23,65.60,61.85,-3.81,-5.80%,61.80,65.66,115854,73362.46,3.64%
2024-07-22,65.60,65.66,-0.06,-0.09%,65.50,66.72,74798,49375.89,2.35%
2024-07-19,65.90,65.72,-0.48,-0.73%,65.50,67.77,97320,64733.02,3.06%
2024-07-18,64.50,66.20,0.30,0.46%,63.50,66.95,128007,83563.88,4.02%
2024-07-17,69.35,65.90,-3.91,-5.60%,65.51,69.99,137161,93211.34,4.31%
2024-07-16,68.40,69.81,1.37,2.00%,67.41,70.07,96397,66363.09,3.03%
2024-07-15,69.49,68.44,-0.78,-1.13%,68.08,70.69,93762,64937.58,2.94%
2024-07-12,66.73,69.22,1.25,1.84%,66.40,69.88,121077,83269.09,3.80%
2024-07-11,67.40,67.97,1.37,2.06%,65.43,68.70,130309,88085.31,4.09%
2024-07-10,67.41,66.60,-0.88,-1.30%,66.09,67.41,102580,68529.72,3.22%
2024-07-09,64.59,67.48,2.88,4.46%,63.63,67.52,138311,90897.44,4.34%
2024-07-08,65.17,64.60,-0.11,-0.17%,64.01,66.65,87692,57433.93,2.75%
2024-07-05,65.20,64.71,-0.61,-0.93%,62.60,65.48,68180,43736.31,2.14%
2024-07-04,66.00,65.32,-0.87,-1.31%,65.30,66.60,69337,45711.95,2.18%
2024-07-03,64.02,66.19,2.11,3.29%,62.90,66.75,115902,75783.54,3.64%
2024-07-02,65.51,64.08,-1.43,-2.18%,63.68,65.78,76712,49415.12,2.41%
2024-07-01,62.79,65.51,2.60,4.13%,62.55,66.76,111867,73053.59,3.51%
2024-06-28,62.09,62.91,0.44,0.70%,62.01,63.68,71965,45342.46,2.26%
2024-06-27,61.80,62.47,0.03,0.05%,61.60,63.83,81026,51007.50,2.54%
2024-06-26,61.96,62.44,0.84,1.36%,60.60,62.65,77647,47827.70,2.44%
2024-06-25,64.09,61.60,-2.49,-3.89%,60.80,64.49,128226,79533.51,4.03%
2024-06-24,64.66,64.09,-1.10,-1.69%,64.05,66.20,104648,68149.04,3.29%
2024-06-21,62.22,65.19,1.35,2.11%,61.90,65.31,106344,68009.08,3.34%
2024-06-20,63.20,63.84,0.30,0.47%,62.86,66.21,138418,89460.92,4.35%
2024-06-19,64.60,63.54,-1.06,-1.64%,62.28,64.79,124313,78724.70,3.90%
2024-06-18,64.80,64.60,-0.48,-0.74%,63.75,65.23,96185,61903.54,3.02%
2024-06-17,63.81,65.08,1.07,1.67%,63.60,65.50,97786,63297.83,3.07%
2024-06-14,63.06,64.01,0.61,0.96%,62.58,65.09,124054,79203.55,3.89%
2024-06-13,61.85,63.40,1.50,2.42%,61.82,65.33,175340,111698.80,5.50%
2024-06-12,60.49,61.90,0.80,1.31%,60.21,62.45,118882,73229.05,3.73%
2024-06-11,59.01,61.10,1.53,2.57%,58.41,61.50,124746,75258.14,3.92%
2024-06-07,60.82,59.57,-1.31,-2.15%,59.40,62.10,87385,52939.23,2.74%
2024-06-06,62.00,60.88,-0.31,-0.51%,60.04,62.46,100085,61504.72,3.14%
2024-06-05,61.40,61.19,-0.60,-0.97%,60.84,62.24,75278,46344.79,2.36%
2024-06-04,60.43,61.79,0.96,1.58%,60.03,61.89,97643,59732.91,3.07%
2024-06-03,59.62,60.83,1.68,2.84%,59.20,61.58,102959,62429.70,3.23%
2024-05-31,59.55,59.15,-0.30,-0.50%,58.90,60.68,69829,41598.05,2.19%
2024-05-30,58.82,59.81,-0.02,-0.03%,58.68,60.89,92340,55426.81,2.90%
2024-05-29,60.05,59.83,-0.85,-1.40%,59.32,61.38,80909,48744.43,2.54%
2024-05-28,60.55,60.68,-0.67,-1.09%,59.98,63.11,184433,113192.04,5.79%
2024-05-27,56.99,61.35,4.86,8.60%,55.96,62.14,171832,103226.22,5.39%
2024-05-24,57.60,56.49,-1.21,-2.10%,56.42,58.10,50754,28996.04,1.59%
2024-05-23,58.81,57.70,-1.41,-2.39%,57.66,59.90,68378,39838.64,2.15%
2024-05-22,61.00,59.11,-1.89,-3.10%,58.30,61.05,67255,39911.04,2.11%
2024-05-21,61.76,61.00,-0.75,-1.21%,60.50,62.26,65415,40005.81,2.05%
2024-05-20,59.94,61.75,2.29,3.85%,59.33,62.00,89356,54133.99,2.81%
2024-05-17,58.40,59.46,0.58,0.99%,57.92,59.49,45537,26817.31,1.43%
2024-05-16,59.64,58.88,0.05,0.08%,58.19,60.23,61548,36359.85,1.93%
2024-05-15,58.56,58.83,0.27,0.46%,57.60,60.11,65010,38411.09,2.04%
2024-05-14,59.74,58.56,-0.92,-1.55%,58.51,60.24,56824,33596.45,1.78%
2024-05-13,58.46,59.48,0.15,0.25%,58.26,61.11,89942,53948.76,2.82%
2024-05-10,60.37,59.33,-1.19,-1.97%,58.26,60.50,93853,55320.48,2.95%
2024-05-09,60.51,60.52,-0.09,-0.15%,59.68,61.17,81315,49183.46,2.55%
2024-05-08,61.24,60.61,-0.71,-1.16%,60.01,61.33,70362,42743.46,2.21%
2024-05-07,63.02,61.32,-1.61,-2.56%,60.85,63.25,124644,76927.09,3.91%
2024-05-06,65.60,62.93,-1.26,-1.96%,62.67,65.62,104510,66641.21,3.28%
2024-04-30,63.40,64.19,-0.06,-0.09%,63.30,65.50,96834,62359.21,3.04%
2024-04-29,60.59,64.25,4.12,6.85%,59.92,64.50,141596,88445.02,4.45%
2024-04-26,61.00,60.13,-0.57,-0.94%,59.00,61.49,137690,83410.68,4.32%
2024-04-25,59.99,60.70,1.07,1.79%,59.25,61.78,108075,65725.05,3.39%
2024-04-24,58.41,59.63,1.23,2.11%,58.33,60.00,90784,53836.33,2.85%
2024-04-23,57.38,58.40,0.97,1.69%,56.04,58.72,84126,48400.20,2.64%
2024-04-22,55.38,57.43,-0.24,-0.42%,55.25,57.98,61687,35062.69,1.94%
2024-04-19,56.69,57.67,0.11,0.19%,56.69,58.63,86147,49687.20,2.70%
2024-04-18,55.87,57.56,1.66,2.97%,55.05,58.99,140167,81020.80,4.40%
2024-04-17,51.80,55.90,5.08,10.00%,51.80,55.90,83582,45980.48,2.62%
