日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,4.03,4.28,0.38,9.74%,4.00,4.28,781984,32625.57,6.25%
2024-09-27,3.78,3.90,0.17,4.56%,3.76,3.97,447367,17243.12,3.58%
2024-09-26,3.66,3.73,0.08,2.19%,3.64,3.73,229071,8453.99,1.83%
2024-09-25,3.64,3.65,0.03,0.83%,3.63,3.72,287108,10562.41,2.30%
2024-09-24,3.54,3.62,0.08,2.26%,3.52,3.62,211660,7572.59,1.69%
2024-09-23,3.48,3.54,0.05,1.43%,3.46,3.56,154201,5439.16,1.23%
2024-09-20,3.48,3.49,0.02,0.58%,3.45,3.52,128457,4472.73,1.03%
2024-09-19,3.39,3.47,0.11,3.27%,3.36,3.48,143594,4937.04,1.15%
2024-09-18,3.40,3.36,-0.03,-0.88%,3.31,3.43,96252,3228.57,0.77%
2024-09-13,3.46,3.39,-0.06,-1.74%,3.39,3.47,91472,3128.49,0.73%
2024-09-12,3.44,3.45,0.03,0.88%,3.42,3.49,105343,3638.09,0.84%
2024-09-11,3.45,3.42,-0.06,-1.72%,3.40,3.47,85862,2950.02,0.69%
2024-09-10,3.47,3.48,0.02,0.58%,3.40,3.49,83025,2858.51,0.66%
2024-09-09,3.47,3.46,-0.01,-0.29%,3.42,3.48,84089,2895.76,0.67%
2024-09-06,3.55,3.47,-0.08,-2.25%,3.45,3.56,95335,3332.70,0.76%
2024-09-05,3.48,3.55,0.08,2.31%,3.48,3.55,104667,3689.72,0.84%
2024-09-04,3.50,3.47,-0.06,-1.70%,3.46,3.54,84655,2963.25,0.68%
2024-09-03,3.48,3.53,0.05,1.44%,3.45,3.53,116222,4062.28,0.93%
2024-09-02,3.52,3.48,-0.05,-1.42%,3.47,3.62,162342,5728.23,1.30%
2024-08-30,3.45,3.53,0.08,2.32%,3.44,3.56,145642,5130.16,1.16%
2024-08-29,3.41,3.45,0.04,1.17%,3.38,3.46,80500,2770.10,0.64%
2024-08-28,3.40,3.41,0.01,0.29%,3.37,3.45,66462,2265.97,0.53%
2024-08-27,3.51,3.40,-0.11,-3.13%,3.38,3.51,119635,4103.55,0.96%
2024-08-26,3.45,3.51,0.07,2.03%,3.40,3.52,103351,3588.61,0.83%
2024-08-23,3.47,3.44,-0.02,-0.58%,3.42,3.50,88533,3054.19,0.71%
2024-08-22,3.50,3.46,-0.03,-0.86%,3.45,3.55,109434,3832.31,0.88%
2024-08-21,3.50,3.49,-0.03,-0.85%,3.48,3.55,106916,3760.39,0.85%
2024-08-20,3.60,3.52,-0.08,-2.22%,3.51,3.60,142045,5032.53,1.14%
2024-08-19,3.60,3.60,0.02,0.56%,3.57,3.64,141186,5094.06,1.13%
2024-08-16,3.67,3.58,-0.10,-2.72%,3.58,3.68,184790,6675.67,1.48%
2024-08-15,3.65,3.68,0.01,0.27%,3.57,3.69,215500,7846.88,1.72%
2024-08-14,3.56,3.67,0.10,2.80%,3.54,3.75,244231,8915.16,1.95%
2024-08-13,3.53,3.57,0.04,1.13%,3.51,3.57,131536,4668.42,1.05%
2024-08-12,3.60,3.53,-0.12,-3.29%,3.51,3.62,200943,7113.78,1.61%
2024-08-09,3.72,3.65,-0.07,-1.88%,3.63,3.74,211796,7764.43,1.69%
2024-08-08,3.81,3.72,-0.13,-3.38%,3.68,3.83,344616,12887.26,2.76%
2024-08-07,3.83,3.85,0.02,0.52%,3.79,3.91,391263,15132.29,3.13%
2024-08-06,3.78,3.83,0.13,3.51%,3.71,3.90,488196,18647.65,3.90%
2024-08-05,3.78,3.70,-0.16,-4.15%,3.70,3.94,504411,19230.09,4.03%
2024-08-02,3.80,3.86,0.04,1.05%,3.76,3.97,579955,22484.09,4.64%
2024-08-01,3.72,3.82,0.09,2.41%,3.70,3.85,437311,16634.10,3.50%
2024-07-31,3.64,3.73,0.08,2.19%,3.61,3.75,304750,11215.63,2.44%
2024-07-30,3.57,3.65,0.07,1.96%,3.53,3.66,202450,7319.10,1.62%
2024-07-29,3.51,3.58,0.08,2.29%,3.50,3.60,193538,6884.02,1.55%
2024-07-26,3.36,3.50,0.13,3.86%,3.36,3.50,199802,6922.43,1.60%
2024-07-25,3.37,3.37,0.00,0.00%,3.30,3.41,111108,3718.48,0.89%
2024-07-24,3.38,3.37,-0.03,-0.88%,3.35,3.45,114883,3892.53,0.92%
2024-07-23,3.47,3.40,-0.09,-2.58%,3.39,3.51,103382,3579.02,0.83%
2024-07-22,3.45,3.49,0.04,1.16%,3.44,3.51,102971,3582.75,0.82%
2024-07-19,3.42,3.45,0.01,0.29%,3.42,3.48,101639,3511.89,0.81%
2024-07-18,3.41,3.44,0.01,0.29%,3.36,3.47,133690,4552.97,1.07%
2024-07-17,3.54,3.43,-0.13,-3.65%,3.43,3.55,177336,6165.14,1.42%
2024-07-16,3.53,3.56,-0.01,-0.28%,3.51,3.59,145961,5195.03,1.17%
2024-07-15,3.70,3.57,-0.12,-3.25%,3.54,3.75,266500,9663.75,2.13%
