日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,7.98,8.45,0.70,9.03%,7.89,8.49,508101,41748.59,10.15%
2024-09-27,7.58,7.75,0.29,3.89%,7.48,7.85,363042,27759.49,7.25%
2024-09-26,7.32,7.46,0.24,3.32%,7.27,7.48,278014,20485.29,5.55%
2024-09-25,7.22,7.22,0.03,0.42%,7.18,7.36,194924,14183.01,3.89%
2024-09-24,7.02,7.19,0.20,2.86%,6.95,7.19,153715,10902.13,3.07%
2024-09-23,6.91,6.99,0.06,0.87%,6.89,7.02,75845,5282.05,1.52%
2024-09-20,6.93,6.93,0.00,0.00%,6.89,6.98,74828,5187.43,1.50%
2024-09-19,6.80,6.93,0.17,2.51%,6.76,6.97,100366,6913.49,2.01%
2024-09-18,6.87,6.76,-0.04,-0.59%,6.68,6.90,81657,5519.93,1.63%
2024-09-13,6.96,6.80,-0.13,-1.88%,6.80,6.98,69487,4767.99,1.39%
2024-09-12,6.99,6.93,-0.04,-0.57%,6.92,7.06,69314,4848.37,1.38%
2024-09-11,7.05,6.97,-0.08,-1.13%,6.95,7.05,58416,4080.96,1.17%
2024-09-10,7.00,7.05,0.05,0.71%,6.86,7.07,83098,5785.94,1.66%
2024-09-09,6.95,7.00,0.03,0.43%,6.87,7.06,76124,5313.86,1.52%
2024-09-06,7.12,6.97,-0.16,-2.24%,6.96,7.14,82383,5782.80,1.65%
2024-09-05,7.06,7.13,0.02,0.28%,7.05,7.19,77237,5501.42,1.54%
2024-09-04,7.03,7.11,0.03,0.42%,7.01,7.22,105752,7519.46,2.11%
2024-09-03,6.93,7.08,0.13,1.87%,6.92,7.11,96810,6813.53,1.93%
2024-09-02,7.09,6.95,-0.15,-2.11%,6.95,7.16,108737,7660.53,2.17%
2024-08-30,6.97,7.10,0.15,2.16%,6.93,7.21,167726,11932.19,3.35%
2024-08-29,6.70,6.95,0.20,2.96%,6.68,7.01,137878,9537.03,2.75%
2024-08-28,6.69,6.75,0.08,1.20%,6.61,6.82,89176,6005.45,1.78%
2024-08-27,6.90,6.67,-0.17,-2.49%,6.66,6.90,97418,6532.31,1.95%
2024-08-26,6.80,6.84,0.02,0.29%,6.78,6.91,63531,4352.68,1.27%
2024-08-23,6.72,6.82,0.08,1.19%,6.66,6.83,86412,5835.85,1.73%
2024-08-22,6.90,6.74,-0.17,-2.46%,6.74,6.95,101026,6884.23,2.02%
2024-08-21,6.89,6.91,0.02,0.29%,6.85,6.98,76071,5264.75,1.52%
2024-08-20,7.14,6.89,-0.25,-3.50%,6.86,7.17,194736,13536.55,3.89%
2024-08-19,7.23,7.14,-0.09,-1.24%,7.12,7.27,108591,7801.59,2.17%
2024-08-16,7.23,7.23,0.02,0.28%,7.21,7.33,107825,7840.78,2.15%
2024-08-15,7.11,7.21,0.08,1.12%,7.04,7.25,111878,8042.24,2.24%
2024-08-14,7.16,7.13,-0.04,-0.56%,7.12,7.21,70038,5009.98,1.40%
2024-08-13,7.14,7.17,0.03,0.42%,7.07,7.19,86310,6151.39,1.72%
2024-08-12,7.20,7.14,-0.12,-1.65%,7.11,7.25,109076,7820.30,2.18%
2024-08-09,7.43,7.26,-0.08,-1.09%,7.25,7.46,100115,7359.78,2.00%
2024-08-08,7.40,7.34,-0.14,-1.87%,7.20,7.44,137626,10069.44,2.75%
2024-08-07,7.50,7.48,0.02,0.27%,7.44,7.59,107506,8075.39,2.15%
2024-08-06,7.40,7.46,0.16,2.19%,7.33,7.49,131008,9695.20,2.62%
2024-08-05,7.56,7.30,-0.37,-4.82%,7.29,7.69,213930,16002.45,4.27%
2024-08-02,7.84,7.67,-0.22,-2.79%,7.65,7.91,247707,19286.90,4.95%
2024-08-01,7.80,7.89,0.15,1.94%,7.80,8.10,402410,32035.18,8.04%
2024-07-31,7.46,7.74,0.26,3.48%,7.40,7.75,217456,16648.95,4.34%
2024-07-30,7.47,7.48,-0.01,-0.13%,7.32,7.53,147365,10949.93,2.94%
2024-07-29,7.42,7.49,0.07,0.94%,7.38,7.52,162019,12096.92,3.24%
2024-07-26,7.26,7.42,0.26,3.63%,7.22,7.45,211142,15523.14,4.22%
2024-07-25,7.15,7.16,-0.04,-0.56%,7.03,7.31,131554,9426.09,2.63%
2024-07-24,7.16,7.20,0.00,0.00%,7.14,7.45,180780,13118.77,3.61%
2024-07-23,7.47,7.20,-0.29,-3.87%,7.19,7.48,128921,9445.51,2.58%
2024-07-22,7.37,7.49,0.09,1.22%,7.35,7.52,145029,10810.37,2.90%
2024-07-19,7.26,7.40,0.09,1.23%,7.24,7.53,182978,13558.17,3.66%
2024-07-18,7.08,7.31,0.18,2.52%,6.97,7.32,191103,13696.31,3.82%
2024-07-17,7.25,7.13,-0.15,-2.06%,7.10,7.29,87643,6281.77,1.75%
2024-07-16,7.21,7.28,0.03,0.41%,7.13,7.30,92400,6672.54,1.85%
2024-07-15,7.39,7.25,-0.17,-2.29%,7.24,7.45,105474,7713.11,2.11%
2024-07-12,7.47,7.42,-0.13,-1.72%,7.37,7.66,182715,13600.10,3.65%
2024-07-11,7.33,7.55,0.34,4.72%,7.28,7.77,321972,24261.56,6.43%
2024-07-10,7.30,7.21,-0.12,-1.64%,7.19,7.37,108222,7870.20,2.16%
2024-07-09,7.05,7.33,0.27,3.82%,6.99,7.33,155779,11190.49,3.11%
2024-07-08,7.25,7.06,-0.24,-3.29%,7.05,7.28,95391,6793.51,1.91%
2024-07-05,7.20,7.30,0.12,1.67%,7.08,7.34,110527,7977.06,2.21%
2024-07-04,7.37,7.18,-0.18,-2.45%,7.15,7.47,121592,8847.83,2.43%
