日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,7.50,7.93,0.72,9.99%,7.30,7.93,496828,38198.69,8.54%
2024-09-27,6.98,7.21,0.28,4.04%,6.94,7.31,298363,21250.32,5.13%
2024-09-26,6.77,6.93,0.16,2.36%,6.71,6.93,166357,11401.61,2.86%
2024-09-25,6.80,6.77,-0.01,-0.15%,6.74,6.95,197165,13496.48,3.39%
2024-09-24,6.66,6.78,0.10,1.50%,6.55,6.79,171454,11485.44,2.95%
2024-09-23,6.65,6.68,0.08,1.21%,6.56,6.76,136575,9128.74,2.35%
2024-09-20,6.55,6.60,0.08,1.23%,6.51,6.78,174969,11559.33,3.01%
2024-09-19,6.42,6.52,0.14,2.19%,6.37,6.54,112629,7302.28,1.94%
2024-09-18,6.45,6.38,-0.07,-1.09%,6.25,6.50,86155,5464.82,1.48%
2024-09-13,6.66,6.45,-0.14,-2.12%,6.45,6.66,89296,5821.26,1.53%
2024-09-12,6.70,6.59,-0.08,-1.20%,6.58,6.79,101568,6752.06,1.75%
2024-09-11,6.88,6.67,-0.22,-3.19%,6.66,6.88,112614,7576.09,1.94%
2024-09-10,6.87,6.89,0.01,0.15%,6.65,6.92,145642,9860.70,2.50%
2024-09-09,7.05,6.88,-0.12,-1.71%,6.83,7.05,153536,10632.16,2.64%
2024-09-06,7.09,7.00,-0.17,-2.37%,6.96,7.17,149175,10511.64,2.56%
2024-09-05,7.10,7.17,0.09,1.27%,7.00,7.25,208988,14908.44,3.59%
2024-09-04,7.19,7.08,-0.14,-1.94%,7.00,7.29,257515,18268.57,4.43%
2024-09-03,7.10,7.22,0.08,1.12%,7.06,7.40,346790,25118.66,5.96%
2024-09-02,7.03,7.14,0.08,1.13%,7.03,7.31,427831,30662.09,7.35%
2024-08-30,7.02,7.06,0.18,2.62%,6.98,7.23,532928,37807.23,9.16%
2024-08-29,6.22,6.88,0.63,10.08%,6.18,6.88,289728,19393.21,4.98%
2024-08-28,6.28,6.25,-0.08,-1.26%,6.15,6.36,92212,5751.40,1.58%
2024-08-27,6.64,6.33,-0.33,-4.95%,6.31,6.64,126718,8141.73,2.18%
2024-08-26,6.54,6.66,0.12,1.83%,6.50,6.70,114847,7592.82,1.97%
2024-08-23,6.45,6.54,0.04,0.62%,6.30,6.60,119983,7749.85,2.06%
2024-08-22,6.69,6.50,-0.29,-4.27%,6.49,6.76,192934,12718.21,3.31%
2024-08-21,6.82,6.79,-0.14,-2.02%,6.77,7.00,239285,16425.66,4.11%
2024-08-20,6.73,6.93,0.27,4.05%,6.72,7.33,369184,25834.93,6.34%
2024-08-19,6.81,6.66,-0.16,-2.35%,6.64,6.83,102097,6859.82,1.75%
2024-08-16,6.73,6.82,0.11,1.64%,6.70,6.89,151216,10301.65,2.60%
2024-08-15,6.52,6.71,0.15,2.29%,6.47,6.75,127803,8504.58,2.19%
2024-08-14,6.52,6.56,0.05,0.77%,6.49,6.60,68299,4481.42,1.17%
2024-08-13,6.43,6.51,0.08,1.24%,6.40,6.53,51133,3306.80,0.88%
2024-08-12,6.51,6.43,-0.13,-1.98%,6.40,6.55,67046,4333.38,1.15%
2024-08-09,6.56,6.56,0.06,0.92%,6.53,6.64,81404,5362.48,1.40%
2024-08-08,6.49,6.50,-0.05,-0.76%,6.43,6.62,89676,5834.91,1.54%
2024-08-07,6.46,6.55,0.09,1.39%,6.43,6.74,116845,7698.60,2.01%
2024-08-06,6.50,6.46,0.10,1.57%,6.37,6.55,68845,4430.97,1.18%
2024-08-05,6.66,6.36,-0.34,-5.07%,6.36,6.70,129356,8438.49,2.22%
2024-08-02,6.82,6.70,-0.20,-2.90%,6.68,6.90,103221,7006.71,1.77%
2024-08-01,6.87,6.90,0.04,0.58%,6.83,6.96,115031,7932.67,1.98%
2024-07-31,6.55,6.86,0.24,3.63%,6.54,6.89,132171,8951.25,2.27%
2024-07-30,6.52,6.62,0.07,1.07%,6.44,6.64,74683,4900.07,1.28%
2024-07-29,6.53,6.55,0.04,0.61%,6.47,6.60,66687,4354.45,1.15%
2024-07-26,6.38,6.51,0.13,2.04%,6.38,6.55,71840,4663.39,1.23%
2024-07-25,6.41,6.38,-0.11,-1.69%,6.27,6.48,92164,5875.72,1.58%
2024-07-24,6.60,6.49,-0.13,-1.96%,6.49,6.71,99114,6523.75,1.70%
2024-07-23,6.82,6.62,-0.19,-2.79%,6.62,6.84,97039,6520.68,1.67%
2024-07-22,6.82,6.81,0.03,0.44%,6.69,6.86,97339,6598.13,1.67%
2024-07-19,6.70,6.78,0.04,0.59%,6.68,6.88,102589,6981.37,1.76%
2024-07-18,6.80,6.74,-0.18,-2.60%,6.55,6.85,135699,9071.42,2.33%
2024-07-17,7.09,6.92,-0.22,-3.08%,6.91,7.16,112341,7877.28,1.93%
2024-07-16,6.99,7.14,0.11,1.56%,6.96,7.18,111393,7898.70,1.91%
2024-07-15,7.16,7.03,-0.13,-1.82%,6.98,7.21,131010,9251.25,2.25%
2024-07-12,7.10,7.16,0.01,0.14%,7.03,7.20,150828,10734.37,2.59%
2024-07-11,7.00,7.15,0.26,3.77%,6.88,7.15,220686,15560.83,3.79%
2024-07-10,6.85,6.89,0.03,0.44%,6.78,6.97,146611,10097.38,2.52%
2024-07-09,6.48,6.86,0.36,5.54%,6.46,6.87,213643,14305.33,3.67%
2024-07-08,6.69,6.50,-0.19,-2.84%,6.47,6.73,120053,7886.45,2.06%
2024-07-05,6.78,6.69,-0.14,-2.05%,6.62,6.82,145321,9738.38,2.50%
2024-07-04,6.97,6.83,-0.15,-2.15%,6.81,7.13,158160,11032.04,2.72%
2024-07-03,7.05,6.98,-0.14,-1.97%,6.93,7.10,138289,9694.19,2.37%
2024-07-02,7.18,7.12,-0.10,-1.39%,7.07,7.22,144307,10285.62,2.48%
2024-07-01,7.30,7.22,-0.08,-1.10%,7.08,7.31,159093,11421.30,2.73%
2024-06-28,7.07,7.30,0.25,3.55%,6.98,7.46,264626,19265.92,4.54%
2024-06-27,7.18,7.05,-0.19,-2.62%,7.04,7.36,190208,13681.50,3.27%
2024-06-26,7.05,7.24,0.20,2.84%,6.83,7.25,224397,15873.26,3.85%
2024-06-25,7.32,7.04,-0.21,-2.90%,6.96,7.38,238513,16896.51,4.10%
2024-06-24,7.44,7.25,-0.28,-3.72%,7.22,7.73,280453,20966.95,4.82%
2024-06-21,7.61,7.53,-0.27,-3.46%,7.10,7.64,304036,22762.65,5.22%
2024-06-20,7.95,7.80,-0.32,-3.94%,7.80,8.16,314631,25062.35,5.40%
2024-06-19,8.05,8.12,-0.01,-0.12%,7.90,8.24,396247,31952.00,6.80%
2024-06-18,8.31,8.13,-0.22,-2.63%,8.10,8.32,454265,37096.14,7.80%
2024-06-17,8.03,8.35,0.32,3.99%,8.03,8.48,620801,51121.08,10.66%
