日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,7.18,8.07,1.33,19.73%,7.03,8.08,3350552,251335.11,31.96%
2024-09-27,6.24,6.74,0.57,9.24%,6.20,6.95,2532088,165045.39,24.16%
2024-09-26,6.06,6.17,0.07,1.15%,6.00,6.19,1815218,110748.95,17.32%
2024-09-25,5.96,6.10,0.15,2.52%,5.95,6.28,2438716,150030.95,23.26%
2024-09-24,5.77,5.95,-0.07,-1.16%,5.58,5.95,2384650,137782.69,22.75%
2024-09-23,5.93,6.02,0.12,2.03%,5.80,6.13,2209936,132207.47,21.08%
2024-09-20,5.81,5.90,0.10,1.72%,5.77,5.96,1899476,111273.06,18.12%
2024-09-19,5.76,5.80,0.01,0.17%,5.66,5.84,1360146,78432.38,12.98%
2024-09-18,5.80,5.79,0.09,1.58%,5.61,5.91,1375744,79248.23,13.12%
2024-09-13,5.90,5.70,-0.19,-3.23%,5.68,5.92,1147601,65904.03,10.95%
2024-09-12,6.10,5.89,-0.19,-3.13%,5.88,6.14,1341494,80312.38,12.80%
2024-09-11,6.27,6.08,-0.17,-2.72%,6.06,6.32,1281737,78902.01,12.23%
2024-09-10,6.40,6.25,-0.20,-3.10%,6.00,6.47,1842070,113323.73,17.57%
2024-09-09,6.60,6.45,-0.15,-2.27%,6.38,6.82,1755037,114295.40,16.74%
2024-09-06,6.84,6.60,-0.36,-5.17%,6.60,7.12,2517618,171456.48,24.02%
2024-09-05,6.90,6.96,-0.09,-1.28%,6.79,7.19,2375604,164905.47,22.66%
2024-09-04,7.05,7.05,-0.14,-1.95%,6.91,7.70,3002414,216692.09,28.64%
2024-09-03,7.20,7.19,-0.25,-3.36%,6.96,7.34,2591691,185427.41,24.72%
2024-09-02,8.16,7.44,-0.29,-3.75%,7.35,8.26,4264748,329376.47,40.68%
2024-08-30,6.75,7.73,1.29,20.03%,6.71,7.73,2317157,168518.34,22.11%
2024-08-29,6.78,6.44,-0.60,-8.52%,6.24,7.05,3470081,229676.42,33.10%
2024-08-28,6.75,7.04,0.42,6.34%,6.52,7.25,3612367,250928.95,34.46%
2024-08-27,7.28,6.62,-0.92,-12.20%,6.58,7.33,4355946,300528.56,41.55%
2024-08-26,8.38,7.54,-1.20,-13.73%,7.33,8.57,4880010,389413.16,46.55%
2024-08-23,7.91,8.74,1.07,13.95%,7.91,9.10,5282482,445807.16,50.39%
2024-08-22,8.25,7.67,-0.66,-7.92%,7.62,8.63,4916594,399885.00,46.90%
2024-08-21,7.80,8.33,0.68,8.89%,7.80,8.84,5358964,446017.34,51.12%
2024-08-20,6.70,7.65,0.32,4.37%,6.20,8.27,5607960,409767.72,53.50%
2024-08-19,6.60,7.33,1.22,19.97%,6.49,7.33,5200176,363519.41,49.61%
2024-08-16,5.12,6.11,1.02,20.04%,5.12,6.11,3008609,176750.48,28.70%
2024-08-15,4.69,5.09,0.32,6.71%,4.68,5.20,1489316,74176.94,14.21%
2024-08-14,4.63,4.77,0.21,4.61%,4.59,4.90,936117,44799.81,8.93%
2024-08-13,4.49,4.56,0.09,2.01%,4.47,4.57,206511,9348.46,1.97%
2024-08-12,4.51,4.47,-0.08,-1.76%,4.45,4.55,181119,8142.78,1.73%
2024-08-09,4.57,4.55,0.01,0.22%,4.54,4.64,256295,11761.26,2.44%
2024-08-08,4.49,4.54,0.01,0.22%,4.43,4.59,264318,11918.95,2.52%
2024-08-07,4.49,4.53,0.01,0.22%,4.49,4.59,238077,10824.04,2.27%
2024-08-06,4.53,4.52,0.07,1.57%,4.46,4.57,259706,11701.10,2.48%
2024-08-05,4.58,4.45,-0.20,-4.30%,4.45,4.67,365521,16668.90,3.49%
2024-08-02,4.76,4.65,-0.19,-3.93%,4.64,4.80,465794,22020.70,4.44%
2024-08-01,4.70,4.84,0.14,2.98%,4.70,4.95,781923,37798.79,7.46%
2024-07-31,4.55,4.70,0.14,3.07%,4.54,4.70,377582,17543.13,3.60%
2024-07-30,4.46,4.56,0.06,1.33%,4.44,4.59,260221,11778.25,2.48%
2024-07-29,4.49,4.50,0.02,0.45%,4.45,4.55,187030,8414.05,1.78%
2024-07-26,4.39,4.48,0.08,1.82%,4.38,4.51,209199,9343.10,2.00%
2024-07-25,4.36,4.40,0.00,0.00%,4.32,4.47,222641,9767.15,2.12%
2024-07-24,4.42,4.40,-0.08,-1.79%,4.40,4.53,273606,12183.97,2.61%
2024-07-23,4.62,4.48,-0.18,-3.86%,4.48,4.65,387034,17659.89,3.69%
2024-07-22,4.62,4.66,0.19,4.25%,4.54,4.77,612519,28480.47,5.84%
2024-07-19,4.34,4.47,0.07,1.59%,4.32,4.53,284823,12732.71,2.72%
2024-07-18,4.41,4.40,-0.05,-1.12%,4.22,4.55,383485,16666.57,3.66%
2024-07-17,4.56,4.45,-0.15,-3.26%,4.45,4.59,236819,10689.49,2.26%
2024-07-16,4.52,4.60,0.09,2.00%,4.47,4.62,218886,9977.79,2.09%
2024-07-15,4.61,4.51,-0.12,-2.59%,4.50,4.64,190167,8654.27,1.81%
2024-07-12,4.66,4.63,-0.05,-1.07%,4.61,4.67,213831,9910.91,2.04%
2024-07-11,4.66,4.68,0.13,2.86%,4.61,4.71,339147,15833.93,3.23%
2024-07-10,4.56,4.55,-0.02,-0.44%,4.52,4.60,253358,11573.86,2.42%
2024-07-09,4.38,4.57,0.19,4.34%,4.35,4.58,318861,14292.62,3.04%
2024-07-08,4.51,4.38,-0.13,-2.88%,4.37,4.53,220455,9781.87,2.10%
2024-07-05,4.45,4.51,0.04,0.89%,4.39,4.54,210915,9437.70,2.01%
2024-07-04,4.64,4.47,-0.16,-3.46%,4.47,4.68,255256,11624.90,2.43%
2024-07-03,4.66,4.63,-0.06,-1.28%,4.61,4.70,246450,11449.64,2.35%
2024-07-02,4.66,4.69,0.03,0.64%,4.63,4.74,274423,12864.85,2.62%
2024-07-01,4.68,4.66,0.03,0.65%,4.55,4.69,251394,11615.62,2.40%
2024-06-28,4.52,4.63,0.09,1.98%,4.51,4.71,329824,15331.98,3.15%
2024-06-27,4.63,4.54,-0.15,-3.20%,4.54,4.71,319280,14757.85,3.05%
2024-06-26,4.50,4.69,0.21,4.69%,4.40,4.69,343186,15675.86,3.27%
2024-06-25,4.62,4.48,-0.12,-2.61%,4.44,4.68,366760,16634.35,3.50%
2024-06-24,4.77,4.60,-0.25,-5.15%,4.59,4.83,474204,22237.47,4.52%
2024-06-21,4.80,4.85,-0.05,-1.02%,4.76,4.90,460202,22266.11,4.39%
2024-06-20,5.06,4.90,-0.28,-5.41%,4.89,5.12,938452,47076.49,8.95%
2024-06-19,4.97,5.18,0.23,4.65%,4.88,5.28,1129528,57427.28,10.77%
2024-06-18,4.85,4.95,0.10,2.06%,4.84,4.96,426358,20964.64,4.07%
2024-06-17,4.79,4.85,0.05,1.04%,4.76,4.88,344603,16706.81,3.29%
2024-06-14,4.76,4.80,0.00,0.00%,4.71,4.83,313778,14945.89,2.99%
2024-06-13,4.82,4.80,0.00,0.00%,4.77,4.86,396614,19071.43,3.78%
2024-06-12,4.65,4.80,0.11,2.35%,4.64,4.83,512574,24429.91,4.89%
2024-06-11,4.50,4.69,0.19,4.22%,4.40,4.72,482840,22240.16,4.61%
2024-06-07,4.51,4.50,0.09,2.04%,4.43,4.57,369629,16653.06,3.53%
2024-06-06,4.59,4.41,-0.18,-3.92%,4.39,4.76,483701,21984.81,4.61%
2024-06-05,4.70,4.59,-0.15,-3.16%,4.59,4.78,352419,16529.49,3.36%
2024-06-04,4.91,4.74,-0.21,-4.24%,4.65,4.92,558673,26546.75,5.33%
2024-06-03,4.87,4.95,0.10,2.06%,4.85,5.03,700013,34667.54,6.68%
2024-05-31,4.76,4.85,0.09,1.89%,4.73,4.92,419578,20390.61,4.00%
2024-05-30,4.68,4.76,0.03,0.63%,4.62,4.81,319958,15160.91,3.05%
