日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,32.51,35.99,4.54,14.44%,32.50,36.56,127369,44249.93,4.57%
2024-09-27,29.68,31.45,2.15,7.34%,29.67,31.79,58399,18005.51,2.10%
2024-09-26,27.89,29.30,1.33,4.76%,27.88,29.35,35249,10085.89,1.27%
2024-09-25,28.09,27.97,-0.05,-0.18%,27.91,28.85,30940,8786.79,1.11%
2024-09-24,26.99,28.02,1.22,4.55%,26.73,28.10,35275,9725.41,1.27%
2024-09-23,27.15,26.80,-0.32,-1.18%,26.80,27.50,19771,5349.38,0.71%
2024-09-20,26.98,27.12,0.07,0.26%,26.71,27.21,28268,7630.63,1.02%
2024-09-19,26.52,27.05,-1.45,-5.09%,26.06,27.80,73275,19726.56,2.63%
2024-09-18,29.00,28.50,0.20,0.71%,28.24,29.35,22215,6388.65,0.80%
2024-09-13,28.70,28.30,-0.43,-1.50%,28.27,28.95,9252,2639.67,0.33%
2024-09-12,29.34,28.73,-0.41,-1.41%,28.73,29.48,9446,2740.93,0.34%
2024-09-11,28.90,29.14,-0.02,-0.07%,28.87,29.30,8988,2612.96,0.32%
2024-09-10,28.53,29.16,0.56,1.96%,28.35,29.26,13432,3861.84,0.48%
2024-09-09,28.78,28.60,-0.18,-0.63%,28.53,29.09,10139,2919.91,0.36%
2024-09-06,29.35,28.78,-0.57,-1.94%,28.78,29.48,11958,3468.79,0.43%
2024-09-05,29.32,29.35,0.03,0.10%,29.30,29.79,10366,3052.56,0.37%
2024-09-04,29.08,29.32,0.24,0.83%,28.74,29.68,17319,5072.99,0.62%
2024-09-03,28.89,29.08,0.04,0.14%,28.84,29.40,11540,3364.50,0.41%
2024-09-02,29.82,29.04,-0.64,-2.16%,29.03,29.99,15459,4550.76,0.56%
2024-08-30,28.90,29.68,0.66,2.27%,28.90,30.14,22440,6683.25,0.81%
2024-08-29,28.57,29.02,0.38,1.33%,28.30,29.22,15534,4500.92,0.56%
2024-08-28,28.28,28.64,0.50,1.78%,28.10,28.68,16301,4646.26,0.59%
2024-08-27,30.00,28.14,-1.93,-6.42%,27.23,30.00,50146,14235.10,1.80%
2024-08-26,30.20,30.07,-0.14,-0.46%,30.04,30.60,10370,3132.42,0.37%
2024-08-23,29.97,30.21,0.16,0.53%,29.93,30.36,13159,3967.57,0.47%
2024-08-22,30.83,30.05,-0.74,-2.40%,30.01,30.91,19140,5834.77,0.69%
2024-08-21,30.80,30.79,-0.17,-0.55%,30.73,31.16,10015,3099.97,0.36%
2024-08-20,31.38,30.96,-0.29,-0.93%,30.83,31.38,15956,4947.11,0.57%
2024-08-19,30.83,31.25,0.25,0.81%,30.81,31.55,17370,5434.03,0.62%
2024-08-16,31.01,31.00,0.01,0.03%,30.91,31.42,15456,4811.44,0.56%
2024-08-15,30.49,30.99,0.36,1.18%,30.48,31.48,18410,5724.30,0.66%
2024-08-14,31.00,30.63,-0.32,-1.03%,30.63,31.05,10255,3158.40,0.37%
2024-08-13,30.52,30.95,0.34,1.11%,30.52,30.96,11334,3484.32,0.41%
2024-08-12,30.81,30.61,-0.29,-0.94%,30.46,31.04,12474,3830.42,0.45%
2024-08-09,31.64,30.90,-0.25,-0.80%,30.89,31.77,14431,4521.59,0.52%
2024-08-08,30.78,31.15,0.06,0.19%,30.58,31.50,18506,5747.33,0.66%
2024-08-07,31.04,31.09,-0.09,-0.29%,30.94,31.41,14057,4386.22,0.50%
2024-08-06,31.33,31.18,0.32,1.04%,30.80,31.48,19292,5985.64,0.69%
2024-08-05,31.54,30.86,-1.26,-3.92%,30.86,32.12,32537,10219.68,1.17%
