日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,12.10,13.38,1.71,14.65%,12.04,13.59,393747,50122.47,5.56%
2024-09-27,11.09,11.67,0.69,6.28%,11.08,11.84,225561,25794.77,3.18%
2024-09-26,10.72,10.98,0.16,1.48%,10.66,10.99,150556,16315.72,2.12%
2024-09-25,10.61,10.82,0.22,2.08%,10.59,10.87,200536,21562.65,2.83%
2024-09-24,10.30,10.60,0.45,4.43%,10.14,10.62,171391,17843.74,2.42%
2024-09-23,9.99,10.15,0.16,1.60%,9.95,10.32,98347,10001.18,1.39%
2024-09-20,10.14,9.99,-0.14,-1.38%,9.91,10.19,72217,7250.02,1.02%
2024-09-19,9.99,10.13,0.26,2.63%,9.82,10.19,82329,8285.34,1.16%
2024-09-18,9.97,9.87,-0.06,-0.60%,9.67,9.99,63569,6241.67,0.90%
2024-09-13,10.14,9.93,-0.15,-1.49%,9.93,10.14,61690,6183.73,0.87%
2024-09-12,10.18,10.08,-0.03,-0.30%,10.08,10.27,62467,6354.24,0.88%
2024-09-11,10.22,10.11,-0.09,-0.88%,10.04,10.24,56432,5725.54,0.80%
2024-09-10,10.06,10.20,0.17,1.69%,9.93,10.29,80720,8141.91,1.14%
2024-09-09,10.00,10.03,-0.06,-0.59%,9.95,10.18,72448,7273.45,1.02%
2024-09-06,10.45,10.09,-0.32,-3.07%,10.07,10.45,106668,10928.09,1.51%
2024-09-05,10.34,10.41,0.13,1.26%,10.27,10.52,92834,9650.97,1.31%
2024-09-04,10.25,10.28,-0.07,-0.68%,10.23,10.41,69014,7115.09,0.97%
2024-09-03,10.28,10.35,0.15,1.47%,10.23,10.55,91982,9502.64,1.30%
2024-09-02,10.60,10.20,-0.40,-3.77%,10.18,10.67,125948,13097.22,1.78%
2024-08-30,10.54,10.60,0.08,0.76%,10.49,10.82,168158,17993.30,2.37%
2024-08-29,10.31,10.52,0.19,1.84%,10.24,10.64,84756,8892.53,1.20%
2024-08-28,10.25,10.33,0.03,0.29%,10.24,10.53,74956,7767.92,1.06%
2024-08-27,10.75,10.30,-0.55,-5.07%,10.30,10.76,137621,14398.50,1.94%
