日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,9.90,10.98,1.83,20.00%,9.30,10.98,717883,74090.95,23.85%
2024-09-27,8.54,9.15,0.80,9.58%,8.30,9.58,673010,59436.46,22.36%
2024-09-26,7.95,8.35,0.23,2.83%,7.91,8.43,511281,42051.10,16.99%
2024-09-25,8.23,8.12,-0.20,-2.40%,8.11,9.08,768980,65236.39,25.55%
2024-09-24,7.65,8.32,0.69,9.04%,7.44,8.66,777500,62143.64,25.83%
2024-09-23,7.51,7.63,-0.17,-2.18%,7.28,7.79,603478,45611.44,20.05%
2024-09-20,7.45,7.80,0.36,4.84%,7.21,7.91,904694,68455.31,30.06%
2024-09-19,6.28,7.44,1.24,20.00%,6.24,7.44,743109,53077.19,24.69%
2024-09-18,6.43,6.20,-0.28,-4.32%,6.09,6.52,180420,11298.47,5.99%
2024-09-13,6.74,6.48,-0.26,-3.86%,6.42,6.77,232217,15336.34,7.72%
2024-09-12,6.41,6.74,0.35,5.48%,6.33,6.78,349352,23068.76,11.61%
2024-09-11,6.50,6.39,-0.12,-1.84%,6.30,6.54,149752,9597.25,4.98%
2024-09-10,6.49,6.51,0.08,1.24%,6.25,6.54,177394,11331.06,5.89%
2024-09-09,6.44,6.43,-0.09,-1.38%,6.22,6.62,207694,13417.99,6.90%
2024-09-06,6.51,6.52,0.02,0.31%,6.39,6.66,264392,17257.23,8.78%
2024-09-05,6.29,6.50,0.22,3.50%,6.28,6.58,248711,16092.21,8.26%
2024-09-04,6.21,6.28,-0.05,-0.79%,6.08,6.35,182435,11351.91,6.06%
2024-09-03,5.98,6.33,0.37,6.21%,5.98,6.34,235867,14590.50,7.84%
2024-09-02,6.21,5.96,-0.25,-4.03%,5.95,6.25,151310,9200.92,5.03%
2024-08-30,6.10,6.21,0.10,1.64%,6.04,6.34,220839,13742.35,7.34%
2024-08-29,5.76,6.11,0.29,4.98%,5.69,6.28,279613,16999.12,9.29%
2024-08-28,5.88,5.82,-0.10,-1.69%,5.79,6.03,137338,8110.05,4.56%
2024-08-27,6.10,5.92,-0.23,-3.74%,5.90,6.15,132070,7917.28,4.39%
2024-08-26,6.27,6.15,-0.18,-2.84%,6.08,6.28,148423,9138.98,4.93%
2024-08-23,6.37,6.33,-0.01,-0.16%,6.12,6.65,208031,13213.27,6.91%
2024-08-22,6.63,6.34,-0.33,-4.95%,6.32,6.75,211455,13709.36,7.02%
2024-08-21,6.63,6.67,0.02,0.30%,6.44,6.85,238917,15745.25,7.94%
2024-08-20,6.78,6.65,-0.13,-1.92%,6.51,6.99,257429,17193.94,8.55%
2024-08-19,6.77,6.78,-0.01,-0.15%,6.69,6.89,341402,23128.59,11.34%
2024-08-16,6.49,6.79,0.30,4.62%,6.45,6.93,507687,33903.83,16.87%
2024-08-15,5.64,6.49,0.78,13.66%,5.62,6.75,498786,31207.53,16.57%
2024-08-14,5.68,5.71,0.04,0.71%,5.62,5.80,137076,7828.64,4.55%
2024-08-13,5.67,5.67,0.01,0.18%,5.51,5.72,145822,8197.99,4.84%
2024-08-12,5.82,5.66,-0.24,-4.07%,5.57,5.88,204323,11595.54,6.79%
2024-08-09,6.19,5.90,-0.26,-4.22%,5.85,6.23,206958,12447.20,6.88%
2024-08-08,6.32,6.16,-0.17,-2.69%,6.07,6.32,201153,12406.76,6.68%
2024-08-07,6.44,6.33,-0.16,-2.47%,6.32,6.53,165750,10592.00,5.51%
2024-08-06,6.39,6.49,0.19,3.02%,6.27,6.49,194999,12450.81,6.48%
2024-08-05,6.52,6.30,-0.36,-5.41%,6.29,6.72,224985,14575.64,7.47%
2024-08-02,6.69,6.66,-0.16,-2.35%,6.62,6.96,251529,16993.82,8.36%
2024-08-01,6.90,6.82,-0.19,-2.71%,6.78,7.00,352953,24255.32,11.73%
2024-07-31,6.72,7.01,0.13,1.89%,6.63,7.08,464109,31927.17,15.42%
2024-07-30,6.70,6.88,0.14,2.08%,6.61,7.08,502550,34468.28,16.69%
2024-07-29,6.96,6.74,-0.16,-2.32%,6.66,7.56,675204,47126.83,22.43%
2024-07-26,6.43,6.90,0.47,7.31%,6.30,6.90,590880,39207.21,19.63%
2024-07-25,5.88,6.43,0.58,9.91%,5.69,6.75,507821,31647.13,16.87%
2024-07-24,6.01,5.85,-0.19,-3.15%,5.81,6.14,234774,13928.00,7.80%
