日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,56.00,62.64,10.44,20.00%,54.60,62.64,183710,108303.64,8.74%
2024-09-27,48.31,52.20,4.88,10.31%,48.06,53.00,111888,56658.46,5.33%
2024-09-26,44.97,47.32,2.37,5.27%,44.82,47.32,62574,28857.89,2.98%
2024-09-25,44.51,44.95,0.87,1.97%,44.40,46.18,57926,26339.35,2.76%
2024-09-24,42.40,44.08,1.97,4.68%,42.01,44.08,44555,19242.66,2.12%
2024-09-23,42.61,42.11,-0.50,-1.17%,41.95,43.08,23625,10034.47,1.12%
2024-09-20,43.07,42.61,-0.44,-1.02%,42.20,43.30,23164,9875.10,1.10%
2024-09-19,42.90,43.05,0.63,1.49%,42.41,43.85,30420,13109.18,1.45%
2024-09-18,43.34,42.42,-0.82,-1.90%,42.09,43.80,23927,10202.10,1.14%
2024-09-13,44.70,43.24,-1.29,-2.90%,43.22,44.82,26810,11754.29,1.28%
2024-09-12,44.90,44.53,-0.21,-0.47%,44.53,45.65,29386,13227.59,1.40%
2024-09-11,44.60,44.74,-0.07,-0.16%,44.38,44.89,16248,7247.55,0.77%
2024-09-10,44.50,44.81,0.45,1.01%,43.68,45.10,27729,12317.07,1.32%
2024-09-09,43.68,44.36,0.34,0.77%,43.68,44.43,25264,11142.86,1.20%
2024-09-06,45.24,44.02,-1.23,-2.72%,43.98,45.49,28801,12857.56,1.37%
2024-09-05,44.72,45.25,0.44,0.98%,44.72,45.65,26506,11981.42,1.26%
2024-09-04,44.50,44.81,-0.20,-0.44%,44.46,45.53,29011,13068.47,1.38%
2024-09-03,44.49,45.01,0.43,0.96%,44.49,45.55,28273,12730.15,1.35%
2024-09-02,46.50,44.58,-2.13,-4.56%,44.53,47.10,40605,18509.64,1.93%
2024-08-30,44.69,46.71,1.24,2.73%,43.52,47.29,66037,30444.18,3.14%
2024-08-29,45.80,45.47,-0.75,-1.62%,44.70,47.08,50678,23371.05,2.41%
2024-08-28,46.18,46.22,0.04,0.09%,45.61,46.64,21785,10052.86,1.04%
2024-08-27,46.55,46.18,-0.75,-1.60%,46.13,46.87,25138,11657.10,1.20%
