日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,60.80,68.95,11.27,19.54%,59.98,69.14,204831,131186.73,8.38%
2024-09-27,51.97,57.68,6.10,11.83%,51.65,59.30,199590,109485.13,8.16%
2024-09-26,48.58,51.58,3.22,6.66%,47.65,51.63,165083,81257.62,6.75%
2024-09-25,49.59,48.36,-0.31,-0.64%,48.32,51.33,159896,79908.15,6.54%
2024-09-24,45.65,48.67,3.22,7.08%,44.47,48.78,141627,66365.58,5.79%
2024-09-23,45.40,45.45,0.08,0.18%,44.92,47.25,85640,39368.20,3.50%
2024-09-20,44.95,45.37,0.70,1.57%,44.86,46.50,73411,33470.39,3.00%
2024-09-19,45.21,44.67,-0.54,-1.19%,44.31,45.85,64471,28969.90,2.64%
2024-09-18,45.33,45.21,-0.19,-0.42%,44.22,45.84,48738,21937.91,1.99%
2024-09-13,45.32,45.40,0.08,0.18%,45.32,46.97,79301,36577.27,3.24%
2024-09-12,48.20,45.32,-1.73,-3.68%,45.30,48.30,84362,39171.11,3.45%
2024-09-11,46.59,47.05,0.43,0.92%,46.33,48.36,65862,31123.82,2.69%
2024-09-10,46.60,46.62,-0.10,-0.21%,45.70,47.08,48302,22378.28,1.98%
2024-09-09,46.50,46.72,0.10,0.21%,45.75,47.00,51828,24056.62,2.12%
2024-09-06,47.85,46.62,-1.12,-2.35%,46.62,48.01,50114,23659.32,2.05%
2024-09-05,47.88,47.74,0.12,0.25%,46.96,48.80,60584,28987.28,2.48%
2024-09-04,47.39,47.62,-0.99,-2.04%,46.80,48.40,58424,27753.61,2.39%
2024-09-03,48.09,48.61,0.25,0.52%,47.92,49.30,75624,36752.68,3.09%
2024-09-02,52.47,48.36,-3.18,-6.17%,48.36,52.85,98539,48770.15,4.03%
2024-08-30,49.40,51.54,1.82,3.66%,49.03,52.46,127514,65344.33,5.21%
2024-08-29,48.75,49.72,0.17,0.34%,47.20,50.88,96532,47301.86,3.95%
2024-08-28,49.80,49.55,-0.45,-0.90%,49.24,50.76,55938,27851.82,2.29%
2024-08-27,51.99,50.00,-2.41,-4.60%,49.58,52.00,88021,44173.78,3.60%
2024-08-26,52.92,52.41,0.46,0.89%,52.00,53.50,61682,32455.68,2.52%
2024-08-23,52.12,51.95,-0.70,-1.33%,51.71,52.73,33959,17688.34,1.38%
2024-08-22,52.98,52.65,-0.34,-0.64%,51.65,53.16,44743,23474.31,1.82%
2024-08-21,52.86,52.99,-0.01,-0.02%,52.69,54.22,42648,22724.67,1.74%
2024-08-20,54.50,53.00,-0.69,-1.29%,52.79,54.75,41375,22177.04,1.69%
2024-08-19,54.37,53.69,-1.07,-1.95%,53.60,55.19,54060,29289.86,2.20%
2024-08-16,54.70,54.76,0.40,0.74%,54.45,56.18,64209,35578.74,2.62%
2024-08-15,55.52,54.36,-1.44,-2.58%,54.03,56.02,75920,41626.95,3.10%
2024-08-14,55.35,55.80,0.67,1.22%,55.24,57.38,88335,49844.84,3.60%
2024-08-13,55.10,55.13,0.05,0.09%,54.48,56.80,71555,39773.34,2.92%
2024-08-12,55.58,55.08,-0.52,-0.94%,54.78,56.80,88275,49107.67,3.60%
2024-08-09,56.00,55.60,2.33,4.37%,54.30,58.00,143043,79897.45,5.83%
2024-08-08,52.50,53.27,0.12,0.23%,51.52,53.83,61557,32470.86,2.51%
2024-08-07,53.00,53.15,-0.13,-0.24%,52.37,54.84,79258,42447.76,3.23%
2024-08-06,54.50,53.28,0.29,0.55%,52.30,54.95,90851,48401.33,3.70%
2024-08-05,56.50,52.99,-5.41,-9.26%,52.98,57.39,126942,69822.74,5.18%
2024-08-02,62.60,58.40,-5.84,-9.09%,58.01,63.63,170706,103194.73,6.96%
2024-08-01,66.65,64.24,-0.44,-0.68%,64.20,66.69,77470,50417.08,3.16%
2024-07-31,62.38,64.68,1.60,2.54%,61.50,65.50,89332,56797.41,3.64%
2024-07-30,64.50,63.08,-2.07,-3.18%,62.50,64.58,74409,47054.73,3.03%
2024-07-29,64.46,65.15,0.49,0.76%,63.32,65.87,68347,44212.49,2.79%
2024-07-26,64.83,64.66,-0.02,-0.03%,63.24,65.35,59188,38094.22,2.41%
2024-07-25,66.00,64.68,-2.20,-3.29%,62.81,66.03,105370,67507.77,4.30%
2024-07-24,67.75,66.88,-0.64,-0.95%,65.80,70.50,111578,75555.54,4.55%
2024-07-23,70.85,67.52,-0.87,-1.27%,67.10,72.35,120148,84220.43,4.90%
2024-07-22,68.00,68.39,0.34,0.50%,66.50,69.28,75728,51498.71,3.09%
2024-07-19,68.70,68.05,-1.43,-2.06%,67.62,70.05,74685,51170.94,3.05%
2024-07-18,69.15,69.48,-1.00,-1.42%,67.00,69.97,97792,67060.77,3.99%
2024-07-17,74.20,70.48,-3.77,-5.08%,70.30,75.23,114099,82361.27,4.65%
2024-07-16,73.97,74.25,-0.07,-0.09%,71.28,74.78,116599,85146.77,4.75%
2024-07-15,74.40,74.32,0.15,0.20%,72.08,75.48,84570,62692.49,3.45%
2024-07-12,70.00,74.17,1.64,2.26%,69.00,75.90,121680,88243.55,4.96%
2024-07-11,70.80,72.53,2.18,3.10%,68.68,72.66,124292,87860.83,5.07%
2024-07-10,67.50,70.35,2.56,3.78%,66.00,70.60,138553,94257.29,5.65%
2024-07-09,63.70,67.79,4.49,7.09%,62.18,68.12,128296,83771.20,5.23%
2024-07-08,64.78,63.30,-1.78,-2.74%,62.80,65.40,65692,42040.17,2.68%
2024-07-05,64.80,65.08,0.40,0.62%,62.77,65.40,75359,48363.92,3.07%
2024-07-04,63.71,64.68,1.01,1.59%,63.31,67.00,105246,68688.39,4.29%
2024-07-03,62.53,63.67,1.18,1.89%,62.20,66.50,118761,76736.78,4.84%
2024-07-02,60.58,62.49,1.27,2.07%,60.58,63.15,105060,65325.07,4.28%
2024-07-01,57.00,61.22,4.22,7.40%,56.90,61.35,95454,56581.34,3.89%
2024-06-28,54.55,57.00,2.35,4.30%,54.31,57.88,58403,33126.45,2.38%
2024-06-27,56.41,54.65,-2.00,-3.53%,54.55,57.20,46502,25903.11,1.90%
2024-06-26,56.22,56.65,1.27,2.29%,54.60,57.07,47736,26636.46,1.95%
2024-06-25,58.18,55.38,-2.80,-4.81%,55.01,58.26,88961,49919.97,3.63%
2024-06-24,59.85,58.18,-1.77,-2.95%,58.13,60.38,47713,28274.17,1.95%
2024-06-21,59.39,59.95,0.29,0.49%,58.24,60.66,42748,25535.79,1.75%
