日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,7.58,8.23,1.06,14.78%,7.32,8.27,333764,26106.56,10.12%
2024-09-27,6.95,7.17,0.37,5.44%,6.86,7.30,198932,14069.19,6.03%
2024-09-26,6.63,6.80,0.16,2.41%,6.60,6.80,104669,7046.03,3.17%
2024-09-25,6.59,6.64,0.07,1.07%,6.57,6.83,151590,10151.16,4.60%
2024-09-24,6.40,6.57,0.16,2.50%,6.29,6.57,107971,6969.89,3.28%
2024-09-23,6.33,6.41,0.08,1.26%,6.24,6.45,63054,4019.47,1.91%
2024-09-20,6.30,6.33,0.03,0.48%,6.26,6.46,82602,5233.27,2.51%
2024-09-19,6.25,6.30,0.09,1.45%,6.19,6.32,70037,4397.52,2.12%
2024-09-18,6.34,6.21,-0.12,-1.90%,6.07,6.39,76025,4697.30,2.31%
2024-09-13,6.48,6.33,-0.19,-2.91%,6.33,6.56,63273,4058.62,1.92%
2024-09-12,6.59,6.52,-0.04,-0.61%,6.49,6.64,60160,3946.11,1.82%
2024-09-11,6.54,6.56,-0.06,-0.91%,6.52,6.63,60531,3973.06,1.84%
2024-09-10,6.40,6.62,0.22,3.44%,6.33,6.62,91520,5943.62,2.78%
2024-09-09,6.64,6.40,-0.07,-1.08%,6.33,6.64,78978,5065.48,2.40%
2024-09-06,6.67,6.47,-0.21,-3.14%,6.47,6.68,78824,5159.22,2.39%
2024-09-05,6.51,6.68,0.16,2.45%,6.50,6.74,97553,6472.33,2.96%
2024-09-04,6.52,6.52,-0.09,-1.36%,6.43,6.58,77010,5012.23,2.34%
2024-09-03,6.50,6.61,0.13,2.01%,6.45,6.62,77934,5108.40,2.36%
2024-09-02,6.56,6.48,-0.04,-0.61%,6.48,6.67,108342,7129.74,3.29%
2024-08-30,6.37,6.52,0.14,2.19%,6.37,6.64,105061,6884.80,3.19%
2024-08-29,6.21,6.38,0.13,2.08%,6.17,6.40,72174,4565.11,2.19%
2024-08-28,6.14,6.25,0.09,1.46%,6.10,6.29,86858,5405.14,2.63%
2024-08-27,6.28,6.16,-0.18,-2.84%,6.13,6.37,89759,5579.94,2.72%
2024-08-26,6.29,6.34,0.07,1.12%,6.25,6.39,69226,4387.99,2.10%
2024-08-23,6.36,6.27,-0.08,-1.26%,6.21,6.42,96526,6084.09,2.93%
2024-08-22,6.48,6.35,-0.12,-1.85%,6.30,6.54,81496,5205.69,2.47%
2024-08-21,6.37,6.47,0.05,0.78%,6.37,6.61,85251,5550.57,2.59%
2024-08-20,6.53,6.42,-0.12,-1.83%,6.39,6.61,86302,5577.87,2.62%
2024-08-19,6.73,6.54,-0.23,-3.40%,6.52,6.79,134298,8897.97,4.07%
2024-08-16,6.76,6.77,0.03,0.45%,6.76,6.91,108822,7437.22,3.30%
2024-08-15,6.60,6.74,0.12,1.81%,6.51,6.78,112768,7540.70,3.42%
2024-08-14,6.56,6.62,0.07,1.07%,6.54,6.68,96389,6381.31,2.92%
2024-08-13,6.38,6.55,0.16,2.50%,6.35,6.57,88285,5717.10,2.68%
2024-08-12,6.42,6.39,-0.10,-1.54%,6.33,6.51,83040,5316.06,2.52%
2024-08-09,6.55,6.49,0.03,0.46%,6.48,6.65,98967,6489.38,3.00%
2024-08-08,6.54,6.46,-0.13,-1.97%,6.35,6.58,117488,7578.68,3.56%
2024-08-07,6.50,6.59,0.10,1.54%,6.48,6.67,118363,7800.98,3.59%
2024-08-06,6.52,6.49,0.07,1.09%,6.40,6.57,110119,7132.10,3.34%
2024-08-05,6.73,6.42,-0.41,-6.00%,6.40,6.81,171187,11321.99,5.19%
2024-08-02,7.03,6.83,-0.30,-4.21%,6.83,7.09,183819,12801.98,5.58%
2024-08-01,6.99,7.13,0.12,1.71%,6.96,7.16,204906,14539.00,6.22%
2024-07-31,6.86,7.01,0.14,2.04%,6.80,7.03,186848,12962.78,5.67%
2024-07-30,6.74,6.87,0.10,1.48%,6.69,6.89,125474,8569.86,3.81%
2024-07-29,6.73,6.77,0.05,0.74%,6.63,6.85,101758,6864.56,3.09%
2024-07-26,6.58,6.72,0.09,1.36%,6.57,6.76,102760,6870.81,3.12%
2024-07-25,6.57,6.63,0.02,0.30%,6.44,6.70,120027,7886.46,3.64%
2024-07-24,6.67,6.61,-0.11,-1.64%,6.60,6.84,135677,9084.92,4.12%
2024-07-23,6.90,6.72,-0.21,-3.03%,6.72,7.07,152909,10538.83,4.64%
2024-07-22,6.80,6.93,0.11,1.61%,6.74,6.99,163654,11243.44,4.97%
2024-07-19,6.59,6.82,0.21,3.18%,6.52,6.92,173792,11834.56,5.27%
2024-07-18,6.70,6.61,-0.20,-2.94%,6.42,6.72,208680,13700.77,6.33%
2024-07-17,7.22,6.81,-0.52,-7.09%,6.80,7.24,274964,19188.81,8.34%
2024-07-16,7.30,7.33,-0.01,-0.14%,7.19,7.47,301800,22012.93,9.16%
2024-07-15,7.11,7.34,0.30,4.26%,6.77,7.77,440635,31824.75,13.37%
2024-07-12,7.12,7.04,-0.15,-2.09%,6.95,7.21,259746,18317.92,7.88%
2024-07-11,7.17,7.19,0.13,1.84%,7.01,7.26,281632,20175.98,8.54%
2024-07-10,6.92,7.06,-0.01,-0.14%,6.86,7.23,291391,20528.22,8.84%
2024-07-09,6.83,7.07,0.32,4.74%,6.70,7.10,285784,19788.83,8.67%
