日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,36.30,40.72,5.52,15.68%,35.60,41.21,102520,38935.91,27.37%
2024-09-27,33.20,35.20,2.35,7.15%,32.87,37.50,81777,28015.12,21.83%
2024-09-26,32.36,32.85,1.76,5.66%,32.06,33.56,63532,20798.51,16.96%
2024-09-25,31.46,31.09,-0.38,-1.21%,31.06,32.20,41001,12993.25,10.94%
2024-09-24,30.06,31.47,0.92,3.01%,29.53,31.51,44631,13638.34,11.91%
2024-09-23,29.63,30.55,1.47,5.06%,29.20,30.88,35939,10872.37,9.59%
2024-09-20,29.14,29.08,0.00,0.00%,28.72,29.35,9390,2722.11,2.51%
2024-09-19,28.94,29.08,0.48,1.68%,28.60,29.30,12416,3602.02,3.31%
2024-09-18,29.21,28.60,-0.30,-1.04%,27.96,29.23,13166,3742.33,3.51%
2024-09-13,29.47,28.90,-0.68,-2.30%,28.90,29.68,14810,4320.86,3.95%
2024-09-12,30.20,29.58,-0.56,-1.86%,29.40,30.50,15734,4699.64,4.20%
2024-09-11,30.57,30.14,-0.55,-1.79%,30.02,30.57,10657,3222.57,2.84%
2024-09-10,30.35,30.69,0.34,1.12%,29.93,30.87,11931,3628.65,3.18%
2024-09-09,30.25,30.35,0.02,0.07%,29.91,30.75,10987,3329.01,2.93%
2024-09-06,31.34,30.33,-1.04,-3.32%,30.30,31.48,20078,6182.51,5.36%
2024-09-05,31.12,31.37,0.25,0.80%,31.07,31.69,13319,4174.65,3.56%
2024-09-04,31.00,31.12,-0.28,-0.89%,30.72,31.54,16321,5073.68,4.36%
2024-09-03,31.44,31.40,0.01,0.03%,31.10,31.80,16547,5199.78,4.42%
2024-09-02,32.80,31.39,-1.54,-4.68%,31.33,33.01,29380,9431.66,7.84%
2024-08-30,31.96,32.93,0.68,2.11%,31.95,33.63,43846,14526.77,11.70%
2024-08-29,31.40,32.25,0.85,2.71%,30.83,32.80,30968,9873.10,8.27%
2024-08-28,30.76,31.40,0.63,2.05%,30.31,32.13,23330,7274.97,6.23%
2024-08-27,32.30,30.77,-1.83,-5.61%,30.72,32.40,28532,8933.05,7.62%
2024-08-26,32.27,32.60,-0.27,-0.82%,32.27,32.84,18540,6030.66,4.95%
2024-08-23,31.88,32.87,0.62,1.92%,31.40,33.00,30358,9854.84,8.10%
2024-08-22,32.32,32.25,0.04,0.12%,32.05,33.35,27630,9034.32,7.38%
2024-08-21,31.80,32.21,0.21,0.66%,31.65,32.54,17479,5625.54,4.67%
2024-08-20,32.50,32.00,-0.32,-0.99%,31.85,32.80,19041,6119.53,5.08%
2024-08-19,33.00,32.32,-0.99,-2.97%,32.32,33.30,29892,9781.52,7.98%
2024-08-16,34.50,33.31,-0.55,-1.62%,33.21,34.52,31741,10794.07,8.47%
2024-08-15,33.34,33.86,0.25,0.74%,33.33,34.20,25320,8558.21,6.76%
2024-08-14,33.71,33.61,-0.34,-1.00%,33.53,34.49,22202,7542.56,5.93%
2024-08-13,33.62,33.95,0.63,1.89%,33.02,33.95,24668,8249.42,6.58%
2024-08-12,34.43,33.32,-1.54,-4.42%,33.13,34.51,35353,11902.87,9.44%
2024-08-09,35.20,34.86,-0.27,-0.77%,34.70,36.25,54075,19155.38,14.43%
2024-08-08,33.78,35.13,0.73,2.12%,32.16,35.18,62723,21045.34,16.74%
2024-08-07,35.00,34.40,-2.25,-6.14%,34.30,35.94,59933,21074.35,16.00%
2024-08-06,38.02,36.65,0.44,1.22%,35.68,38.97,55461,20555.76,14.80%
2024-08-05,36.16,36.21,-0.24,-0.66%,34.43,36.40,52851,18770.15,14.11%
2024-08-02,37.75,36.45,-2.35,-6.06%,36.45,38.33,73684,27636.95,19.67%
2024-08-01,37.11,38.80,1.48,3.97%,36.98,38.80,108279,41134.55,28.90%
2024-07-31,36.33,37.32,-0.09,-0.24%,36.01,37.90,97367,36188.10,25.99%
2024-07-30,34.87,37.41,1.91,5.38%,34.12,37.49,97180,34999.82,25.94%
2024-07-29,34.93,35.50,0.56,1.60%,34.88,35.94,62371,22128.33,16.65%
2024-07-26,36.00,34.94,-0.33,-0.94%,34.69,36.80,77744,27697.39,20.75%
2024-07-25,35.00,35.27,-0.80,-2.22%,34.60,36.20,71242,25194.94,19.02%
2024-07-24,37.12,36.07,-1.46,-3.89%,35.33,38.22,105173,38274.56,28.07%
2024-07-23,38.71,37.53,-1.97,-4.99%,37.11,39.30,126077,47925.27,33.65%
2024-07-22,40.63,39.50,0.85,2.20%,39.00,41.99,194057,78467.83,51.80%
2024-07-19,33.66,38.65,6.44,19.99%,33.30,38.65,119753,44359.82,31.97%
2024-07-18,31.90,32.21,-0.71,-2.16%,30.62,32.59,46268,14605.42,12.35%
2024-07-17,34.81,32.92,-1.57,-4.55%,32.58,34.88,42845,14419.63,11.44%
2024-07-16,33.99,34.49,0.01,0.03%,33.67,35.06,54855,18898.77,14.64%
2024-07-15,33.97,34.48,-0.11,-0.32%,33.69,35.16,44127,15127.08,11.78%
2024-07-12,32.93,34.59,1.14,3.41%,32.60,34.97,66074,22491.34,17.64%
2024-07-11,32.79,33.45,1.04,3.21%,32.31,33.60,50341,16614.04,13.44%
2024-07-10,40.89,42.10,0.66,1.59%,40.84,43.50,42089,17819.91,14.51%
2024-07-09,39.02,41.44,2.04,5.18%,39.02,41.60,30686,12440.97,10.58%
2024-07-08,39.60,39.40,-0.36,-0.91%,39.03,40.80,21371,8548.91,7.37%
2024-07-05,40.00,39.76,-0.49,-1.22%,38.88,40.44,21874,8638.46,7.54%
2024-07-04,41.81,40.25,-1.18,-2.85%,39.88,42.00,23730,9720.84,8.18%
2024-07-03,42.48,41.43,-0.67,-1.59%,40.84,42.48,20012,8294.03,6.90%
2024-07-02,43.19,42.10,-1.42,-3.26%,41.90,43.52,25361,10788.13,8.74%
2024-07-01,44.19,43.52,-1.13,-2.53%,42.24,44.99,33289,14394.24,11.48%
2024-06-28,44.59,44.65,0.73,1.66%,44.08,45.68,34775,15640.80,11.99%
2024-06-27,44.99,43.92,-1.18,-2.62%,43.90,46.33,38563,17413.28,13.30%
2024-06-26,43.50,45.10,1.15,2.62%,42.13,45.48,37495,16558.82,12.93%
2024-06-25,44.33,43.95,-0.31,-0.70%,42.99,45.67,40290,17855.19,13.89%
2024-06-24,46.10,44.26,-3.26,-6.86%,44.20,46.71,46835,21215.79,16.15%
2024-06-21,46.72,47.52,0.80,1.71%,46.01,47.90,46667,21960.09,16.09%
2024-06-20,48.31,46.72,-2.66,-5.39%,46.55,48.97,70342,33423.42,24.26%
2024-06-19,49.09,49.38,1.51,3.15%,49.09,52.00,106946,53815.53,36.88%
2024-06-18,47.77,47.87,-0.47,-0.97%,46.01,48.30,70791,33589.01,24.41%
2024-06-17,46.10,48.34,1.65,3.53%,45.85,49.10,84672,40097.14,29.20%
2024-06-14,46.30,46.69,0.69,1.50%,45.48,46.92,70561,32673.35,24.33%
2024-06-13,46.67,46.00,-1.19,-2.52%,45.77,47.88,84749,39402.13,29.22%
2024-06-12,46.60,47.19,1.81,3.99%,45.00,49.50,117625,54618.46,40.56%
2024-06-11,37.52,45.38,7.56,19.99%,36.68,45.38,79935,33942.27,27.56%
2024-06-07,40.10,37.82,-2.64,-6.52%,37.51,40.38,47589,18415.55,16.41%
2024-06-06,41.00,40.46,0.05,0.12%,40.00,42.58,48933,20231.89,16.87%
2024-06-05,41.01,40.41,-1.15,-2.77%,40.41,42.65,44854,18583.46,15.47%
2024-06-04,44.10,41.56,-3.47,-7.71%,40.80,44.29,66439,27965.33,22.91%
2024-06-03,44.89,45.03,0.32,0.72%,43.45,49.99,98595,45538.80,34.00%
2024-05-31,43.01,44.71,0.88,2.01%,42.70,44.95,60514,26315.83,20.87%
2024-05-30,39.10,43.83,4.72,12.07%,38.46,45.50,67803,28942.19,23.38%
2024-05-29,39.63,39.11,-1.10,-2.74%,38.76,40.30,19402,7629.52,6.69%
2024-05-28,39.39,40.21,0.43,1.08%,39.24,40.80,18783,7574.84,6.48%
2024-05-27,38.61,39.78,0.83,2.13%,37.32,39.92,16785,6505.69,5.79%
2024-05-24,40.59,38.95,-1.01,-2.53%,38.94,40.77,13876,5512.68,4.78%
2024-05-23,41.03,39.96,-0.89,-2.18%,39.80,41.16,15391,6216.91,5.31%
2024-05-22,40.00,40.85,0.85,2.13%,39.76,40.88,13365,5395.37,4.61%
2024-05-21,40.35,40.00,-0.35,-0.87%,39.70,40.55,8446,3378.78,2.91%
2024-05-20,40.04,40.35,0.30,0.75%,39.50,40.67,11884,4770.26,4.10%
2024-05-17,39.78,40.05,0.33,0.83%,39.15,40.25,13457,5341.32,4.64%
2024-05-16,39.47,39.72,0.32,0.81%,39.47,40.48,9745,3888.17,3.36%
2024-05-15,39.53,39.40,-0.20,-0.51%,38.85,40.58,12206,4855.82,4.21%
2024-05-14,38.88,39.60,0.72,1.85%,38.88,40.19,9927,3927.07,3.42%
