日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,34.94,38.70,5.08,15.11%,34.02,39.10,70993,26032.93,18.07%
2024-09-27,32.10,33.62,1.97,6.22%,31.71,34.39,44448,14637.98,11.32%
2024-09-26,31.27,31.65,0.74,2.39%,30.70,31.65,26823,8391.96,6.83%
2024-09-25,30.59,30.91,0.56,1.85%,30.27,31.50,28810,8926.20,7.33%
2024-09-24,29.38,30.35,1.23,4.22%,28.61,30.35,24819,7353.30,6.32%
2024-09-23,29.00,29.12,0.06,0.21%,28.68,29.58,16031,4693.94,4.08%
2024-09-20,29.73,29.06,-0.69,-2.32%,28.94,29.93,14819,4333.06,3.77%
2024-09-19,29.69,29.75,0.40,1.36%,29.35,29.99,15696,4667.70,4.00%
2024-09-18,29.62,29.35,-0.27,-0.91%,28.86,29.90,14315,4189.02,3.64%
2024-09-13,30.23,29.62,-0.61,-2.02%,29.52,30.27,13079,3909.42,3.33%
2024-09-12,30.86,30.23,-0.62,-2.01%,30.21,31.19,14687,4496.52,3.74%
2024-09-11,31.50,30.85,-0.71,-2.25%,30.62,31.68,19493,6032.90,4.96%
2024-09-10,30.50,31.56,1.18,3.88%,30.30,31.62,31659,9856.71,8.06%
2024-09-09,30.19,30.38,0.23,0.76%,29.65,30.80,16080,4884.23,4.09%
2024-09-06,31.30,30.15,-1.15,-3.67%,30.11,31.41,21214,6483.45,5.40%
2024-09-05,31.13,31.30,0.37,1.20%,30.83,31.58,17487,5466.14,4.45%
2024-09-04,31.00,30.93,-0.59,-1.87%,30.71,31.48,19802,6149.63,5.04%
2024-09-03,32.18,31.52,-0.90,-2.78%,30.89,32.18,36460,11457.49,9.28%
2024-09-02,31.29,32.42,0.99,3.15%,31.03,33.16,51599,16709.71,13.14%
2024-08-30,30.50,31.43,0.99,3.25%,30.43,31.93,28585,8969.24,7.28%
2024-08-29,29.67,30.44,0.31,1.03%,29.67,30.89,22978,7010.22,5.85%
2024-08-28,30.50,30.13,-0.81,-2.62%,29.97,31.05,25093,7642.58,6.39%
2024-08-27,32.09,30.94,-1.08,-3.37%,30.91,32.09,23374,7315.71,5.95%
2024-08-26,31.47,32.02,0.21,0.66%,31.47,32.37,22209,7075.35,5.65%
