日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,77.53,88.87,13.58,18.04%,77.52,88.99,146047,121117.82,12.61%
2024-09-27,72.00,75.29,5.25,7.50%,70.20,76.24,121300,88481.32,10.47%
2024-09-26,65.20,70.04,5.44,8.42%,65.01,70.04,109786,74009.22,9.48%
2024-09-25,65.26,64.60,-0.37,-0.57%,64.50,67.19,74908,49452.12,6.47%
2024-09-24,60.90,64.97,1.53,2.41%,60.59,65.00,80064,50351.77,6.91%
2024-09-23,63.50,63.44,-0.58,-0.91%,63.38,64.80,22516,14401.68,1.94%
2024-09-20,64.69,64.02,-0.74,-1.14%,63.40,65.27,27349,17548.31,2.36%
2024-09-19,64.30,64.76,0.96,1.50%,63.82,65.47,32188,20829.76,2.78%
2024-09-18,64.49,63.80,-0.70,-1.09%,62.99,64.76,23558,15000.28,2.03%
2024-09-13,65.89,64.50,-1.09,-1.66%,64.50,66.18,24002,15660.16,2.07%
2024-09-12,67.32,65.59,-1.05,-1.58%,65.56,67.43,24677,16408.06,2.13%
2024-09-11,66.51,66.64,-0.28,-0.42%,66.18,66.90,18594,12371.24,1.60%
2024-09-10,66.39,66.92,0.69,1.04%,65.34,67.33,28151,18669.02,2.43%
2024-09-09,65.80,66.23,-0.07,-0.11%,65.65,66.86,23637,15638.31,2.04%
2024-09-06,68.70,66.30,-2.54,-3.69%,66.24,68.97,41168,27699.47,3.55%
2024-09-05,68.71,68.84,0.22,0.32%,68.32,69.58,24302,16752.58,2.10%
2024-09-04,68.96,68.62,-1.26,-1.80%,68.03,69.97,36122,24883.65,3.12%
2024-09-03,69.08,69.88,0.59,0.85%,69.07,70.50,30710,21469.73,2.65%
2024-09-02,73.00,69.29,-4.11,-5.60%,69.20,73.49,54333,38655.76,4.69%
2024-08-30,70.78,73.40,2.68,3.79%,70.58,74.04,60825,44286.88,5.25%
2024-08-29,69.75,70.72,0.70,1.00%,69.03,71.14,37971,26751.06,3.28%
2024-08-28,69.79,70.02,-0.24,-0.34%,69.56,71.16,29801,20933.97,2.57%
2024-08-27,70.80,70.26,0.18,0.26%,69.79,71.76,46687,33111.30,4.03%
2024-08-26,70.79,70.08,-0.74,-1.04%,69.30,71.47,26708,18795.35,2.31%
2024-08-23,70.26,70.82,0.04,0.06%,69.69,71.50,28593,20136.99,2.47%
2024-08-22,71.31,70.78,-0.28,-0.39%,69.66,71.61,31926,22499.40,2.76%
2024-08-21,71.80,71.06,-1.28,-1.77%,70.90,72.72,32345,23205.40,2.79%
2024-08-20,73.88,72.34,-1.21,-1.65%,72.06,73.88,24600,17887.82,2.12%
2024-08-19,73.60,73.55,-0.46,-0.62%,73.26,74.75,25488,18884.03,2.20%
2024-08-16,74.96,74.01,-0.69,-0.92%,74.01,75.48,30277,22596.94,2.61%
2024-08-15,73.31,74.70,0.84,1.14%,73.10,75.30,36102,26928.95,3.12%
2024-08-14,74.30,73.86,-0.42,-0.57%,73.77,74.96,26015,19312.28,2.25%
2024-08-13,73.05,74.28,1.45,1.99%,72.95,74.60,30635,22607.91,2.64%
2024-08-12,72.75,72.83,-0.30,-0.41%,72.21,73.60,22217,16157.80,1.92%
2024-08-09,74.67,73.13,-0.28,-0.38%,73.13,75.00,32552,24159.78,2.81%
2024-08-08,72.31,73.41,0.16,0.22%,71.86,74.38,32458,23695.79,2.80%
2024-08-07,74.00,73.25,-1.23,-1.65%,73.10,74.87,30546,22605.29,2.64%
2024-08-06,75.60,74.48,0.59,0.80%,73.50,75.91,37334,27774.77,3.22%
2024-08-05,78.75,73.89,-6.06,-7.58%,73.88,79.44,64009,48837.51,5.53%
2024-08-02,82.15,79.95,-3.49,-4.18%,79.84,82.77,46073,37458.95,3.98%
2024-08-01,84.51,83.44,-0.54,-0.64%,82.68,84.62,49490,41433.55,4.27%
2024-07-31,80.71,83.98,3.06,3.78%,80.31,84.19,62296,51458.45,5.38%
2024-07-30,80.01,80.92,1.01,1.26%,78.08,80.94,38753,30867.60,3.35%
2024-07-29,80.24,79.91,-0.81,-1.00%,79.78,81.30,33294,26748.82,2.87%
2024-07-26,80.00,80.72,0.74,0.93%,79.33,81.01,40257,32280.45,3.48%
2024-07-25,81.53,79.98,-1.95,-2.38%,79.51,81.75,47070,37898.83,4.06%
2024-07-24,82.87,81.93,-1.63,-1.95%,81.93,84.35,52279,43484.49,4.51%
2024-07-23,88.72,83.56,-5.02,-5.67%,83.50,88.78,86472,73895.75,7.46%
2024-07-22,89.00,88.58,-4.71,-5.05%,87.50,90.28,101953,90956.65,8.80%
2024-07-19,91.93,93.29,0.39,0.42%,91.57,94.93,57238,53610.83,4.94%
2024-07-18,89.70,92.90,1.19,1.30%,89.20,93.18,62720,57192.39,5.41%
2024-07-17,95.40,91.71,-4.32,-4.50%,91.60,95.79,69335,64910.95,5.99%
2024-07-16,95.00,96.03,0.15,0.16%,92.60,96.45,83402,78794.55,7.20%
2024-07-15,98.72,95.88,-3.36,-3.39%,95.75,99.80,61543,60133.19,5.31%
2024-07-12,96.33,99.24,0.95,0.97%,95.33,99.30,71720,69943.91,6.19%
2024-07-11,99.50,98.29,-0.31,-0.31%,96.40,100.86,95812,94643.42,8.27%
2024-07-10,98.05,98.60,-0.82,-0.82%,97.26,99.20,72442,71146.07,6.25%
2024-07-09,95.39,99.42,4.07,4.27%,94.60,99.57,101034,98769.01,8.72%
2024-07-08,94.71,95.35,0.94,1.00%,94.42,96.98,62548,59980.57,5.40%
2024-07-05,93.34,94.41,0.09,0.10%,91.66,95.60,54435,50972.44,4.70%
2024-07-04,95.80,94.32,-2.30,-2.38%,93.60,97.49,60169,57361.31,5.19%
2024-07-03,93.82,96.62,2.80,2.98%,92.25,97.99,90368,86566.45,7.80%
2024-07-02,95.51,93.82,-1.68,-1.76%,93.11,95.58,49109,46347.87,4.24%
2024-07-01,94.10,95.50,0.76,0.80%,93.00,96.28,67400,64020.54,5.82%
2024-06-28,92.80,94.74,1.40,1.50%,92.76,96.45,71843,68188.91,6.20%
2024-06-27,91.15,93.34,0.84,0.91%,90.67,95.80,75142,70602.21,6.49%
2024-06-26,88.92,92.50,4.14,4.69%,87.53,92.77,63181,56914.03,5.45%
2024-06-25,90.90,88.36,-2.64,-2.90%,87.63,90.99,67493,60099.32,5.83%
2024-06-24,93.11,91.00,-4.37,-4.58%,90.80,96.20,74680,69867.95,6.45%
2024-06-21,92.50,95.37,0.92,0.97%,91.18,95.86,56268,52815.83,4.99%
2024-06-20,95.38,94.45,-2.16,-2.24%,94.38,98.42,75439,72614.73,6.68%
2024-06-19,95.28,96.61,2.78,2.96%,93.66,98.48,103929,99764.95,9.21%
2024-06-18,94.85,93.83,-1.20,-1.26%,93.10,95.42,58359,54912.59,5.17%
