日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,24.20,25.43,2.31,9.99%,23.51,25.43,1267428,312796.75,17.88%
2024-09-27,21.99,23.12,1.41,6.49%,21.84,23.44,789741,177828.42,11.14%
2024-09-26,20.72,21.71,0.85,4.07%,20.71,21.79,923215,197469.06,13.02%
2024-09-25,21.00,20.86,-0.08,-0.38%,20.79,21.91,976507,207956.64,13.77%
2024-09-24,20.19,20.94,0.87,4.33%,19.68,21.00,874960,178758.88,12.34%
2024-09-23,20.40,20.07,-0.72,-3.46%,20.07,20.61,555099,112471.32,7.83%
2024-09-20,20.20,20.79,0.53,2.62%,19.62,21.26,922544,188339.11,13.01%
2024-09-19,19.68,20.26,0.70,3.58%,19.56,20.48,665074,133946.06,9.38%
2024-09-18,19.85,19.56,-0.19,-0.96%,19.34,20.17,433049,85218.18,6.11%
2024-09-13,20.50,19.75,-0.86,-4.17%,19.75,20.61,599981,120300.55,8.46%
2024-09-12,21.30,20.61,-0.67,-3.15%,20.58,21.49,586482,123162.52,8.27%
2024-09-11,21.05,21.28,0.01,0.05%,20.65,21.66,693410,146829.95,9.78%
2024-09-10,21.37,21.27,-0.30,-1.39%,20.64,21.45,816220,172060.89,11.51%
2024-09-09,20.01,21.57,1.23,6.05%,19.93,21.73,1069437,225901.98,15.09%
2024-09-06,19.74,20.34,0.52,2.62%,19.69,21.49,1033109,212691.55,14.57%
2024-09-05,19.23,19.82,0.59,3.07%,19.18,20.09,593502,116789.59,8.37%
2024-09-04,19.14,19.23,-0.22,-1.13%,18.92,19.55,376269,72420.59,5.31%
2024-09-03,19.59,19.45,-0.08,-0.41%,19.25,19.79,457772,89357.92,6.46%
2024-09-02,20.46,19.53,-1.11,-5.38%,19.50,20.86,752383,150704.44,10.61%
2024-08-30,19.30,20.64,1.27,6.56%,19.21,20.75,987642,199875.50,13.93%
2024-08-29,19.00,19.37,0.17,0.89%,18.82,19.66,569728,109986.75,8.04%
2024-08-28,19.10,19.20,0.05,0.26%,18.93,19.35,491918,94323.66,6.94%
2024-08-27,19.67,19.15,-0.63,-3.19%,19.04,19.85,591711,114592.16,8.35%
2024-08-26,20.36,19.78,-0.59,-2.90%,19.63,20.55,666716,132403.64,9.40%
2024-08-23,20.93,20.37,-0.84,-3.96%,20.15,21.02,689309,141798.52,9.72%
2024-08-22,21.00,21.21,0.11,0.52%,20.85,21.47,656232,138709.42,9.26%
2024-08-21,21.51,21.10,-0.54,-2.50%,21.01,21.97,716678,152818.33,10.11%
2024-08-20,21.85,21.64,-0.30,-1.37%,21.50,22.20,598961,130237.90,8.45%
2024-08-19,22.01,21.94,-0.84,-3.69%,21.20,22.49,958425,210102.05,13.52%
2024-08-16,24.77,22.78,-1.64,-6.72%,22.30,24.92,1240357,295844.88,17.50%
2024-08-15,24.26,24.42,-0.33,-1.33%,23.90,24.95,1071112,260579.30,15.11%
2024-08-14,23.25,24.75,1.36,5.81%,23.22,25.60,1534453,375257.84,21.64%
2024-08-13,22.86,23.39,0.39,1.70%,22.50,23.83,813280,188621.16,11.47%
2024-08-12,23.18,23.00,-1.20,-4.96%,22.88,24.20,953659,223841.45,13.45%
2024-08-09,23.69,24.20,1.22,5.31%,23.20,24.50,1457182,348268.31,20.55%
2024-08-08,22.35,22.98,0.19,0.83%,21.33,24.00,1332494,301581.56,18.80%
2024-08-07,22.60,22.79,0.18,0.80%,22.50,23.20,820001,187318.44,11.57%
2024-08-06,23.90,22.61,-0.85,-3.62%,22.30,24.05,971236,220682.06,13.70%
2024-08-05,23.36,23.46,-0.63,-2.62%,22.68,24.66,1188864,279066.25,16.77%
2024-08-02,24.20,24.09,-1.00,-3.99%,23.68,24.80,1337453,324141.06,18.87%
2024-08-01,23.68,25.09,0.84,3.46%,23.68,26.00,2014937,504579.22,28.42%
2024-07-31,24.00,24.25,-0.46,-1.86%,23.75,27.18,2343120,597996.31,33.05%
