日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,33.75,35.33,3.21,9.99%,32.91,35.33,892563,307234.03,4.99%
2024-09-27,30.98,32.12,1.50,4.90%,30.78,32.13,294637,92675.13,1.65%
2024-09-26,29.81,30.62,0.82,2.75%,29.60,30.63,415911,124916.15,2.32%
2024-09-25,29.25,29.80,0.80,2.76%,29.23,30.33,533432,158973.44,2.98%
2024-09-24,28.08,29.00,1.21,4.35%,27.50,29.02,433697,123193.04,2.42%
2024-09-23,28.06,27.79,-0.27,-0.96%,27.72,28.60,243878,68414.11,1.36%
2024-09-20,27.92,28.06,0.19,0.68%,27.47,28.29,244745,68209.09,1.37%
2024-09-19,28.07,27.87,0.09,0.32%,27.61,28.38,298860,83491.10,1.67%
2024-09-18,29.00,27.78,-1.18,-4.07%,27.43,29.13,437675,122111.68,2.45%
2024-09-13,29.01,28.96,-0.10,-0.34%,28.89,29.87,233389,68490.95,1.30%
2024-09-12,29.66,29.06,-0.26,-0.89%,29.04,29.73,140676,41274.54,0.79%
2024-09-11,29.51,29.32,-0.27,-0.91%,29.15,29.73,142590,41936.39,0.80%
2024-09-10,29.47,29.59,0.17,0.58%,28.86,29.70,232613,68132.91,1.30%
2024-09-09,29.56,29.42,-0.35,-1.18%,29.22,30.02,212618,62725.46,1.19%
2024-09-06,30.46,29.77,-0.68,-2.23%,29.76,30.56,191819,57532.00,1.07%
2024-09-05,30.59,30.45,-0.03,-0.10%,30.17,30.79,185621,56488.91,1.04%
2024-09-04,30.32,30.48,-0.53,-1.71%,30.00,30.73,208919,63438.97,1.17%
2024-09-03,30.95,31.01,-0.02,-0.06%,30.71,31.30,243784,75567.16,1.36%
2024-09-02,32.53,31.03,-1.62,-4.96%,30.98,32.75,383642,121358.00,2.14%
2024-08-30,30.73,32.65,1.73,5.60%,30.73,33.08,507634,164505.98,2.84%
2024-08-29,29.84,30.92,0.77,2.55%,29.73,31.09,269460,82488.18,1.51%
2024-08-28,30.01,30.15,0.05,0.17%,29.81,30.38,173214,52096.75,0.97%
2024-08-27,31.30,30.10,-1.16,-3.71%,30.00,31.30,282887,85913.58,1.58%
2024-08-26,31.15,31.26,0.69,2.26%,31.03,32.28,395710,124734.17,2.21%
2024-08-23,29.92,30.57,0.41,1.36%,29.90,30.74,186136,56611.56,1.04%
2024-08-22,30.55,30.16,-0.42,-1.37%,29.81,30.55,203353,61254.12,1.14%
2024-08-21,30.20,30.58,0.22,0.72%,30.10,31.29,236640,72771.92,1.32%
2024-08-20,30.86,30.36,-0.50,-1.62%,30.16,31.10,184966,56351.64,1.03%
2024-08-19,30.35,30.86,0.24,0.78%,30.20,31.30,225996,69987.36,1.26%
2024-08-16,30.82,30.62,-0.03,-0.10%,30.50,31.25,180831,55814.39,1.01%
2024-08-15,30.81,30.65,-0.37,-1.19%,30.46,31.37,257015,79296.27,1.44%
2024-08-14,31.51,31.02,-0.37,-1.18%,30.90,31.54,196433,61329.76,1.10%
2024-08-13,30.85,31.39,0.51,1.65%,30.72,31.58,226586,70805.94,1.27%
2024-08-12,30.83,30.88,0.03,0.10%,30.63,31.23,200154,61729.17,1.12%
2024-08-09,30.80,30.85,0.72,2.39%,30.60,31.36,397864,123208.54,2.22%
2024-08-08,29.25,30.13,0.56,1.89%,29.18,30.78,370928,111559.66,2.07%
2024-08-07,30.01,29.57,-0.48,-1.60%,29.42,30.22,287184,85672.76,1.60%
2024-08-06,30.50,30.05,0.26,0.87%,29.50,30.65,330418,98820.38,1.85%
2024-08-05,31.78,29.79,-2.43,-7.54%,29.64,32.02,718756,220351.05,4.02%
2024-08-02,33.25,32.22,-1.70,-5.01%,32.08,33.45,459468,150070.41,2.57%
2024-08-01,33.80,33.92,0.53,1.59%,33.43,34.34,360934,122476.07,2.02%
2024-07-31,32.60,33.39,0.57,1.74%,32.34,33.74,395755,131454.77,2.21%
2024-07-30,32.31,32.82,0.27,0.83%,31.83,32.91,316912,103124.76,1.77%
2024-07-29,32.35,32.55,0.35,1.09%,32.08,33.70,384774,126888.92,2.15%
2024-07-26,32.30,32.20,0.11,0.34%,31.68,32.54,322329,103498.32,1.80%
2024-07-25,33.40,32.09,-1.71,-5.06%,31.80,33.40,566133,183044.88,3.16%
2024-07-24,33.60,33.80,0.12,0.36%,33.31,34.39,451675,152986.31,2.52%
2024-07-23,35.49,33.68,-2.07,-5.79%,33.64,35.49,571655,196721.03,3.19%
2024-07-22,35.00,35.75,0.64,1.82%,34.88,36.11,444916,158772.00,2.49%
2024-07-19,34.30,35.11,-0.19,-0.54%,33.30,35.59,694292,240454.25,3.88%
2024-07-18,34.00,35.30,0.63,1.82%,32.93,35.68,807541,275713.28,4.51%
2024-07-17,35.87,34.67,-1.36,-3.77%,34.34,36.70,617156,220096.17,3.45%
2024-07-16,34.30,36.03,1.28,3.68%,34.30,36.19,659167,232780.80,3.68%
2024-07-15,33.48,34.75,1.18,3.52%,33.36,34.95,527642,180862.11,2.95%
2024-07-12,33.30,33.57,-0.14,-0.42%,32.80,33.71,328700,109282.69,1.84%
2024-07-11,33.30,33.71,0.93,2.84%,32.74,34.18,601891,201791.89,3.36%
2024-07-10,32.81,32.78,-0.33,-1.00%,32.60,33.19,364988,119840.23,2.04%
2024-07-09,31.13,33.11,1.89,6.05%,30.91,33.27,706997,229850.34,3.95%
2024-07-08,31.50,31.22,-0.23,-0.73%,31.14,31.89,289018,91061.45,1.62%
2024-07-05,31.80,31.45,-0.40,-1.26%,30.50,31.95,401572,125015.16,2.24%
2024-07-04,32.11,31.85,-0.53,-1.64%,31.70,32.55,400982,128673.10,2.24%
2024-07-03,30.77,32.38,1.67,5.44%,30.51,32.82,690877,220217.23,3.86%
2024-07-02,31.30,30.71,-0.66,-2.10%,30.56,31.62,288764,89576.48,1.61%
2024-07-01,31.51,31.37,-0.34,-1.07%,30.57,31.75,355811,110743.91,1.99%
2024-06-28,31.20,31.71,0.28,0.89%,30.96,31.97,451392,142711.36,2.52%
2024-06-27,31.21,31.43,0.20,0.64%,31.02,32.60,661670,210405.34,3.70%
