日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,59.46,66.88,9.88,17.33%,59.00,66.88,638049,401692.75,5.58%
2024-09-27,53.00,57.00,4.72,9.03%,52.99,59.00,239051,132519.05,2.09%
2024-09-26,50.15,52.28,2.37,4.75%,49.59,52.38,257478,130817.26,2.25%
2024-09-25,50.85,49.91,-0.12,-0.24%,49.71,51.95,241686,122911.34,2.12%
2024-09-24,48.97,50.03,1.53,3.15%,47.70,50.25,197544,97236.71,1.73%
2024-09-23,49.29,48.50,-1.09,-2.20%,48.46,49.96,75882,37260.92,0.66%
2024-09-20,49.18,49.59,0.63,1.29%,48.86,50.18,97574,48240.17,0.85%
2024-09-19,49.54,48.96,-0.34,-0.69%,48.90,49.98,132190,65156.10,1.16%
2024-09-18,50.95,49.30,-1.77,-3.47%,48.36,50.99,133696,65988.55,1.17%
2024-09-13,51.10,51.07,-0.14,-0.27%,50.90,51.52,78698,40240.21,0.69%
2024-09-12,52.40,51.21,-0.60,-1.16%,51.15,52.49,74633,38481.74,0.65%
2024-09-11,51.35,51.81,0.31,0.60%,51.15,52.07,59729,30866.12,0.52%
2024-09-10,51.60,51.50,0.20,0.39%,50.80,51.93,77240,39711.83,0.68%
2024-09-09,51.50,51.30,-0.44,-0.85%,50.91,52.44,74643,38381.89,0.65%
2024-09-06,52.05,51.74,-0.26,-0.50%,51.73,52.86,79127,41342.46,0.69%
2024-09-05,52.10,52.00,-0.09,-0.17%,50.93,52.18,97134,50220.80,0.85%
2024-09-04,52.00,52.09,-0.85,-1.61%,51.55,52.49,91346,47541.40,0.80%
2024-09-03,50.24,52.94,2.99,5.99%,50.24,53.13,190389,99550.92,1.67%
2024-09-02,52.67,49.95,-2.68,-5.09%,49.95,53.30,155146,79228.98,1.36%
2024-08-30,51.17,52.63,1.28,2.49%,51.10,53.40,193922,102189.72,1.70%
2024-08-29,50.47,51.35,0.41,0.80%,49.95,51.93,116405,59484.96,1.02%
2024-08-28,52.10,50.94,-1.19,-2.28%,50.45,52.50,115973,59245.77,1.02%
2024-08-27,52.75,52.13,-0.97,-1.83%,51.79,53.04,92156,48262.52,0.81%
2024-08-26,54.08,53.10,-0.90,-1.67%,52.65,54.42,97843,52193.77,0.86%
2024-08-23,54.01,54.00,-0.16,-0.30%,53.20,54.45,82887,44567.15,0.73%
2024-08-22,55.00,54.16,-0.67,-1.22%,53.39,55.16,100419,54322.52,0.88%
2024-08-21,54.68,54.83,-0.23,-0.42%,54.68,56.08,106546,59062.47,0.93%
2024-08-20,55.52,55.06,-0.25,-0.45%,54.86,56.30,113895,63124.20,1.00%
2024-08-19,53.88,55.31,1.46,2.71%,53.70,56.06,155558,85933.42,1.36%
2024-08-16,54.20,53.85,-0.25,-0.46%,53.38,54.68,74380,40265.19,0.65%
2024-08-15,53.55,54.10,0.35,0.65%,53.30,54.80,105282,57076.25,0.92%
2024-08-14,54.99,53.75,-1.11,-2.02%,53.73,54.99,92024,49880.33,0.81%
2024-08-13,54.05,54.86,1.06,1.97%,53.71,54.90,113020,61433.09,0.99%
2024-08-12,53.02,53.80,0.80,1.51%,52.72,54.17,103743,55611.92,0.91%
2024-08-09,54.00,53.00,-0.24,-0.45%,53.00,54.35,114585,61438.51,1.00%
2024-08-08,52.60,53.24,0.38,0.72%,51.89,53.79,150256,79474.39,1.32%
2024-08-07,53.08,52.86,-0.31,-0.58%,52.69,53.66,129329,68679.48,1.13%
2024-08-06,54.40,53.17,-0.03,-0.06%,52.60,54.64,190138,101355.93,1.66%
2024-08-05,55.80,53.20,-3.40,-6.01%,53.02,56.19,248596,135514.33,2.18%
2024-08-02,58.33,56.60,-2.66,-4.49%,56.51,58.46,224725,128759.88,1.97%
2024-08-01,60.10,59.26,-0.34,-0.57%,59.25,60.32,166800,99615.88,1.46%
2024-07-31,58.00,59.60,1.13,1.93%,57.95,60.25,207452,123229.86,1.82%
2024-07-30,57.85,58.47,0.47,0.81%,57.30,58.62,127692,74212.46,1.12%
2024-07-29,58.11,58.00,-0.23,-0.39%,57.96,59.10,118329,69228.98,1.04%
2024-07-26,58.34,58.23,0.03,0.05%,56.88,58.65,140569,81324.94,1.23%
2024-07-25,58.50,58.20,-0.78,-1.32%,57.38,59.00,155557,90525.16,1.36%
2024-07-24,59.65,58.98,0.18,0.31%,58.82,60.27,216687,129050.83,1.90%
2024-07-23,62.80,58.80,-5.13,-8.02%,58.63,62.82,379830,228705.33,3.33%
2024-07-22,63.28,63.93,0.92,1.46%,62.76,64.65,226816,144305.09,1.99%
2024-07-19,63.01,63.01,0.01,0.02%,62.79,64.25,238249,151170.89,2.09%
2024-07-18,62.45,63.00,-0.21,-0.33%,61.62,63.83,232111,145571.00,2.03%
2024-07-17,65.25,63.21,-1.82,-2.80%,63.20,65.50,224668,144257.66,1.97%
2024-07-16,64.10,65.03,0.73,1.14%,64.06,65.39,208944,135622.22,1.83%
2024-07-15,64.10,64.30,0.64,1.01%,63.82,66.88,259814,168748.55,2.28%
2024-07-12,61.48,63.66,1.44,2.31%,61.00,64.04,239745,151074.78,2.10%
2024-07-11,61.50,62.22,1.62,2.67%,60.40,62.58,230793,142450.92,2.02%
2024-07-10,59.70,60.60,0.82,1.37%,59.48,61.55,227414,137595.70,1.99%
2024-07-09,59.40,59.78,0.25,0.42%,59.20,60.75,297623,178778.91,2.61%
2024-07-08,60.50,59.53,2.22,3.87%,59.01,60.97,342565,204994.08,3.00%
2024-07-05,55.60,57.31,1.25,2.23%,54.90,57.81,159997,90249.62,1.40%
2024-07-04,56.06,56.06,0.00,0.00%,55.55,56.77,101865,57110.44,0.89%
2024-07-03,55.89,56.06,0.51,0.92%,55.30,56.76,119829,67304.97,1.05%
2024-07-02,56.31,55.55,-0.93,-1.65%,55.43,56.80,102414,57342.06,0.90%
2024-07-01,57.40,56.48,-0.68,-1.19%,54.92,57.66,158329,89253.60,1.39%
2024-06-28,55.60,57.16,1.11,1.98%,55.27,57.65,174742,99635.57,1.53%
2024-06-27,55.70,56.05,-0.25,-0.44%,55.58,57.56,150235,84729.77,1.32%
2024-06-26,55.38,56.30,1.34,2.44%,54.01,56.43,182053,100704.60,1.59%
2024-06-25,56.70,54.96,-2.17,-3.80%,54.01,56.90,267718,147402.66,2.35%
2024-06-24,56.50,57.13,0.32,0.56%,56.21,59.35,272656,158179.64,2.39%
2024-06-21,55.35,56.81,0.73,1.30%,54.90,57.11,176435,99259.24,1.55%
2024-06-20,54.84,56.08,0.91,1.65%,54.78,57.52,235907,132570.67,2.07%
2024-06-19,54.74,55.17,0.79,1.45%,53.91,55.69,189239,103791.25,1.66%
2024-06-18,54.14,54.38,0.55,1.02%,53.76,54.94,166633,90590.45,1.46%
2024-06-17,52.29,53.83,0.83,1.57%,52.28,54.88,217837,117521.44,1.91%
2024-06-14,52.50,53.00,0.30,0.57%,51.60,53.15,173711,91034.92,1.52%
2024-06-13,52.23,52.70,1.10,2.13%,51.50,53.32,198678,104617.19,1.74%
2024-06-12,51.54,51.60,0.49,0.96%,51.32,52.49,201319,104495.83,1.76%
2024-06-11,49.56,51.11,0.51,1.01%,49.30,51.33,234772,118234.62,2.06%
2024-06-07,51.55,50.60,-0.61,-1.19%,49.86,52.09,189763,96351.70,1.66%
2024-06-06,52.20,51.21,-0.56,-1.08%,51.13,52.70,208636,107939.09,1.83%
2024-06-05,53.16,52.07,-1.56,-2.91%,52.06,53.89,198489,104811.58,1.74%
2024-06-04,54.00,53.63,-0.74,-1.36%,52.90,54.44,146924,78650.81,1.29%
2024-06-03,53.76,54.37,1.37,2.58%,53.40,55.55,231276,126154.97,2.03%
2024-05-31,53.07,53.00,0.15,0.28%,52.53,53.70,156149,83001.23,1.37%
2024-05-30,52.58,52.85,0.06,0.11%,52.42,53.79,173991,92387.76,1.52%
2024-05-29,53.00,52.79,0.23,0.44%,52.32,53.28,133710,70641.77,1.17%
2024-05-28,52.30,52.56,-0.06,-0.11%,52.12,53.75,208362,110294.25,1.83%
