日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,17.96,20.43,3.39,19.89%,17.96,20.45,213946,41400.03,7.74%
2024-09-27,16.29,17.04,1.14,7.17%,16.08,17.08,78955,13108.83,2.86%
2024-09-26,15.39,15.90,0.71,4.67%,15.15,15.90,78435,12138.78,2.84%
2024-09-25,14.88,15.19,0.40,2.70%,14.84,15.65,97229,14917.67,3.52%
2024-09-24,14.26,14.79,0.65,4.60%,14.11,14.81,87486,12730.31,3.16%
2024-09-23,14.22,14.14,-0.08,-0.56%,14.08,14.44,40739,5792.18,1.47%
2024-09-20,14.75,14.22,-0.31,-2.13%,14.13,14.75,44877,6427.82,1.62%
2024-09-19,14.51,14.53,0.25,1.75%,14.00,14.74,69572,10029.08,2.52%
2024-09-18,14.77,14.28,-0.46,-3.12%,14.15,14.92,57126,8231.65,2.07%
2024-09-13,15.45,14.74,-0.55,-3.60%,14.70,15.45,45232,6763.04,1.64%
2024-09-12,15.41,15.29,-0.11,-0.71%,15.20,15.59,33116,5106.85,1.20%
2024-09-11,15.55,15.40,-0.05,-0.32%,15.25,15.55,38941,5988.66,1.41%
2024-09-10,15.41,15.45,0.19,1.25%,14.85,15.55,66684,10083.44,2.41%
2024-09-09,15.65,15.26,-0.40,-2.55%,15.22,15.74,60431,9325.89,2.19%
2024-09-06,16.45,15.66,-0.82,-4.98%,15.66,16.66,61033,9724.91,2.21%
2024-09-05,16.34,16.48,0.14,0.86%,16.32,16.69,27576,4552.90,1.00%
2024-09-04,16.04,16.34,0.05,0.31%,16.00,16.49,34328,5604.80,1.24%
2024-09-03,16.28,16.29,0.04,0.25%,16.20,16.66,49874,8171.29,1.80%
2024-09-02,17.68,16.25,-1.33,-7.57%,16.17,17.68,91403,15351.91,3.31%
2024-08-30,17.24,17.58,0.24,1.38%,17.13,17.88,61777,10933.43,2.23%
2024-08-29,16.97,17.34,0.50,2.97%,16.74,17.43,38113,6549.66,1.38%
2024-08-28,16.98,16.84,-0.08,-0.47%,16.62,17.10,33347,5623.92,1.21%
2024-08-27,17.50,16.92,-0.38,-2.20%,16.85,17.50,47869,8184.06,1.73%
2024-08-26,17.00,17.30,0.04,0.23%,17.00,17.70,40942,7127.14,1.48%
2024-08-23,17.31,17.26,-0.05,-0.29%,17.12,17.67,49603,8621.12,1.79%
2024-08-22,17.32,17.31,-0.16,-0.92%,17.02,17.59,40668,7031.81,1.47%
2024-08-21,17.61,17.47,0.01,0.06%,17.10,17.77,55037,9626.94,1.99%
2024-08-20,18.81,17.46,-0.99,-5.37%,17.34,18.99,101905,18218.11,3.69%
2024-08-19,18.26,18.45,0.24,1.32%,18.03,18.64,45314,8336.62,1.64%
2024-08-16,18.32,18.21,-0.11,-0.60%,18.08,18.50,51279,9368.09,1.85%
2024-08-15,18.16,18.32,0.23,1.27%,17.89,18.64,64177,11724.00,2.32%
2024-08-14,17.44,18.09,0.73,4.21%,17.43,18.35,97803,17593.76,3.54%
2024-08-13,17.23,17.36,0.26,1.52%,16.98,17.42,36887,6354.90,1.33%
2024-08-12,17.80,17.10,-0.73,-4.09%,16.97,17.80,67281,11588.73,2.43%
2024-08-09,18.40,17.83,-0.33,-1.82%,17.79,18.52,54229,9829.00,1.96%
