日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,26.03,29.28,4.38,17.59%,25.75,29.43,51595,14189.97,5.06%
2024-09-27,23.60,24.90,1.68,7.24%,23.60,24.94,17867,4329.08,1.75%
2024-09-26,22.34,23.22,0.95,4.27%,22.10,23.22,15581,3527.56,1.53%
2024-09-25,22.81,22.27,-0.01,-0.04%,22.20,23.14,18702,4248.62,1.83%
2024-09-24,21.29,22.28,1.18,5.59%,21.14,22.40,19035,4148.22,1.87%
2024-09-23,21.70,21.10,-0.64,-2.94%,21.02,21.87,13411,2872.76,1.31%
2024-09-20,22.19,21.74,-0.26,-1.18%,21.56,22.19,7965,1736.13,0.81%
2024-09-19,21.65,22.00,0.20,0.92%,21.65,22.30,11169,2459.75,1.14%
2024-09-18,22.55,21.80,0.34,1.58%,21.32,22.55,13502,2930.59,1.38%
2024-09-13,22.65,21.46,-1.37,-6.00%,21.42,22.95,18267,4013.49,1.87%
2024-09-12,23.23,22.83,-0.38,-1.64%,22.83,23.55,8483,1967.71,0.87%
2024-09-11,23.11,23.21,-0.14,-0.60%,23.02,23.45,6410,1489.23,0.66%
2024-09-10,23.27,23.35,0.21,0.91%,22.64,23.55,8303,1920.61,0.85%
2024-09-09,22.98,23.14,0.10,0.43%,22.51,23.39,7179,1657.88,0.73%
2024-09-06,24.28,23.04,-1.31,-5.38%,23.00,24.34,16196,3814.99,1.66%
2024-09-05,24.39,24.35,0.07,0.29%,24.21,24.66,10791,2629.68,1.10%
2024-09-04,24.13,24.28,-0.24,-0.98%,24.06,24.68,7932,1931.19,0.81%
2024-09-03,24.33,24.52,0.28,1.16%,24.18,24.78,7938,1945.59,0.81%
2024-09-02,24.98,24.24,-0.78,-3.12%,24.24,25.28,15009,3702.96,1.53%
2024-08-30,24.10,25.02,0.70,2.88%,24.10,25.38,17982,4498.34,1.84%
2024-08-29,23.80,24.32,0.24,1.00%,23.71,24.56,13606,3297.39,1.39%
2024-08-28,24.56,24.08,-0.40,-1.63%,24.00,24.71,13615,3305.39,1.39%
2024-08-27,25.07,24.48,-0.79,-3.13%,24.44,25.18,10493,2599.03,1.07%
2024-08-26,25.35,25.27,0.01,0.04%,25.22,25.75,9013,2290.94,0.92%
2024-08-23,24.67,25.26,0.49,1.98%,24.40,25.45,11834,2960.18,1.21%
2024-08-22,25.41,24.77,-0.58,-2.29%,24.60,25.66,12206,3057.97,1.25%
2024-08-21,25.45,25.35,-0.09,-0.35%,25.32,25.91,10149,2594.52,1.04%
2024-08-20,26.30,25.44,-0.90,-3.42%,25.36,26.37,14672,3780.87,1.50%
2024-08-19,27.31,26.34,-0.36,-1.35%,26.22,27.31,18893,5032.43,1.93%
2024-08-16,26.15,26.70,0.60,2.30%,25.88,27.06,22887,6068.49,2.34%
2024-08-15,25.75,26.10,-0.53,-1.99%,25.75,26.79,20872,5489.66,2.13%
2024-08-14,26.58,26.63,0.14,0.53%,26.50,27.05,12941,3454.98,1.36%
2024-08-13,26.09,26.49,0.40,1.53%,26.03,26.56,9283,2434.78,0.97%
2024-08-12,26.44,26.09,-0.35,-1.32%,25.88,26.66,9430,2465.54,0.99%
2024-08-09,27.17,26.44,-0.02,-0.08%,26.43,27.51,15158,4101.28,1.59%
2024-08-08,26.35,26.46,-0.01,-0.04%,25.67,26.99,17120,4495.44,1.80%
2024-08-07,26.39,26.47,-0.09,-0.34%,26.27,26.85,10652,2831.75,1.12%
2024-08-06,26.51,26.56,0.36,1.37%,26.02,26.93,16422,4336.14,1.72%
2024-08-05,27.35,26.20,-1.61,-5.79%,26.19,27.80,22252,6004.92,2.33%
2024-08-02,28.45,27.81,-1.07,-3.70%,27.71,28.87,19697,5572.02,2.07%
2024-08-01,28.15,28.88,0.72,2.56%,28.15,29.28,28352,8144.38,2.97%
2024-07-31,27.28,28.16,0.88,3.23%,26.96,28.28,21146,5895.06,2.22%
2024-07-30,27.00,27.28,0.24,0.89%,26.59,27.72,14487,3939.94,1.52%
