日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2024-09-30,42.40,47.43,7.16,17.78%,40.40,47.77,37766,16771.98,9.37%
2024-09-27,38.47,40.27,2.49,6.59%,37.82,40.39,11096,4344.30,2.75%
2024-09-26,36.45,37.78,1.28,3.51%,36.20,37.79,12321,4561.52,3.06%
2024-09-25,37.01,36.50,-0.26,-0.71%,36.45,37.76,15168,5639.72,3.76%
2024-09-24,35.76,36.76,1.33,3.75%,34.01,36.76,20053,7124.77,4.97%
2024-09-23,37.49,35.43,-1.77,-4.76%,35.26,37.59,12122,4394.89,3.01%
2024-09-20,37.89,37.20,-0.70,-1.85%,36.92,38.29,5274,1976.00,1.31%
2024-09-19,38.00,37.90,0.09,0.24%,37.20,38.55,9470,3594.58,2.35%
2024-09-18,38.88,37.81,-0.61,-1.59%,37.70,38.91,8101,3108.91,2.01%
2024-09-13,38.88,38.42,-0.45,-1.16%,38.40,39.39,5337,2073.47,1.32%
2024-09-12,39.33,38.87,-0.45,-1.14%,38.87,39.75,5351,2104.90,1.33%
2024-09-11,39.07,39.32,0.28,0.72%,38.48,39.69,6043,2369.17,1.50%
2024-09-10,38.58,39.04,0.46,1.19%,38.35,39.30,8136,3161.01,2.02%
2024-09-09,37.90,38.58,0.42,1.10%,37.90,38.70,7603,2915.40,1.89%
2024-09-06,39.67,38.16,-1.49,-3.76%,37.67,39.98,14858,5725.41,3.69%
2024-09-05,40.38,39.65,-0.44,-1.10%,39.52,40.69,7033,2809.13,1.74%
2024-09-04,40.39,40.09,-0.42,-1.04%,39.72,40.90,8233,3317.16,2.04%
2024-09-03,40.44,40.51,0.35,0.87%,40.00,41.37,9463,3863.14,2.35%
2024-09-02,41.83,40.16,-1.97,-4.68%,40.14,42.30,13929,5723.08,3.45%
2024-08-30,40.49,42.13,1.23,3.01%,40.49,42.95,20394,8623.12,5.06%
2024-08-29,39.71,40.90,1.01,2.53%,39.58,41.35,12380,5022.96,3.07%
2024-08-28,39.34,39.89,0.42,1.06%,38.90,40.20,7208,2854.75,1.79%
2024-08-27,39.10,39.47,0.02,0.05%,38.97,40.05,5301,2094.28,1.31%
2024-08-26,39.39,39.45,0.35,0.90%,38.91,39.80,6501,2563.48,1.61%
2024-08-23,39.10,39.10,-0.41,-1.04%,38.00,39.70,11404,4424.37,2.83%
2024-08-22,40.12,39.51,-0.57,-1.42%,39.49,40.63,9644,3856.48,2.39%
2024-08-21,40.20,40.08,-0.82,-2.00%,39.87,41.42,12074,4880.13,2.99%
2024-08-20,43.51,40.90,-2.86,-6.54%,40.11,43.86,22023,9218.44,5.46%
2024-08-19,42.50,43.76,1.30,3.06%,41.46,44.64,22815,9965.43,5.66%
2024-08-16,42.99,42.46,-0.54,-1.26%,42.41,43.94,11844,5112.91,2.94%
2024-08-15,43.49,43.00,-0.40,-0.92%,42.72,43.70,17559,7570.54,4.35%
2024-08-14,44.52,43.40,-1.12,-2.52%,43.17,44.90,18253,8014.28,4.53%
2024-08-13,42.14,44.52,2.23,5.27%,42.14,45.58,39193,17346.83,9.72%
2024-08-12,41.30,42.29,1.00,2.42%,41.01,43.28,16996,7211.37,4.22%
2024-08-09,42.50,41.29,-0.51,-1.22%,41.23,43.34,14292,6068.90,3.54%
2024-08-08,40.52,41.80,0.84,2.05%,40.11,42.32,10934,4543.76,2.71%
2024-08-07,41.10,40.96,-0.14,-0.34%,40.95,41.55,6617,2728.06,1.64%
2024-08-06,40.77,41.10,1.00,2.49%,40.50,41.66,10092,4126.95,2.50%
2024-08-05,40.90,40.10,-1.59,-3.81%,40.04,41.87,13293,5450.29,3.30%
2024-08-02,42.60,41.69,-1.57,-3.63%,41.53,43.26,14831,6311.18,3.68%
2024-08-01,41.66,43.26,1.60,3.84%,41.66,44.45,29128,12537.82,7.22%
2024-07-31,39.93,41.66,1.50,3.74%,39.70,41.83,14872,6099.38,3.69%
2024-07-30,39.11,40.16,0.80,2.03%,38.82,40.80,12311,4936.65,3.05%
2024-07-29,39.43,39.36,-0.03,-0.08%,39.19,39.85,8461,3347.25,2.10%
2024-07-26,38.60,39.39,0.59,1.52%,38.40,39.88,13692,5357.13,3.40%
2024-07-25,38.90,38.80,-0.49,-1.25%,38.11,40.00,17552,6849.94,4.35%
2024-07-24,40.01,39.29,-1.00,-2.48%,39.10,40.44,14387,5720.17,3.57%
2024-07-23,42.52,40.29,-2.56,-5.97%,40.28,42.81,18516,7655.64,4.59%
2024-07-22,43.70,42.85,-0.90,-2.06%,42.55,44.15,15665,6764.38,3.89%
2024-07-19,43.57,43.75,-0.02,-0.05%,43.18,44.66,17923,7877.24,4.45%
2024-07-18,42.20,43.77,1.27,2.99%,41.35,44.50,27388,11777.06,6.79%
2024-07-17,41.44,42.50,0.70,1.67%,40.80,43.20,22694,9580.52,5.63%
2024-07-16,40.74,41.80,0.75,1.83%,39.74,41.83,17626,7212.81,4.37%
2024-07-15,41.28,41.05,-0.10,-0.24%,40.91,42.49,17088,7129.42,4.24%
2024-07-12,40.52,41.15,0.37,0.91%,40.28,41.57,13098,5384.00,3.25%
2024-07-11,41.05,40.78,0.48,1.19%,40.32,41.35,15311,6263.63,3.80%
2024-07-10,40.10,40.30,0.03,0.07%,39.80,40.58,11079,4459.07,2.75%
2024-07-09,38.65,40.34,1.55,4.00%,38.65,40.63,18435,7351.94,4.57%
2024-07-08,39.66,38.79,-0.87,-2.19%,38.79,40.77,17143,6840.73,4.25%
2024-07-05,39.35,39.66,0.31,0.79%,38.50,40.00,13070,5156.98,3.24%
2024-07-04,40.20,39.35,-1.00,-2.48%,39.20,40.36,14821,5883.60,3.68%
2024-07-03,37.78,40.35,2.40,6.32%,37.52,41.58,33758,13464.35,8.37%
2024-07-02,38.40,37.95,-0.88,-2.27%,37.78,38.83,11817,4511.11,2.93%
2024-07-01,39.25,38.83,-0.26,-0.67%,37.82,39.52,15978,6147.13,3.96%
2024-06-28,39.57,39.09,-0.57,-1.44%,39.00,40.60,17240,6875.76,4.28%
2024-06-27,41.00,39.66,-1.70,-4.11%,39.64,41.08,15652,6309.23,3.88%
2024-06-26,40.75,41.36,0.81,2.00%,39.86,41.36,15807,6431.41,3.92%
2024-06-25,40.50,40.55,0.00,0.00%,39.64,41.44,25878,10483.67,6.42%
2024-06-24,43.39,40.55,-3.44,-7.82%,40.55,44.19,32641,13730.31,8.10%
2024-06-21,44.00,43.99,-0.97,-2.16%,43.03,44.31,24548,10726.28,6.09%
2024-06-20,44.10,44.96,0.53,1.19%,44.01,46.95,41734,19133.78,10.35%
2024-06-19,44.22,44.43,0.31,0.70%,43.04,44.95,26983,11871.76,6.69%
2024-06-18,44.95,44.12,-0.90,-2.00%,43.70,45.41,25449,11310.32,6.31%
2024-06-17,44.71,45.02,-0.21,-0.46%,44.14,45.52,20131,9039.13,4.99%
2024-06-14,45.44,45.23,-0.73,-1.59%,43.91,45.98,30608,13709.19,7.59%
2024-06-13,44.95,45.96,1.26,2.82%,44.72,47.98,50948,23687.34,12.64%
2024-06-12,44.81,44.70,-0.61,-1.35%,44.50,45.81,30422,13694.94,7.55%
2024-06-11,42.33,45.31,3.01,7.12%,42.00,45.68,45132,19921.95,11.19%
2024-06-07,42.54,42.30,-0.52,-1.21%,41.36,43.77,29395,12515.86,7.29%
2024-06-06,42.96,42.82,0.53,1.25%,42.20,43.98,38331,16531.30,9.51%
2024-06-05,41.30,42.29,0.70,1.68%,41.10,44.00,37818,16224.96,9.38%
2024-06-04,42.61,41.59,-1.11,-2.60%,40.61,42.61,26310,10866.78,6.53%
2024-06-03,41.66,42.70,1.08,2.59%,41.66,43.50,30759,13136.32,7.63%
